Sat Jun  8 21:26:02 2013, (0 clock):	Start log file
Sat Jun  8 21:26:02 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:26:02 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:26:02 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:26:02 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 21:42:48 2013, (976320000 clock):	48000 evaluated; 0 wrong controls; 8074 violate mass constrain.
Sat Jun  8 21:43:08 2013, (996670000 clock):	49000 evaluated; 0 wrong controls; 8230 violate mass constrain.
Sat Jun  8 21:43:30 2013, (1017790000 clock):	50000 evaluated; 0 wrong controls; 8391 violate mass constrain.
Sat Jun  8 21:43:51 2013, (1037630000 clock):	51000 evaluated; 0 wrong controls; 8577 violate mass constrain.
Sat Jun  8 21:44:12 2013, (1058210000 clock):	52000 evaluated; 0 wrong controls; 8729 violate mass constrain.
Sat Jun  8 21:44:33 2013, (1078700000 clock):	53000 evaluated; 0 wrong controls; 8877 violate mass constrain.
Sat Jun  8 21:44:54 2013, (1099270000 clock):	54000 evaluated; 0 wrong controls; 9049 violate mass constrain.
Sat Jun  8 21:45:15 2013, (1119510000 clock):	55000 evaluated; 0 wrong controls; 9224 violate mass constrain.
Sat Jun  8 21:45:36 2013, (1140360000 clock):	56000 evaluated; 0 wrong controls; 9367 violate mass constrain.
Sat Jun  8 21:45:57 2013, (1160550000 clock):	57000 evaluated; 0 wrong controls; 9513 violate mass constrain.
Sat Jun  8 21:46:17 2013, (1180470000 clock):	58000 evaluated; 0 wrong controls; 9697 violate mass constrain.
Sat Jun  8 21:46:38 2013, (1200820000 clock):	59000 evaluated; 0 wrong controls; 9847 violate mass constrain.
Sat Jun  8 21:46:59 2013, (1221360000 clock):	60000 evaluated; 0 wrong controls; 9987 violate mass constrain.
Sat Jun  8 21:47:21 2013, (1242400000 clock):	61000 evaluated; 0 wrong controls; 10143 violate mass constrain.
Sat Jun  8 21:47:41 2013, (1262360000 clock):	62000 evaluated; 0 wrong controls; 10301 violate mass constrain.
Sat Jun  8 21:48:02 2013, (1282750000 clock):	63000 evaluated; 0 wrong controls; 10455 violate mass constrain.
Sat Jun  8 21:48:24 2013, (1304130000 clock):	64000 evaluated; 0 wrong controls; 10620 violate mass constrain.
Sat Jun  8 21:48:46 2013, (1324860000 clock):	65000 evaluated; 0 wrong controls; 10774 violate mass constrain.
Sat Jun  8 21:49:07 2013, (1346120000 clock):	66000 evaluated; 0 wrong controls; 10908 violate mass constrain.
Sat Jun  8 21:49:29 2013, (1367580000 clock):	67000 evaluated; 0 wrong controls; 11049 violate mass constrain.
Sat Jun  8 21:49:50 2013, (1387850000 clock):	68000 evaluated; 0 wrong controls; 11198 violate mass constrain.
Sat Jun  8 21:50:12 2013, (1408780000 clock):	69000 evaluated; 0 wrong controls; 11350 violate mass constrain.
Sat Jun  8 21:50:34 2013, (1430020000 clock):	70000 evaluated; 0 wrong controls; 11481 violate mass constrain.
Sat Jun  8 21:50:55 2013, (1451430000 clock):	71000 evaluated; 0 wrong controls; 11609 violate mass constrain.
Sat Jun  8 21:51:17 2013, (1472090000 clock):	72000 evaluated; 0 wrong controls; 11737 violate mass constrain.
Sat Jun  8 21:51:38 2013, (1492650000 clock):	73000 evaluated; 0 wrong controls; 11870 violate mass constrain.
Sat Jun  8 21:51:59 2013, (1513040000 clock):	74000 evaluated; 0 wrong controls; 12005 violate mass constrain.
Sat Jun  8 21:52:20 2013, (1533970000 clock):	75000 evaluated; 0 wrong controls; 12116 violate mass constrain.
Sat Jun  8 21:52:42 2013, (1555130000 clock):	76000 evaluated; 0 wrong controls; 12226 violate mass constrain.
Sat Jun  8 21:53:04 2013, (1576130000 clock):	77000 evaluated; 0 wrong controls; 12362 violate mass constrain.
Sat Jun  8 21:53:25 2013, (1597080000 clock):	78000 evaluated; 0 wrong controls; 12484 violate mass constrain.
Sat Jun  8 21:53:47 2013, (1618570000 clock):	79000 evaluated; 0 wrong controls; 12609 violate mass constrain.
Sat Jun  8 21:54:08 2013, (1638920000 clock):	80000 evaluated; 0 wrong controls; 12751 violate mass constrain.
Sat Jun  8 21:54:30 2013, (1659960000 clock):	81000 evaluated; 0 wrong controls; 12864 violate mass constrain.
Sat Jun  8 21:54:51 2013, (1681010000 clock):	82000 evaluated; 0 wrong controls; 12984 violate mass constrain.
Sat Jun  8 21:55:13 2013, (1702690000 clock):	83000 evaluated; 0 wrong controls; 13123 violate mass constrain.
Sat Jun  8 21:55:35 2013, (1723450000 clock):	84000 evaluated; 0 wrong controls; 13282 violate mass constrain.
Sat Jun  8 21:55:56 2013, (1743960000 clock):	85000 evaluated; 0 wrong controls; 13429 violate mass constrain.
Sat Jun  8 21:56:18 2013, (1765190000 clock):	86000 evaluated; 0 wrong controls; 13567 violate mass constrain.
Sat Jun  8 21:56:39 2013, (1785950000 clock):	87000 evaluated; 0 wrong controls; 13679 violate mass constrain.
Sat Jun  8 21:57:00 2013, (1806540000 clock):	88000 evaluated; 0 wrong controls; 13828 violate mass constrain.
Sat Jun  8 21:57:22 2013, (1827620000 clock):	89000 evaluated; 0 wrong controls; 13959 violate mass constrain.
Sat Jun  8 21:57:44 2013, (1848890000 clock):	90000 evaluated; 0 wrong controls; 14078 violate mass constrain.
Sat Jun  8 21:58:06 2013, (1870030000 clock):	91000 evaluated; 0 wrong controls; 14211 violate mass constrain.
Sat Jun  8 21:58:27 2013, (1890890000 clock):	92000 evaluated; 0 wrong controls; 14361 violate mass constrain.
Sat Jun  8 21:58:48 2013, (1911540000 clock):	93000 evaluated; 0 wrong controls; 14509 violate mass constrain.
Sat Jun  8 21:59:10 2013, (1932640000 clock):	94000 evaluated; 0 wrong controls; 14640 violate mass constrain.
Sat Jun  8 21:59:31 2013, (1953480000 clock):	95000 evaluated; 0 wrong controls; 14778 violate mass constrain.
Sat Jun  8 21:59:54 2013, (1975310000 clock):	96000 evaluated; 0 wrong controls; 14903 violate mass constrain.
Sat Jun  8 22:00:15 2013, (1996360000 clock):	97000 evaluated; 0 wrong controls; 15020 violate mass constrain.
Sat Jun  8 22:00:38 2013, (2018100000 clock):	98000 evaluated; 0 wrong controls; 15133 violate mass constrain.
Sat Jun  8 22:01:01 2013, (2040470000 clock):	99000 evaluated; 0 wrong controls; 15271 violate mass constrain.
Sat Jun  8 22:01:24 2013, (2062820000 clock):	100000 evaluated; 0 wrong controls; 15404 violate mass constrain.
Sat Jun  8 22:01:46 2013, (2084100000 clock):	101000 evaluated; 0 wrong controls; 15542 violate mass constrain.
Sat Jun  8 22:02:07 2013, (2104880000 clock):	102000 evaluated; 0 wrong controls; 15700 violate mass constrain.
Sat Jun  8 22:02:29 2013, (2126080000 clock):	103000 evaluated; 0 wrong controls; 15811 violate mass constrain.
Sat Jun  8 22:02:50 2013, (2147300000 clock):	104000 evaluated; 0 wrong controls; 15933 violate mass constrain.
Sat Jun  8 22:03:12 2013, (2168190000 clock):	105000 evaluated; 0 wrong controls; 16058 violate mass constrain.
Sat Jun  8 22:03:33 2013, (2189170000 clock):	106000 evaluated; 0 wrong controls; 16185 violate mass constrain.
Sat Jun  8 22:03:55 2013, (2210150000 clock):	107000 evaluated; 0 wrong controls; 16308 violate mass constrain.
Sat Jun  8 22:04:16 2013, (2230680000 clock):	108000 evaluated; 0 wrong controls; 16440 violate mass constrain.
Sat Jun  8 22:04:38 2013, (2252070000 clock):	109000 evaluated; 0 wrong controls; 16543 violate mass constrain.
Sat Jun  8 22:05:00 2013, (2273360000 clock):	110000 evaluated; 0 wrong controls; 16657 violate mass constrain.
Sat Jun  8 22:05:21 2013, (2294330000 clock):	111000 evaluated; 0 wrong controls; 16779 violate mass constrain.
Sat Jun  8 22:05:43 2013, (2315600000 clock):	112000 evaluated; 0 wrong controls; 16885 violate mass constrain.
Sat Jun  8 22:06:05 2013, (2336750000 clock):	113000 evaluated; 0 wrong controls; 16998 violate mass constrain.
Sat Jun  8 22:06:26 2013, (2357340000 clock):	114000 evaluated; 0 wrong controls; 17120 violate mass constrain.
Sat Jun  8 22:06:47 2013, (2377930000 clock):	115000 evaluated; 0 wrong controls; 17248 violate mass constrain.
Sat Jun  8 22:07:10 2013, (2399700000 clock):	116000 evaluated; 0 wrong controls; 17376 violate mass constrain.
Sat Jun  8 22:07:31 2013, (2420490000 clock):	117000 evaluated; 0 wrong controls; 17480 violate mass constrain.
Sat Jun  8 22:07:53 2013, (2442480000 clock):	118000 evaluated; 0 wrong controls; 17579 violate mass constrain.
Sat Jun  8 22:08:16 2013, (2464230000 clock):	119000 evaluated; 0 wrong controls; 17689 violate mass constrain.
Sat Jun  8 22:08:38 2013, (2485560000 clock):	120000 evaluated; 0 wrong controls; 17794 violate mass constrain.
Sat Jun  8 22:08:59 2013, (2506720000 clock):	121000 evaluated; 0 wrong controls; 17910 violate mass constrain.
Sat Jun  8 22:09:21 2013, (2527760000 clock):	122000 evaluated; 0 wrong controls; 18023 violate mass constrain.
Sat Jun  8 22:09:43 2013, (2549000000 clock):	123000 evaluated; 0 wrong controls; 18109 violate mass constrain.
Sat Jun  8 22:10:05 2013, (2570490000 clock):	124000 evaluated; 0 wrong controls; 18219 violate mass constrain.
Sat Jun  8 22:10:27 2013, (2591930000 clock):	125000 evaluated; 0 wrong controls; 18326 violate mass constrain.
Sat Jun  8 22:10:49 2013, (2613710000 clock):	126000 evaluated; 0 wrong controls; 18407 violate mass constrain.
Sat Jun  8 22:11:11 2013, (2634320000 clock):	127000 evaluated; 0 wrong controls; 18532 violate mass constrain.
Sat Jun  8 22:11:32 2013, (2655280000 clock):	128000 evaluated; 0 wrong controls; 18658 violate mass constrain.
Sat Jun  8 22:11:53 2013, (2676150000 clock):	129000 evaluated; 0 wrong controls; 18790 violate mass constrain.
Sat Jun  8 22:12:15 2013, (2697400000 clock):	130000 evaluated; 0 wrong controls; 18918 violate mass constrain.
Sat Jun  8 22:12:38 2013, (2719020000 clock):	131000 evaluated; 0 wrong controls; 19080 violate mass constrain.
Sat Jun  8 22:12:59 2013, (2739570000 clock):	132000 evaluated; 0 wrong controls; 19229 violate mass constrain.
Sat Jun  8 22:13:20 2013, (2760080000 clock):	133000 evaluated; 0 wrong controls; 19368 violate mass constrain.
Sat Jun  8 22:13:42 2013, (2781490000 clock):	134000 evaluated; 0 wrong controls; 19484 violate mass constrain.
Sat Jun  8 22:14:04 2013, (2802810000 clock):	135000 evaluated; 0 wrong controls; 19599 violate mass constrain.
Sat Jun  8 22:14:25 2013, (2824130000 clock):	136000 evaluated; 0 wrong controls; 19727 violate mass constrain.
Sat Jun  8 22:14:47 2013, (2845520000 clock):	137000 evaluated; 0 wrong controls; 19871 violate mass constrain.
Sat Jun  8 22:15:09 2013, (2866940000 clock):	138000 evaluated; 0 wrong controls; 20010 violate mass constrain.
Sat Jun  8 22:15:31 2013, (2887800000 clock):	139000 evaluated; 0 wrong controls; 20144 violate mass constrain.
Sat Jun  8 22:15:53 2013, (2909120000 clock):	140000 evaluated; 0 wrong controls; 20260 violate mass constrain.
Sat Jun  8 22:16:14 2013, (2929770000 clock):	141000 evaluated; 0 wrong controls; 20364 violate mass constrain.
Sat Jun  8 22:16:35 2013, (2950390000 clock):	142000 evaluated; 0 wrong controls; 20472 violate mass constrain.
Sat Jun  8 22:16:57 2013, (2970720000 clock):	143000 evaluated; 0 wrong controls; 20604 violate mass constrain.
Sat Jun  8 22:17:19 2013, (2991840000 clock):	144000 evaluated; 0 wrong controls; 20703 violate mass constrain.
Sat Jun  8 22:17:40 2013, (3012950000 clock):	145000 evaluated; 0 wrong controls; 20831 violate mass constrain.
Sat Jun  8 22:18:02 2013, (3034250000 clock):	146000 evaluated; 0 wrong controls; 20957 violate mass constrain.
Sat Jun  8 22:18:24 2013, (3055280000 clock):	147000 evaluated; 0 wrong controls; 21089 violate mass constrain.
Sat Jun  8 22:18:46 2013, (3076790000 clock):	148000 evaluated; 0 wrong controls; 21206 violate mass constrain.
Sat Jun  8 22:19:08 2013, (3098260000 clock):	149000 evaluated; 0 wrong controls; 21317 violate mass constrain.
Sat Jun  8 22:19:29 2013, (3118980000 clock):	150000 evaluated; 0 wrong controls; 21444 violate mass constrain.
Sat Jun  8 22:19:50 2013, (3139750000 clock):	151000 evaluated; 0 wrong controls; 21564 violate mass constrain.
Sat Jun  8 22:20:12 2013, (3160500000 clock):	152000 evaluated; 0 wrong controls; 21701 violate mass constrain.
Sat Jun  8 22:20:33 2013, (3181610000 clock):	153000 evaluated; 0 wrong controls; 21818 violate mass constrain.
Sat Jun  8 22:20:54 2013, (3202310000 clock):	154000 evaluated; 0 wrong controls; 21944 violate mass constrain.
Sat Jun  8 22:21:16 2013, (3223280000 clock):	155000 evaluated; 0 wrong controls; 22045 violate mass constrain.
Sat Jun  8 22:21:37 2013, (3243750000 clock):	156000 evaluated; 0 wrong controls; 22162 violate mass constrain.
Sat Jun  8 22:21:59 2013, (3265060000 clock):	157000 evaluated; 0 wrong controls; 22276 violate mass constrain.
Sat Jun  8 22:22:21 2013, (3286280000 clock):	158000 evaluated; 0 wrong controls; 22381 violate mass constrain.
Sat Jun  8 22:22:43 2013, (3307540000 clock):	159000 evaluated; 0 wrong controls; 22486 violate mass constrain.
Sat Jun  8 22:23:04 2013, (3328580000 clock):	160000 evaluated; 0 wrong controls; 22605 violate mass constrain.
Sat Jun  8 22:23:26 2013, (3349930000 clock):	161000 evaluated; 0 wrong controls; 22720 violate mass constrain.
Sat Jun  8 22:23:48 2013, (3371670000 clock):	162000 evaluated; 0 wrong controls; 22850 violate mass constrain.
Sat Jun  8 22:24:11 2013, (3392830000 clock):	163000 evaluated; 0 wrong controls; 22949 violate mass constrain.
Sat Jun  8 22:24:33 2013, (3414050000 clock):	164000 evaluated; 0 wrong controls; 23059 violate mass constrain.
Sat Jun  8 22:24:55 2013, (3436050000 clock):	165000 evaluated; 0 wrong controls; 23168 violate mass constrain.
Sat Jun  8 22:25:17 2013, (3457500000 clock):	166000 evaluated; 0 wrong controls; 23281 violate mass constrain.
Sat Jun  8 22:25:39 2013, (3479040000 clock):	167000 evaluated; 0 wrong controls; 23385 violate mass constrain.
Sat Jun  8 22:26:01 2013, (3499680000 clock):	168000 evaluated; 0 wrong controls; 23492 violate mass constrain.
Sat Jun  8 22:26:23 2013, (3521100000 clock):	169000 evaluated; 0 wrong controls; 23590 violate mass constrain.
Sat Jun  8 22:26:44 2013, (3542010000 clock):	170000 evaluated; 0 wrong controls; 23709 violate mass constrain.
Sat Jun  8 22:27:06 2013, (3563220000 clock):	171000 evaluated; 0 wrong controls; 23840 violate mass constrain.
Sat Jun  8 22:27:29 2013, (3584900000 clock):	172000 evaluated; 0 wrong controls; 23970 violate mass constrain.
Sat Jun  8 22:27:51 2013, (3606070000 clock):	173000 evaluated; 0 wrong controls; 24120 violate mass constrain.
Sat Jun  8 22:28:12 2013, (3627280000 clock):	174000 evaluated; 0 wrong controls; 24245 violate mass constrain.
Sat Jun  8 22:28:34 2013, (3648760000 clock):	175000 evaluated; 0 wrong controls; 24361 violate mass constrain.
Sat Jun  8 22:28:57 2013, (3670510000 clock):	176000 evaluated; 0 wrong controls; 24492 violate mass constrain.
Sat Jun  8 22:29:19 2013, (3692390000 clock):	177000 evaluated; 0 wrong controls; 24611 violate mass constrain.
Sat Jun  8 22:29:41 2013, (3714310000 clock):	178000 evaluated; 0 wrong controls; 24725 violate mass constrain.
Sat Jun  8 22:30:04 2013, (3736050000 clock):	179000 evaluated; 0 wrong controls; 24850 violate mass constrain.
Sat Jun  8 22:30:26 2013, (3757860000 clock):	180000 evaluated; 0 wrong controls; 24967 violate mass constrain.
Sat Jun  8 22:30:48 2013, (3779220000 clock):	181000 evaluated; 0 wrong controls; 25098 violate mass constrain.
Sat Jun  8 22:31:10 2013, (3800870000 clock):	182000 evaluated; 0 wrong controls; 25212 violate mass constrain.
Sat Jun  8 22:31:33 2013, (3822660000 clock):	183000 evaluated; 0 wrong controls; 25346 violate mass constrain.
Sat Jun  8 22:31:55 2013, (3844260000 clock):	184000 evaluated; 0 wrong controls; 25496 violate mass constrain.
Sat Jun  8 22:32:16 2013, (3865130000 clock):	185000 evaluated; 0 wrong controls; 25635 violate mass constrain.
Sat Jun  8 22:32:39 2013, (3886730000 clock):	186000 evaluated; 0 wrong controls; 25759 violate mass constrain.
Sat Jun  8 22:33:01 2013, (3908170000 clock):	187000 evaluated; 0 wrong controls; 25876 violate mass constrain.
Sat Jun  8 22:33:22 2013, (3929470000 clock):	188000 evaluated; 0 wrong controls; 25975 violate mass constrain.
Sat Jun  8 22:33:44 2013, (3950630000 clock):	189000 evaluated; 0 wrong controls; 26094 violate mass constrain.
