Sat Jun  8 21:25:59 2013, (0 clock):	Start log file
Sat Jun  8 21:25:59 2013, (0 clock):	Inequality on param.dimensions cause width recalculation
Sat Jun  8 21:25:59 2013, (0 clock):	Some of the parameters in the given file were wrong - using default ones.
Sat Jun  8 21:25:59 2013, (0 clock):	Parameters loaded.
Sat Jun  8 21:25:59 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 10000
    length: 100
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Sat Jun  8 21:42:02 2013, (930150000 clock):	48000 evaluated; 0 wrong controls; 11401 violate mass constrain.
Sat Jun  8 21:42:22 2013, (949900000 clock):	49000 evaluated; 0 wrong controls; 11641 violate mass constrain.
Sat Jun  8 21:42:43 2013, (969910000 clock):	50000 evaluated; 0 wrong controls; 11897 violate mass constrain.
Sat Jun  8 21:43:04 2013, (989910000 clock):	51000 evaluated; 0 wrong controls; 12115 violate mass constrain.
Sat Jun  8 21:43:24 2013, (1009790000 clock):	52000 evaluated; 0 wrong controls; 12346 violate mass constrain.
Sat Jun  8 21:43:44 2013, (1028820000 clock):	53000 evaluated; 0 wrong controls; 12572 violate mass constrain.
Sat Jun  8 21:44:05 2013, (1048250000 clock):	54000 evaluated; 0 wrong controls; 12804 violate mass constrain.
Sat Jun  8 21:44:24 2013, (1066960000 clock):	55000 evaluated; 0 wrong controls; 13045 violate mass constrain.
Sat Jun  8 21:44:44 2013, (1086200000 clock):	56000 evaluated; 0 wrong controls; 13287 violate mass constrain.
Sat Jun  8 21:45:03 2013, (1105150000 clock):	57000 evaluated; 0 wrong controls; 13520 violate mass constrain.
Sat Jun  8 21:45:26 2013, (1125260000 clock):	58000 evaluated; 0 wrong controls; 13749 violate mass constrain.
Sat Jun  8 21:45:47 2013, (1144670000 clock):	59000 evaluated; 0 wrong controls; 13972 violate mass constrain.
Sat Jun  8 21:46:06 2013, (1163710000 clock):	60000 evaluated; 0 wrong controls; 14199 violate mass constrain.
Sat Jun  8 21:46:27 2013, (1182950000 clock):	61000 evaluated; 0 wrong controls; 14437 violate mass constrain.
Sat Jun  8 21:46:47 2013, (1202490000 clock):	62000 evaluated; 0 wrong controls; 14652 violate mass constrain.
Sat Jun  8 21:47:06 2013, (1221110000 clock):	63000 evaluated; 0 wrong controls; 14920 violate mass constrain.
Sat Jun  8 21:47:28 2013, (1240270000 clock):	64000 evaluated; 0 wrong controls; 15156 violate mass constrain.
Sat Jun  8 21:47:49 2013, (1260270000 clock):	65000 evaluated; 0 wrong controls; 15395 violate mass constrain.
Sat Jun  8 21:48:09 2013, (1279900000 clock):	66000 evaluated; 0 wrong controls; 15639 violate mass constrain.
Sat Jun  8 21:48:28 2013, (1297870000 clock):	67000 evaluated; 0 wrong controls; 16014 violate mass constrain.
Sat Jun  8 21:48:46 2013, (1316010000 clock):	68000 evaluated; 0 wrong controls; 16331 violate mass constrain.
Sat Jun  8 21:49:05 2013, (1334500000 clock):	69000 evaluated; 0 wrong controls; 16602 violate mass constrain.
Sat Jun  8 21:49:26 2013, (1354250000 clock):	70000 evaluated; 0 wrong controls; 16857 violate mass constrain.
Sat Jun  8 21:49:46 2013, (1373050000 clock):	71000 evaluated; 0 wrong controls; 17087 violate mass constrain.
Sat Jun  8 21:50:06 2013, (1392930000 clock):	72000 evaluated; 0 wrong controls; 17335 violate mass constrain.
Sat Jun  8 21:50:26 2013, (1412140000 clock):	73000 evaluated; 0 wrong controls; 17573 violate mass constrain.
Sat Jun  8 21:50:45 2013, (1430170000 clock):	74000 evaluated; 0 wrong controls; 17813 violate mass constrain.
Sat Jun  8 21:51:05 2013, (1449200000 clock):	75000 evaluated; 0 wrong controls; 18053 violate mass constrain.
Sat Jun  8 21:51:24 2013, (1467580000 clock):	76000 evaluated; 0 wrong controls; 18293 violate mass constrain.
Sat Jun  8 21:51:43 2013, (1486390000 clock):	77000 evaluated; 0 wrong controls; 18508 violate mass constrain.
Sat Jun  8 21:52:03 2013, (1505170000 clock):	78000 evaluated; 0 wrong controls; 18742 violate mass constrain.
Sat Jun  8 21:52:23 2013, (1523900000 clock):	79000 evaluated; 0 wrong controls; 18988 violate mass constrain.
Sat Jun  8 21:52:42 2013, (1542480000 clock):	80000 evaluated; 0 wrong controls; 19236 violate mass constrain.
Sat Jun  8 21:53:02 2013, (1561660000 clock):	81000 evaluated; 0 wrong controls; 19479 violate mass constrain.
Sat Jun  8 21:53:22 2013, (1581260000 clock):	82000 evaluated; 0 wrong controls; 19741 violate mass constrain.
Sat Jun  8 21:53:42 2013, (1600020000 clock):	83000 evaluated; 0 wrong controls; 20007 violate mass constrain.
Sat Jun  8 21:54:02 2013, (1618730000 clock):	84000 evaluated; 0 wrong controls; 20244 violate mass constrain.
Sat Jun  8 21:54:23 2013, (1638630000 clock):	85000 evaluated; 0 wrong controls; 20470 violate mass constrain.
Sat Jun  8 21:54:44 2013, (1658490000 clock):	86000 evaluated; 0 wrong controls; 20718 violate mass constrain.
Sat Jun  8 21:55:03 2013, (1676860000 clock):	87000 evaluated; 0 wrong controls; 20975 violate mass constrain.
