Tue Jul  2 12:48:38 2013, (0 clock):	Start log file
Tue Jul  2 12:48:38 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:38 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:38 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 13:02:20 2013, (800400000 clock):	50000 evaluated; 0 wrong controls; 25422 violate mass constrain.
Tue Jul  2 13:02:32 2013, (812670000 clock):	51000 evaluated; 0 wrong controls; 26158 violate mass constrain.
Tue Jul  2 13:02:51 2013, (831040000 clock):	52000 evaluated; 0 wrong controls; 26374 violate mass constrain.
Tue Jul  2 13:03:10 2013, (849530000 clock):	53000 evaluated; 0 wrong controls; 26600 violate mass constrain.
Tue Jul  2 13:03:29 2013, (868450000 clock):	54000 evaluated; 0 wrong controls; 26801 violate mass constrain.
Tue Jul  2 13:03:49 2013, (887640000 clock):	55000 evaluated; 0 wrong controls; 27017 violate mass constrain.
Tue Jul  2 13:04:03 2013, (902000000 clock):	56000 evaluated; 0 wrong controls; 27612 violate mass constrain.
Tue Jul  2 13:04:14 2013, (912100000 clock):	57000 evaluated; 0 wrong controls; 28513 violate mass constrain.
Tue Jul  2 13:04:24 2013, (922040000 clock):	58000 evaluated; 0 wrong controls; 29388 violate mass constrain.
Tue Jul  2 13:04:34 2013, (931610000 clock):	59000 evaluated; 0 wrong controls; 30271 violate mass constrain.
Tue Jul  2 13:04:46 2013, (942920000 clock):	60000 evaluated; 0 wrong controls; 31087 violate mass constrain.
Tue Jul  2 13:05:04 2013, (960420000 clock):	61000 evaluated; 0 wrong controls; 31558 violate mass constrain.
Tue Jul  2 13:05:23 2013, (979080000 clock):	62000 evaluated; 0 wrong controls; 31834 violate mass constrain.
Tue Jul  2 13:05:40 2013, (996190000 clock):	63000 evaluated; 0 wrong controls; 32127 violate mass constrain.
Tue Jul  2 13:05:58 2013, (1013430000 clock):	64000 evaluated; 0 wrong controls; 32424 violate mass constrain.
Tue Jul  2 13:06:16 2013, (1031590000 clock):	65000 evaluated; 0 wrong controls; 32723 violate mass constrain.
Tue Jul  2 13:06:32 2013, (1046560000 clock):	66000 evaluated; 0 wrong controls; 33286 violate mass constrain.
Tue Jul  2 13:06:41 2013, (1056020000 clock):	67000 evaluated; 0 wrong controls; 34192 violate mass constrain.
Tue Jul  2 13:06:51 2013, (1065600000 clock):	68000 evaluated; 0 wrong controls; 35094 violate mass constrain.
Tue Jul  2 13:07:03 2013, (1076590000 clock):	69000 evaluated; 0 wrong controls; 35859 violate mass constrain.
Tue Jul  2 13:07:21 2013, (1094840000 clock):	70000 evaluated; 0 wrong controls; 36125 violate mass constrain.
Tue Jul  2 13:07:43 2013, (1115890000 clock):	71000 evaluated; 0 wrong controls; 36304 violate mass constrain.
Tue Jul  2 13:08:02 2013, (1135220000 clock):	72000 evaluated; 0 wrong controls; 36486 violate mass constrain.
Tue Jul  2 13:08:22 2013, (1154390000 clock):	73000 evaluated; 0 wrong controls; 36670 violate mass constrain.
Tue Jul  2 13:08:41 2013, (1173200000 clock):	74000 evaluated; 0 wrong controls; 36874 violate mass constrain.
Tue Jul  2 13:09:00 2013, (1191710000 clock):	75000 evaluated; 0 wrong controls; 37084 violate mass constrain.
Tue Jul  2 13:09:16 2013, (1207210000 clock):	76000 evaluated; 0 wrong controls; 37500 violate mass constrain.
Tue Jul  2 13:09:26 2013, (1216730000 clock):	77000 evaluated; 0 wrong controls; 38403 violate mass constrain.
Tue Jul  2 13:09:36 2013, (1226730000 clock):	78000 evaluated; 0 wrong controls; 39322 violate mass constrain.
Tue Jul  2 13:09:47 2013, (1237380000 clock):	79000 evaluated; 0 wrong controls; 40218 violate mass constrain.
Tue Jul  2 13:09:58 2013, (1247410000 clock):	80000 evaluated; 0 wrong controls; 41093 violate mass constrain.
Tue Jul  2 13:10:08 2013, (1257610000 clock):	81000 evaluated; 0 wrong controls; 41928 violate mass constrain.
Tue Jul  2 13:10:20 2013, (1268640000 clock):	82000 evaluated; 0 wrong controls; 42699 violate mass constrain.
Tue Jul  2 13:10:35 2013, (1283830000 clock):	83000 evaluated; 0 wrong controls; 43144 violate mass constrain.
Tue Jul  2 13:10:53 2013, (1300950000 clock):	84000 evaluated; 0 wrong controls; 43468 violate mass constrain.
