Tue Jul  2 12:48:39 2013, (0 clock):	Start log file
Tue Jul  2 12:48:39 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:39 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:39 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 12:48:56 2013, (15020000 clock):	1000 evaluated; 0 wrong controls; 915 violate mass constrain.
Tue Jul  2 12:49:13 2013, (31330000 clock):	2000 evaluated; 0 wrong controls; 1786 violate mass constrain.
Tue Jul  2 12:49:31 2013, (47720000 clock):	3000 evaluated; 0 wrong controls; 2607 violate mass constrain.
Tue Jul  2 12:49:48 2013, (64890000 clock):	4000 evaluated; 0 wrong controls; 3306 violate mass constrain.
Tue Jul  2 12:50:06 2013, (82270000 clock):	5000 evaluated; 0 wrong controls; 3986 violate mass constrain.
Tue Jul  2 12:50:18 2013, (93200000 clock):	6000 evaluated; 0 wrong controls; 4912 violate mass constrain.
Tue Jul  2 12:50:32 2013, (106410000 clock):	7000 evaluated; 0 wrong controls; 5811 violate mass constrain.
Tue Jul  2 12:50:50 2013, (123750000 clock):	8000 evaluated; 0 wrong controls; 6482 violate mass constrain.
Tue Jul  2 12:51:10 2013, (143430000 clock):	9000 evaluated; 0 wrong controls; 7010 violate mass constrain.
Tue Jul  2 12:51:31 2013, (164050000 clock):	10000 evaluated; 0 wrong controls; 7559 violate mass constrain.
Tue Jul  2 12:51:47 2013, (179080000 clock):	11000 evaluated; 0 wrong controls; 8205 violate mass constrain.
