Tue Jul  2 12:48:40 2013, (0 clock):	Start log file
Tue Jul  2 12:48:40 2013, (0 clock):	Parameters loaded.
Tue Jul  2 12:48:40 2013, (0 clock):	controls:
  bounds:
    - 150
    - -150
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 2
  type: IDW-CONTROLS
Tue Jul  2 12:48:40 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Tue Jul  2 12:57:35 2013, (511430000 clock):	50000 evaluated; 0 wrong controls; 46588 violate mass constrain.
Tue Jul  2 12:57:45 2013, (520840000 clock):	51000 evaluated; 0 wrong controls; 47524 violate mass constrain.
Tue Jul  2 12:57:54 2013, (529570000 clock):	52000 evaluated; 0 wrong controls; 48457 violate mass constrain.
Tue Jul  2 12:58:04 2013, (538730000 clock):	53000 evaluated; 0 wrong controls; 49393 violate mass constrain.
Tue Jul  2 12:58:13 2013, (547630000 clock):	54000 evaluated; 0 wrong controls; 50337 violate mass constrain.
Tue Jul  2 12:58:23 2013, (557660000 clock):	55000 evaluated; 0 wrong controls; 51260 violate mass constrain.
Tue Jul  2 12:58:33 2013, (566490000 clock):	56000 evaluated; 0 wrong controls; 52193 violate mass constrain.
Tue Jul  2 12:58:43 2013, (576490000 clock):	57000 evaluated; 0 wrong controls; 53131 violate mass constrain.
Tue Jul  2 12:58:53 2013, (585970000 clock):	58000 evaluated; 0 wrong controls; 54051 violate mass constrain.
Tue Jul  2 12:59:05 2013, (597330000 clock):	59000 evaluated; 0 wrong controls; 54982 violate mass constrain.
Tue Jul  2 12:59:15 2013, (607210000 clock):	60000 evaluated; 0 wrong controls; 55907 violate mass constrain.
Tue Jul  2 12:59:24 2013, (616420000 clock):	61000 evaluated; 0 wrong controls; 56829 violate mass constrain.
Tue Jul  2 12:59:34 2013, (625630000 clock):	62000 evaluated; 0 wrong controls; 57757 violate mass constrain.
Tue Jul  2 12:59:43 2013, (634640000 clock):	63000 evaluated; 0 wrong controls; 58691 violate mass constrain.
Tue Jul  2 12:59:53 2013, (643740000 clock):	64000 evaluated; 0 wrong controls; 59633 violate mass constrain.
Tue Jul  2 13:00:02 2013, (652830000 clock):	65000 evaluated; 0 wrong controls; 60565 violate mass constrain.
Tue Jul  2 13:00:12 2013, (661850000 clock):	66000 evaluated; 0 wrong controls; 61488 violate mass constrain.
Tue Jul  2 13:00:21 2013, (670630000 clock):	67000 evaluated; 0 wrong controls; 62415 violate mass constrain.
Tue Jul  2 13:00:32 2013, (681200000 clock):	68000 evaluated; 0 wrong controls; 63367 violate mass constrain.
Tue Jul  2 13:00:41 2013, (690540000 clock):	69000 evaluated; 0 wrong controls; 64304 violate mass constrain.
Tue Jul  2 13:00:51 2013, (699820000 clock):	70000 evaluated; 0 wrong controls; 65227 violate mass constrain.
Tue Jul  2 13:01:01 2013, (709300000 clock):	71000 evaluated; 0 wrong controls; 66154 violate mass constrain.
Tue Jul  2 13:01:10 2013, (718230000 clock):	72000 evaluated; 0 wrong controls; 67096 violate mass constrain.
Tue Jul  2 13:01:20 2013, (727920000 clock):	73000 evaluated; 0 wrong controls; 68027 violate mass constrain.
Tue Jul  2 13:01:30 2013, (737220000 clock):	74000 evaluated; 0 wrong controls; 68938 violate mass constrain.
Tue Jul  2 13:01:39 2013, (746390000 clock):	75000 evaluated; 0 wrong controls; 69863 violate mass constrain.
Tue Jul  2 13:01:50 2013, (756130000 clock):	76000 evaluated; 0 wrong controls; 70804 violate mass constrain.
Tue Jul  2 13:01:59 2013, (765650000 clock):	77000 evaluated; 0 wrong controls; 71745 violate mass constrain.
Tue Jul  2 13:02:11 2013, (776450000 clock):	78000 evaluated; 0 wrong controls; 72663 violate mass constrain.
Tue Jul  2 13:02:21 2013, (786240000 clock):	79000 evaluated; 0 wrong controls; 73593 violate mass constrain.
Tue Jul  2 13:02:31 2013, (795770000 clock):	80000 evaluated; 0 wrong controls; 74531 violate mass constrain.
Tue Jul  2 13:02:40 2013, (804770000 clock):	81000 evaluated; 0 wrong controls; 75464 violate mass constrain.
Tue Jul  2 13:02:50 2013, (814490000 clock):	82000 evaluated; 0 wrong controls; 76403 violate mass constrain.
Tue Jul  2 13:03:00 2013, (823740000 clock):	83000 evaluated; 0 wrong controls; 77337 violate mass constrain.
Tue Jul  2 13:03:10 2013, (833360000 clock):	84000 evaluated; 0 wrong controls; 78273 violate mass constrain.
Tue Jul  2 13:03:19 2013, (842390000 clock):	85000 evaluated; 0 wrong controls; 79210 violate mass constrain.
Tue Jul  2 13:03:31 2013, (853450000 clock):	86000 evaluated; 0 wrong controls; 80124 violate mass constrain.
Tue Jul  2 13:03:41 2013, (863140000 clock):	87000 evaluated; 0 wrong controls; 81069 violate mass constrain.
Tue Jul  2 13:03:51 2013, (872700000 clock):	88000 evaluated; 0 wrong controls; 81998 violate mass constrain.
Tue Jul  2 13:04:00 2013, (881610000 clock):	89000 evaluated; 0 wrong controls; 82935 violate mass constrain.
Tue Jul  2 13:04:09 2013, (890520000 clock):	90000 evaluated; 0 wrong controls; 83858 violate mass constrain.
Tue Jul  2 13:04:19 2013, (899860000 clock):	91000 evaluated; 0 wrong controls; 84802 violate mass constrain.
Tue Jul  2 13:04:28 2013, (908870000 clock):	92000 evaluated; 0 wrong controls; 85729 violate mass constrain.
Tue Jul  2 13:04:37 2013, (917760000 clock):	93000 evaluated; 0 wrong controls; 86667 violate mass constrain.
Tue Jul  2 13:04:49 2013, (929320000 clock):	94000 evaluated; 0 wrong controls; 87598 violate mass constrain.
Tue Jul  2 13:04:59 2013, (938780000 clock):	95000 evaluated; 0 wrong controls; 88533 violate mass constrain.
Tue Jul  2 13:05:09 2013, (948420000 clock):	96000 evaluated; 0 wrong controls; 89471 violate mass constrain.
Tue Jul  2 13:05:19 2013, (957960000 clock):	97000 evaluated; 0 wrong controls; 90401 violate mass constrain.
Tue Jul  2 13:05:29 2013, (967340000 clock):	98000 evaluated; 0 wrong controls; 91325 violate mass constrain.
Tue Jul  2 13:05:39 2013, (976890000 clock):	99000 evaluated; 0 wrong controls; 92251 violate mass constrain.
Tue Jul  2 13:05:48 2013, (985940000 clock):	100000 evaluated; 0 wrong controls; 93180 violate mass constrain.
Tue Jul  2 13:05:59 2013, (996410000 clock):	101000 evaluated; 0 wrong controls; 94098 violate mass constrain.
Tue Jul  2 13:06:09 2013, (1006120000 clock):	102000 evaluated; 0 wrong controls; 95035 violate mass constrain.
Tue Jul  2 13:06:19 2013, (1015400000 clock):	103000 evaluated; 0 wrong controls; 95965 violate mass constrain.
Tue Jul  2 13:06:30 2013, (1026200000 clock):	104000 evaluated; 0 wrong controls; 96893 violate mass constrain.
Tue Jul  2 13:06:40 2013, (1035580000 clock):	105000 evaluated; 0 wrong controls; 97830 violate mass constrain.
Tue Jul  2 13:06:49 2013, (1044580000 clock):	106000 evaluated; 0 wrong controls; 98759 violate mass constrain.
Tue Jul  2 13:06:58 2013, (1053760000 clock):	107000 evaluated; 0 wrong controls; 99689 violate mass constrain.
Tue Jul  2 13:07:08 2013, (1062730000 clock):	108000 evaluated; 0 wrong controls; 100612 violate mass constrain.
Tue Jul  2 13:07:17 2013, (1071780000 clock):	109000 evaluated; 0 wrong controls; 101532 violate mass constrain.
Tue Jul  2 13:07:27 2013, (1080850000 clock):	110000 evaluated; 0 wrong controls; 102456 violate mass constrain.
Tue Jul  2 13:07:37 2013, (1090790000 clock):	111000 evaluated; 0 wrong controls; 103386 violate mass constrain.
Tue Jul  2 13:07:48 2013, (1101040000 clock):	112000 evaluated; 0 wrong controls; 104321 violate mass constrain.
Tue Jul  2 13:07:57 2013, (1110110000 clock):	113000 evaluated; 0 wrong controls; 105245 violate mass constrain.
Tue Jul  2 13:08:07 2013, (1120030000 clock):	114000 evaluated; 0 wrong controls; 106177 violate mass constrain.
