Thu Jul  4 11:44:17 2013, (0 clock):	Start log file
Thu Jul  4 11:44:17 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:17 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:17 2013, (20000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 11:44:28 2013, (9650000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Thu Jul  4 11:46:33 2013, (129100000 clock):	14000 evaluated; 0 wrong controls; 14000 violate mass constrain.
Thu Jul  4 11:46:42 2013, (138360000 clock):	15000 evaluated; 0 wrong controls; 15000 violate mass constrain.
Thu Jul  4 11:46:52 2013, (147700000 clock):	16000 evaluated; 0 wrong controls; 16000 violate mass constrain.
Thu Jul  4 11:47:02 2013, (156790000 clock):	17000 evaluated; 0 wrong controls; 17000 violate mass constrain.
Thu Jul  4 11:47:11 2013, (165800000 clock):	18000 evaluated; 0 wrong controls; 18000 violate mass constrain.
Thu Jul  4 11:47:21 2013, (175080000 clock):	19000 evaluated; 0 wrong controls; 18987 violate mass constrain.
Thu Jul  4 11:47:41 2013, (195000000 clock):	20000 evaluated; 0 wrong controls; 19510 violate mass constrain.
Thu Jul  4 11:48:03 2013, (216580000 clock):	21000 evaluated; 0 wrong controls; 19984 violate mass constrain.
Thu Jul  4 11:48:25 2013, (238300000 clock):	22000 evaluated; 0 wrong controls; 20417 violate mass constrain.
Thu Jul  4 11:48:47 2013, (260060000 clock):	23000 evaluated; 0 wrong controls; 20833 violate mass constrain.
Thu Jul  4 11:49:09 2013, (281280000 clock):	24000 evaluated; 0 wrong controls; 21271 violate mass constrain.
Thu Jul  4 11:49:31 2013, (303600000 clock):	25000 evaluated; 0 wrong controls; 21689 violate mass constrain.
Thu Jul  4 11:49:44 2013, (315700000 clock):	26000 evaluated; 0 wrong controls; 22528 violate mass constrain.
Thu Jul  4 11:50:07 2013, (338930000 clock):	27000 evaluated; 0 wrong controls; 22895 violate mass constrain.
Thu Jul  4 11:50:32 2013, (362770000 clock):	28000 evaluated; 0 wrong controls; 23231 violate mass constrain.
Thu Jul  4 11:50:55 2013, (385390000 clock):	29000 evaluated; 0 wrong controls; 23607 violate mass constrain.
Thu Jul  4 11:51:17 2013, (407410000 clock):	30000 evaluated; 0 wrong controls; 23966 violate mass constrain.
Thu Jul  4 11:51:40 2013, (429880000 clock):	31000 evaluated; 0 wrong controls; 24315 violate mass constrain.
Thu Jul  4 11:52:03 2013, (452520000 clock):	32000 evaluated; 0 wrong controls; 24657 violate mass constrain.
Thu Jul  4 11:52:26 2013, (474970000 clock):	33000 evaluated; 0 wrong controls; 25007 violate mass constrain.
Thu Jul  4 11:52:49 2013, (498010000 clock):	34000 evaluated; 0 wrong controls; 25344 violate mass constrain.
Thu Jul  4 11:53:13 2013, (520950000 clock):	35000 evaluated; 0 wrong controls; 25674 violate mass constrain.
Thu Jul  4 11:53:26 2013, (533990000 clock):	36000 evaluated; 0 wrong controls; 26473 violate mass constrain.
Thu Jul  4 11:53:40 2013, (547460000 clock):	37000 evaluated; 0 wrong controls; 27284 violate mass constrain.
Thu Jul  4 11:54:06 2013, (573500000 clock):	38000 evaluated; 0 wrong controls; 27496 violate mass constrain.
Thu Jul  4 11:54:32 2013, (599180000 clock):	39000 evaluated; 0 wrong controls; 27733 violate mass constrain.
Thu Jul  4 11:54:57 2013, (623840000 clock):	40000 evaluated; 0 wrong controls; 27984 violate mass constrain.
Thu Jul  4 11:55:23 2013, (648680000 clock):	41000 evaluated; 0 wrong controls; 28237 violate mass constrain.
Thu Jul  4 11:55:47 2013, (672930000 clock):	42000 evaluated; 0 wrong controls; 28533 violate mass constrain.
Thu Jul  4 11:56:12 2013, (697250000 clock):	43000 evaluated; 0 wrong controls; 28790 violate mass constrain.
Thu Jul  4 11:56:37 2013, (721840000 clock):	44000 evaluated; 0 wrong controls; 29055 violate mass constrain.
Thu Jul  4 11:57:03 2013, (747400000 clock):	45000 evaluated; 0 wrong controls; 29278 violate mass constrain.
Thu Jul  4 11:57:19 2013, (762700000 clock):	46000 evaluated; 0 wrong controls; 29970 violate mass constrain.
Thu Jul  4 11:57:33 2013, (776280000 clock):	47000 evaluated; 0 wrong controls; 30733 violate mass constrain.
Thu Jul  4 11:57:57 2013, (799980000 clock):	48000 evaluated; 0 wrong controls; 31001 violate mass constrain.
Thu Jul  4 11:58:23 2013, (825380000 clock):	49000 evaluated; 0 wrong controls; 31213 violate mass constrain.
Thu Jul  4 11:58:48 2013, (850250000 clock):	50000 evaluated; 0 wrong controls; 31444 violate mass constrain.
Thu Jul  4 11:59:13 2013, (874980000 clock):	51000 evaluated; 0 wrong controls; 31710 violate mass constrain.
Thu Jul  4 11:59:39 2013, (900060000 clock):	52000 evaluated; 0 wrong controls; 31941 violate mass constrain.
Thu Jul  4 12:00:03 2013, (924480000 clock):	53000 evaluated; 0 wrong controls; 32212 violate mass constrain.
Thu Jul  4 12:00:28 2013, (948390000 clock):	54000 evaluated; 0 wrong controls; 32514 violate mass constrain.
Thu Jul  4 12:00:51 2013, (971100000 clock):	55000 evaluated; 0 wrong controls; 32851 violate mass constrain.
Thu Jul  4 12:01:07 2013, (986750000 clock):	56000 evaluated; 0 wrong controls; 33521 violate mass constrain.
Thu Jul  4 12:01:18 2013, (997530000 clock):	57000 evaluated; 0 wrong controls; 34427 violate mass constrain.
Thu Jul  4 12:01:42 2013, (1020890000 clock):	58000 evaluated; 0 wrong controls; 34726 violate mass constrain.
Thu Jul  4 12:02:05 2013, (1043530000 clock):	59000 evaluated; 0 wrong controls; 35048 violate mass constrain.
Thu Jul  4 12:02:30 2013, (1068210000 clock):	60000 evaluated; 0 wrong controls; 35278 violate mass constrain.
Thu Jul  4 12:02:55 2013, (1092670000 clock):	61000 evaluated; 0 wrong controls; 35544 violate mass constrain.
Thu Jul  4 12:03:19 2013, (1116720000 clock):	62000 evaluated; 0 wrong controls; 35792 violate mass constrain.
Thu Jul  4 12:03:46 2013, (1142960000 clock):	63000 evaluated; 0 wrong controls; 35992 violate mass constrain.
Thu Jul  4 12:04:13 2013, (1169520000 clock):	64000 evaluated; 0 wrong controls; 36176 violate mass constrain.
Thu Jul  4 12:04:39 2013, (1195000000 clock):	65000 evaluated; 0 wrong controls; 36375 violate mass constrain.
Thu Jul  4 12:04:58 2013, (1213810000 clock):	66000 evaluated; 0 wrong controls; 36896 violate mass constrain.
Thu Jul  4 12:05:07 2013, (1222610000 clock):	67000 evaluated; 0 wrong controls; 37894 violate mass constrain.
Thu Jul  4 12:05:27 2013, (1241750000 clock):	68000 evaluated; 0 wrong controls; 38408 violate mass constrain.
Thu Jul  4 12:05:53 2013, (1267310000 clock):	69000 evaluated; 0 wrong controls; 38645 violate mass constrain.
Thu Jul  4 12:06:18 2013, (1292680000 clock):	70000 evaluated; 0 wrong controls; 38876 violate mass constrain.
Thu Jul  4 12:06:45 2013, (1318940000 clock):	71000 evaluated; 0 wrong controls; 39081 violate mass constrain.
Thu Jul  4 12:07:12 2013, (1344920000 clock):	72000 evaluated; 0 wrong controls; 39250 violate mass constrain.
Thu Jul  4 12:07:39 2013, (1371520000 clock):	73000 evaluated; 0 wrong controls; 39398 violate mass constrain.
Thu Jul  4 12:08:05 2013, (1398080000 clock):	74000 evaluated; 0 wrong controls; 39554 violate mass constrain.
Thu Jul  4 12:08:32 2013, (1424220000 clock):	75000 evaluated; 0 wrong controls; 39730 violate mass constrain.
Thu Jul  4 12:08:54 2013, (1445450000 clock):	76000 evaluated; 0 wrong controls; 40164 violate mass constrain.
Thu Jul  4 12:09:03 2013, (1454400000 clock):	77000 evaluated; 0 wrong controls; 41161 violate mass constrain.
Thu Jul  4 12:09:24 2013, (1474820000 clock):	78000 evaluated; 0 wrong controls; 41633 violate mass constrain.
Thu Jul  4 12:09:50 2013, (1500830000 clock):	79000 evaluated; 0 wrong controls; 41814 violate mass constrain.
Thu Jul  4 12:10:18 2013, (1527880000 clock):	80000 evaluated; 0 wrong controls; 41959 violate mass constrain.
Thu Jul  4 12:10:46 2013, (1555990000 clock):	81000 evaluated; 0 wrong controls; 42099 violate mass constrain.
Thu Jul  4 12:11:15 2013, (1584050000 clock):	82000 evaluated; 0 wrong controls; 42239 violate mass constrain.
Thu Jul  4 12:11:43 2013, (1611610000 clock):	83000 evaluated; 0 wrong controls; 42365 violate mass constrain.
Thu Jul  4 12:12:10 2013, (1638030000 clock):	84000 evaluated; 0 wrong controls; 42509 violate mass constrain.
Thu Jul  4 12:12:37 2013, (1665130000 clock):	85000 evaluated; 0 wrong controls; 42632 violate mass constrain.
Thu Jul  4 12:13:01 2013, (1688350000 clock):	86000 evaluated; 0 wrong controls; 42940 violate mass constrain.
Thu Jul  4 12:13:10 2013, (1697210000 clock):	87000 evaluated; 0 wrong controls; 43940 violate mass constrain.
Thu Jul  4 12:13:22 2013, (1709100000 clock):	88000 evaluated; 0 wrong controls; 44795 violate mass constrain.
Thu Jul  4 12:13:46 2013, (1732380000 clock):	89000 evaluated; 0 wrong controls; 45089 violate mass constrain.
Thu Jul  4 12:14:11 2013, (1756790000 clock):	90000 evaluated; 0 wrong controls; 45340 violate mass constrain.
Thu Jul  4 12:14:37 2013, (1782710000 clock):	91000 evaluated; 0 wrong controls; 45526 violate mass constrain.
Thu Jul  4 12:15:04 2013, (1809010000 clock):	92000 evaluated; 0 wrong controls; 45700 violate mass constrain.
Thu Jul  4 12:15:30 2013, (1835200000 clock):	93000 evaluated; 0 wrong controls; 45887 violate mass constrain.
Thu Jul  4 12:15:57 2013, (1861230000 clock):	94000 evaluated; 0 wrong controls; 46081 violate mass constrain.
Thu Jul  4 12:16:22 2013, (1886000000 clock):	95000 evaluated; 0 wrong controls; 46304 violate mass constrain.
Thu Jul  4 12:16:45 2013, (1909190000 clock):	96000 evaluated; 0 wrong controls; 46649 violate mass constrain.
Thu Jul  4 12:16:55 2013, (1918000000 clock):	97000 evaluated; 0 wrong controls; 47647 violate mass constrain.
Thu Jul  4 12:17:15 2013, (1937850000 clock):	98000 evaluated; 0 wrong controls; 48128 violate mass constrain.
Thu Jul  4 12:17:41 2013, (1964000000 clock):	99000 evaluated; 0 wrong controls; 48287 violate mass constrain.
Thu Jul  4 12:18:09 2013, (1991080000 clock):	100000 evaluated; 0 wrong controls; 48422 violate mass constrain.
Thu Jul  4 12:18:36 2013, (2018210000 clock):	101000 evaluated; 0 wrong controls; 48527 violate mass constrain.
Thu Jul  4 12:19:04 2013, (2045810000 clock):	102000 evaluated; 0 wrong controls; 48628 violate mass constrain.
Thu Jul  4 12:19:32 2013, (2073070000 clock):	103000 evaluated; 0 wrong controls; 48750 violate mass constrain.
Thu Jul  4 12:19:59 2013, (2099850000 clock):	104000 evaluated; 0 wrong controls; 48892 violate mass constrain.
Thu Jul  4 12:20:25 2013, (2125480000 clock):	105000 evaluated; 0 wrong controls; 49086 violate mass constrain.
Thu Jul  4 12:20:50 2013, (2149740000 clock):	106000 evaluated; 0 wrong controls; 49335 violate mass constrain.
Thu Jul  4 12:20:59 2013, (2158630000 clock):	107000 evaluated; 0 wrong controls; 50335 violate mass constrain.
Thu Jul  4 12:21:13 2013, (2172330000 clock):	108000 evaluated; 0 wrong controls; 51095 violate mass constrain.
Thu Jul  4 12:21:38 2013, (2196130000 clock):	109000 evaluated; 0 wrong controls; 51375 violate mass constrain.
Thu Jul  4 12:22:02 2013, (2220570000 clock):	110000 evaluated; 0 wrong controls; 51615 violate mass constrain.
Thu Jul  4 12:22:29 2013, (2246700000 clock):	111000 evaluated; 0 wrong controls; 51791 violate mass constrain.
Thu Jul  4 12:22:55 2013, (2272640000 clock):	112000 evaluated; 0 wrong controls; 51961 violate mass constrain.
Thu Jul  4 12:23:23 2013, (2300060000 clock):	113000 evaluated; 0 wrong controls; 52120 violate mass constrain.
Thu Jul  4 12:23:49 2013, (2325770000 clock):	114000 evaluated; 0 wrong controls; 52316 violate mass constrain.
Thu Jul  4 12:24:16 2013, (2351710000 clock):	115000 evaluated; 0 wrong controls; 52483 violate mass constrain.
Thu Jul  4 12:24:42 2013, (2377820000 clock):	116000 evaluated; 0 wrong controls; 52658 violate mass constrain.
Thu Jul  4 12:24:53 2013, (2388170000 clock):	117000 evaluated; 0 wrong controls; 53591 violate mass constrain.
Thu Jul  4 12:25:03 2013, (2398460000 clock):	118000 evaluated; 0 wrong controls; 54515 violate mass constrain.
Thu Jul  4 12:25:27 2013, (2421990000 clock):	119000 evaluated; 0 wrong controls; 54845 violate mass constrain.
Thu Jul  4 12:25:53 2013, (2447230000 clock):	120000 evaluated; 0 wrong controls; 55081 violate mass constrain.
Thu Jul  4 12:26:17 2013, (2471400000 clock):	121000 evaluated; 0 wrong controls; 55356 violate mass constrain.
Thu Jul  4 12:26:42 2013, (2495510000 clock):	122000 evaluated; 0 wrong controls; 55626 violate mass constrain.
Thu Jul  4 12:27:08 2013, (2520990000 clock):	123000 evaluated; 0 wrong controls; 55911 violate mass constrain.
Thu Jul  4 12:27:33 2013, (2545740000 clock):	124000 evaluated; 0 wrong controls; 56167 violate mass constrain.
Thu Jul  4 12:27:57 2013, (2569430000 clock):	125000 evaluated; 0 wrong controls; 56465 violate mass constrain.
Thu Jul  4 12:28:22 2013, (2593690000 clock):	126000 evaluated; 0 wrong controls; 56720 violate mass constrain.
Thu Jul  4 12:28:34 2013, (2605230000 clock):	127000 evaluated; 0 wrong controls; 57584 violate mass constrain.
Thu Jul  4 12:28:47 2013, (2618230000 clock):	128000 evaluated; 0 wrong controls; 58378 violate mass constrain.
Thu Jul  4 12:29:11 2013, (2641760000 clock):	129000 evaluated; 0 wrong controls; 58685 violate mass constrain.
Thu Jul  4 12:29:36 2013, (2666010000 clock):	130000 evaluated; 0 wrong controls; 59007 violate mass constrain.
Thu Jul  4 12:29:58 2013, (2688020000 clock):	131000 evaluated; 0 wrong controls; 59373 violate mass constrain.
Thu Jul  4 12:30:21 2013, (2710470000 clock):	132000 evaluated; 0 wrong controls; 59728 violate mass constrain.
Thu Jul  4 12:30:44 2013, (2733100000 clock):	133000 evaluated; 0 wrong controls; 60096 violate mass constrain.
Thu Jul  4 12:31:06 2013, (2754770000 clock):	134000 evaluated; 0 wrong controls; 60478 violate mass constrain.
Thu Jul  4 12:31:28 2013, (2776500000 clock):	135000 evaluated; 0 wrong controls; 60863 violate mass constrain.
Thu Jul  4 12:31:50 2013, (2798010000 clock):	136000 evaluated; 0 wrong controls; 61238 violate mass constrain.
Thu Jul  4 12:32:03 2013, (2810480000 clock):	137000 evaluated; 0 wrong controls; 62054 violate mass constrain.
Thu Jul  4 12:32:12 2013, (2819370000 clock):	138000 evaluated; 0 wrong controls; 63050 violate mass constrain.
Thu Jul  4 12:32:32 2013, (2838820000 clock):	139000 evaluated; 0 wrong controls; 63544 violate mass constrain.
Thu Jul  4 12:32:56 2013, (2862020000 clock):	140000 evaluated; 0 wrong controls; 63840 violate mass constrain.
Thu Jul  4 12:33:20 2013, (2886110000 clock):	141000 evaluated; 0 wrong controls; 64150 violate mass constrain.
Thu Jul  4 12:33:44 2013, (2909230000 clock):	142000 evaluated; 0 wrong controls; 64475 violate mass constrain.
Thu Jul  4 12:34:07 2013, (2932380000 clock):	143000 evaluated; 0 wrong controls; 64805 violate mass constrain.
Thu Jul  4 12:34:29 2013, (2953420000 clock):	144000 evaluated; 0 wrong controls; 65211 violate mass constrain.
Thu Jul  4 12:34:51 2013, (2975280000 clock):	145000 evaluated; 0 wrong controls; 65597 violate mass constrain.
Thu Jul  4 12:35:13 2013, (2997020000 clock):	146000 evaluated; 0 wrong controls; 66010 violate mass constrain.
Thu Jul  4 12:35:27 2013, (3010720000 clock):	147000 evaluated; 0 wrong controls; 66769 violate mass constrain.
Thu Jul  4 12:35:37 2013, (3019990000 clock):	148000 evaluated; 0 wrong controls; 67747 violate mass constrain.
Thu Jul  4 12:35:59 2013, (3041330000 clock):	149000 evaluated; 0 wrong controls; 68149 violate mass constrain.
Thu Jul  4 12:36:22 2013, (3064160000 clock):	150000 evaluated; 0 wrong controls; 68480 violate mass constrain.
Thu Jul  4 12:36:45 2013, (3086660000 clock):	151000 evaluated; 0 wrong controls; 68809 violate mass constrain.
Thu Jul  4 12:37:08 2013, (3109350000 clock):	152000 evaluated; 0 wrong controls; 69155 violate mass constrain.
Thu Jul  4 12:37:31 2013, (3132540000 clock):	153000 evaluated; 0 wrong controls; 69471 violate mass constrain.
Thu Jul  4 12:37:54 2013, (3154910000 clock):	154000 evaluated; 0 wrong controls; 69841 violate mass constrain.
Thu Jul  4 12:38:18 2013, (3177880000 clock):	155000 evaluated; 0 wrong controls; 70177 violate mass constrain.
Thu Jul  4 12:38:40 2013, (3199750000 clock):	156000 evaluated; 0 wrong controls; 70559 violate mass constrain.
Thu Jul  4 12:38:57 2013, (3216070000 clock):	157000 evaluated; 0 wrong controls; 71245 violate mass constrain.
Thu Jul  4 12:39:06 2013, (3224740000 clock):	158000 evaluated; 0 wrong controls; 72245 violate mass constrain.
Thu Jul  4 12:39:22 2013, (3240950000 clock):	159000 evaluated; 0 wrong controls; 72964 violate mass constrain.
Thu Jul  4 12:39:46 2013, (3264560000 clock):	160000 evaluated; 0 wrong controls; 73314 violate mass constrain.
Thu Jul  4 12:40:08 2013, (3286270000 clock):	161000 evaluated; 0 wrong controls; 73708 violate mass constrain.
Thu Jul  4 12:40:31 2013, (3308410000 clock):	162000 evaluated; 0 wrong controls; 74060 violate mass constrain.
Thu Jul  4 12:40:54 2013, (3330890000 clock):	163000 evaluated; 0 wrong controls; 74444 violate mass constrain.
Thu Jul  4 12:41:14 2013, (3350430000 clock):	164000 evaluated; 0 wrong controls; 74932 violate mass constrain.
Thu Jul  4 12:41:34 2013, (3370300000 clock):	165000 evaluated; 0 wrong controls; 75444 violate mass constrain.
Thu Jul  4 12:41:53 2013, (3388790000 clock):	166000 evaluated; 0 wrong controls; 75971 violate mass constrain.
Thu Jul  4 12:42:08 2013, (3403710000 clock):	167000 evaluated; 0 wrong controls; 76690 violate mass constrain.
Thu Jul  4 12:42:17 2013, (3412620000 clock):	168000 evaluated; 0 wrong controls; 77689 violate mass constrain.
Thu Jul  4 12:42:36 2013, (3430560000 clock):	169000 evaluated; 0 wrong controls; 78246 violate mass constrain.
Thu Jul  4 12:42:59 2013, (3453610000 clock):	170000 evaluated; 0 wrong controls; 78568 violate mass constrain.
Thu Jul  4 12:43:21 2013, (3474990000 clock):	171000 evaluated; 0 wrong controls; 78965 violate mass constrain.
Thu Jul  4 12:43:42 2013, (3495810000 clock):	172000 evaluated; 0 wrong controls; 79396 violate mass constrain.
Thu Jul  4 12:44:03 2013, (3516190000 clock):	173000 evaluated; 0 wrong controls; 79829 violate mass constrain.
Thu Jul  4 12:44:24 2013, (3537170000 clock):	174000 evaluated; 0 wrong controls; 80243 violate mass constrain.
Thu Jul  4 12:44:45 2013, (3557170000 clock):	175000 evaluated; 0 wrong controls; 80686 violate mass constrain.
Thu Jul  4 12:45:05 2013, (3577320000 clock):	176000 evaluated; 0 wrong controls; 81152 violate mass constrain.
Thu Jul  4 12:45:23 2013, (3594220000 clock):	177000 evaluated; 0 wrong controls; 81772 violate mass constrain.
Thu Jul  4 12:45:32 2013, (3602990000 clock):	178000 evaluated; 0 wrong controls; 82772 violate mass constrain.
Thu Jul  4 12:45:45 2013, (3616030000 clock):	179000 evaluated; 0 wrong controls; 83573 violate mass constrain.
Thu Jul  4 12:46:08 2013, (3638090000 clock):	180000 evaluated; 0 wrong controls; 83945 violate mass constrain.
Thu Jul  4 12:46:30 2013, (3660440000 clock):	181000 evaluated; 0 wrong controls; 84300 violate mass constrain.
Thu Jul  4 12:46:53 2013, (3682250000 clock):	182000 evaluated; 0 wrong controls; 84655 violate mass constrain.
Thu Jul  4 12:47:15 2013, (3704200000 clock):	183000 evaluated; 0 wrong controls; 85013 violate mass constrain.
Thu Jul  4 12:47:37 2013, (3725970000 clock):	184000 evaluated; 0 wrong controls; 85417 violate mass constrain.
Thu Jul  4 12:47:59 2013, (3747430000 clock):	185000 evaluated; 0 wrong controls; 85835 violate mass constrain.
Thu Jul  4 12:48:20 2013, (3768030000 clock):	186000 evaluated; 0 wrong controls; 86265 violate mass constrain.
Thu Jul  4 12:48:38 2013, (3785830000 clock):	187000 evaluated; 0 wrong controls; 86830 violate mass constrain.
Thu Jul  4 12:48:47 2013, (3794580000 clock):	188000 evaluated; 0 wrong controls; 87830 violate mass constrain.
Thu Jul  4 12:49:05 2013, (3811620000 clock):	189000 evaluated; 0 wrong controls; 88454 violate mass constrain.
Thu Jul  4 12:49:29 2013, (3835690000 clock):	190000 evaluated; 0 wrong controls; 88752 violate mass constrain.
Thu Jul  4 12:49:53 2013, (3858960000 clock):	191000 evaluated; 0 wrong controls; 89047 violate mass constrain.
Thu Jul  4 12:50:16 2013, (3881970000 clock):	192000 evaluated; 0 wrong controls; 89364 violate mass constrain.
Thu Jul  4 12:50:39 2013, (3904460000 clock):	193000 evaluated; 0 wrong controls; 89708 violate mass constrain.
Thu Jul  4 12:51:02 2013, (3926610000 clock):	194000 evaluated; 0 wrong controls; 90088 violate mass constrain.
Thu Jul  4 12:51:25 2013, (3949560000 clock):	195000 evaluated; 0 wrong controls; 90440 violate mass constrain.
Thu Jul  4 12:51:48 2013, (3972370000 clock):	196000 evaluated; 0 wrong controls; 90804 violate mass constrain.
Thu Jul  4 12:52:09 2013, (3992820000 clock):	197000 evaluated; 0 wrong controls; 91243 violate mass constrain.
Thu Jul  4 12:52:18 2013, (4001690000 clock):	198000 evaluated; 0 wrong controls; 92243 violate mass constrain.
Thu Jul  4 12:52:32 2013, (4014980000 clock):	199000 evaluated; 0 wrong controls; 93039 violate mass constrain.
Thu Jul  4 12:52:55 2013, (4037780000 clock):	200000 evaluated; 0 wrong controls; 93362 violate mass constrain.
Thu Jul  4 12:53:19 2013, (4061250000 clock):	201000 evaluated; 0 wrong controls; 93682 violate mass constrain.
Thu Jul  4 12:53:43 2013, (4084660000 clock):	202000 evaluated; 0 wrong controls; 94023 violate mass constrain.
Thu Jul  4 12:54:05 2013, (4106830000 clock):	203000 evaluated; 0 wrong controls; 94395 violate mass constrain.
Thu Jul  4 12:54:28 2013, (4128630000 clock):	204000 evaluated; 0 wrong controls; 94759 violate mass constrain.
Thu Jul  4 12:54:50 2013, (4150270000 clock):	205000 evaluated; 0 wrong controls; 95149 violate mass constrain.
Thu Jul  4 12:55:12 2013, (4172650000 clock):	206000 evaluated; 0 wrong controls; 95496 violate mass constrain.
Thu Jul  4 12:55:35 2013, (4195300000 clock):	207000 evaluated; 0 wrong controls; 95854 violate mass constrain.
Thu Jul  4 12:55:45 2013, (4204070000 clock):	208000 evaluated; 0 wrong controls; 96854 violate mass constrain.
Thu Jul  4 12:55:56 2013, (4215050000 clock):	209000 evaluated; 0 wrong controls; 97741 violate mass constrain.
Thu Jul  4 12:56:19 2013, (4237840000 clock):	210000 evaluated; 0 wrong controls; 98067 violate mass constrain.
Thu Jul  4 12:56:42 2013, (4260310000 clock):	211000 evaluated; 0 wrong controls; 98446 violate mass constrain.
Thu Jul  4 12:57:04 2013, (4282340000 clock):	212000 evaluated; 0 wrong controls; 98830 violate mass constrain.
Thu Jul  4 12:57:27 2013, (4304540000 clock):	213000 evaluated; 0 wrong controls; 99198 violate mass constrain.
Thu Jul  4 12:57:49 2013, (4325930000 clock):	214000 evaluated; 0 wrong controls; 99605 violate mass constrain.
Thu Jul  4 12:58:10 2013, (4346680000 clock):	215000 evaluated; 0 wrong controls; 100031 violate mass constrain.
Thu Jul  4 12:58:31 2013, (4367720000 clock):	216000 evaluated; 0 wrong controls; 100446 violate mass constrain.
Thu Jul  4 12:58:52 2013, (4388440000 clock):	217000 evaluated; 0 wrong controls; 100909 violate mass constrain.
Thu Jul  4 12:59:02 2013, (4398030000 clock):	218000 evaluated; 0 wrong controls; 101870 violate mass constrain.
Thu Jul  4 12:59:12 2013, (4406920000 clock):	219000 evaluated; 0 wrong controls; 102868 violate mass constrain.
Thu Jul  4 12:59:31 2013, (4426410000 clock):	220000 evaluated; 0 wrong controls; 103371 violate mass constrain.
Thu Jul  4 12:59:56 2013, (4450690000 clock):	221000 evaluated; 0 wrong controls; 103648 violate mass constrain.
Thu Jul  4 13:00:19 2013, (4473140000 clock):	222000 evaluated; 0 wrong controls; 103975 violate mass constrain.
Thu Jul  4 13:00:41 2013, (4494580000 clock):	223000 evaluated; 0 wrong controls; 104390 violate mass constrain.
Thu Jul  4 13:01:04 2013, (4517160000 clock):	224000 evaluated; 0 wrong controls; 104775 violate mass constrain.
Thu Jul  4 13:01:27 2013, (4539580000 clock):	225000 evaluated; 0 wrong controls; 105139 violate mass constrain.
Thu Jul  4 13:01:48 2013, (4559980000 clock):	226000 evaluated; 0 wrong controls; 105597 violate mass constrain.
Thu Jul  4 13:02:09 2013, (4580680000 clock):	227000 evaluated; 0 wrong controls; 106039 violate mass constrain.
Thu Jul  4 13:02:20 2013, (4591020000 clock):	228000 evaluated; 0 wrong controls; 106960 violate mass constrain.
