Thu Jul  4 11:44:15 2013, (0 clock):	Start log file
Thu Jul  4 11:44:15 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:15 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:15 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 11:58:39 2013, (843090000 clock):	50000 evaluated; 0 wrong controls; 33246 violate mass constrain.
Thu Jul  4 11:59:06 2013, (869990000 clock):	51000 evaluated; 0 wrong controls; 33506 violate mass constrain.
Thu Jul  4 11:59:33 2013, (896110000 clock):	52000 evaluated; 0 wrong controls; 33786 violate mass constrain.
Thu Jul  4 11:59:59 2013, (922070000 clock):	53000 evaluated; 0 wrong controls; 34071 violate mass constrain.
Thu Jul  4 12:00:25 2013, (947630000 clock):	54000 evaluated; 0 wrong controls; 34374 violate mass constrain.
Thu Jul  4 12:00:50 2013, (972110000 clock):	55000 evaluated; 0 wrong controls; 34672 violate mass constrain.
Thu Jul  4 12:01:08 2013, (989540000 clock):	56000 evaluated; 0 wrong controls; 35309 violate mass constrain.
Thu Jul  4 12:01:18 2013, (999400000 clock):	57000 evaluated; 0 wrong controls; 36272 violate mass constrain.
Thu Jul  4 12:01:43 2013, (1024250000 clock):	58000 evaluated; 0 wrong controls; 36553 violate mass constrain.
Thu Jul  4 12:02:10 2013, (1050790000 clock):	59000 evaluated; 0 wrong controls; 36801 violate mass constrain.
Thu Jul  4 12:02:35 2013, (1075510000 clock):	60000 evaluated; 0 wrong controls; 37071 violate mass constrain.
Thu Jul  4 12:03:00 2013, (1099890000 clock):	61000 evaluated; 0 wrong controls; 37355 violate mass constrain.
Thu Jul  4 12:03:27 2013, (1126350000 clock):	62000 evaluated; 0 wrong controls; 37591 violate mass constrain.
Thu Jul  4 12:03:55 2013, (1153860000 clock):	63000 evaluated; 0 wrong controls; 37793 violate mass constrain.
Thu Jul  4 12:04:23 2013, (1181680000 clock):	64000 evaluated; 0 wrong controls; 38014 violate mass constrain.
Thu Jul  4 12:04:51 2013, (1208490000 clock):	65000 evaluated; 0 wrong controls; 38245 violate mass constrain.
Thu Jul  4 12:05:11 2013, (1228340000 clock):	66000 evaluated; 0 wrong controls; 38789 violate mass constrain.
Thu Jul  4 12:05:27 2013, (1243730000 clock):	67000 evaluated; 0 wrong controls; 39521 violate mass constrain.
Thu Jul  4 12:05:53 2013, (1270000000 clock):	68000 evaluated; 0 wrong controls; 39770 violate mass constrain.
Thu Jul  4 12:06:21 2013, (1297650000 clock):	69000 evaluated; 0 wrong controls; 39973 violate mass constrain.
Thu Jul  4 12:06:50 2013, (1325560000 clock):	70000 evaluated; 0 wrong controls; 40150 violate mass constrain.
Thu Jul  4 12:07:17 2013, (1352660000 clock):	71000 evaluated; 0 wrong controls; 40335 violate mass constrain.
Thu Jul  4 12:07:45 2013, (1379930000 clock):	72000 evaluated; 0 wrong controls; 40521 violate mass constrain.
Thu Jul  4 12:08:13 2013, (1407590000 clock):	73000 evaluated; 0 wrong controls; 40711 violate mass constrain.
Thu Jul  4 12:08:41 2013, (1434710000 clock):	74000 evaluated; 0 wrong controls; 40900 violate mass constrain.
Thu Jul  4 12:09:09 2013, (1462710000 clock):	75000 evaluated; 0 wrong controls; 41081 violate mass constrain.
Thu Jul  4 12:09:33 2013, (1485610000 clock):	76000 evaluated; 0 wrong controls; 41515 violate mass constrain.
Thu Jul  4 12:09:42 2013, (1494690000 clock):	77000 evaluated; 0 wrong controls; 42502 violate mass constrain.
Thu Jul  4 12:10:07 2013, (1519700000 clock):	78000 evaluated; 0 wrong controls; 42811 violate mass constrain.
Thu Jul  4 12:10:37 2013, (1548690000 clock):	79000 evaluated; 0 wrong controls; 42933 violate mass constrain.
Thu Jul  4 12:11:07 2013, (1578210000 clock):	80000 evaluated; 0 wrong controls; 43027 violate mass constrain.
Thu Jul  4 12:11:37 2013, (1607930000 clock):	81000 evaluated; 0 wrong controls; 43121 violate mass constrain.
Thu Jul  4 12:12:06 2013, (1636890000 clock):	82000 evaluated; 0 wrong controls; 43223 violate mass constrain.
Thu Jul  4 12:12:35 2013, (1665020000 clock):	83000 evaluated; 0 wrong controls; 43340 violate mass constrain.
Thu Jul  4 12:13:04 2013, (1693770000 clock):	84000 evaluated; 0 wrong controls; 43463 violate mass constrain.
Thu Jul  4 12:13:33 2013, (1722110000 clock):	85000 evaluated; 0 wrong controls; 43581 violate mass constrain.
Thu Jul  4 12:13:58 2013, (1746250000 clock):	86000 evaluated; 0 wrong controls; 43886 violate mass constrain.
Thu Jul  4 12:14:07 2013, (1755110000 clock):	87000 evaluated; 0 wrong controls; 44886 violate mass constrain.
Thu Jul  4 12:14:26 2013, (1774170000 clock):	88000 evaluated; 0 wrong controls; 45447 violate mass constrain.
Thu Jul  4 12:14:55 2013, (1802130000 clock):	89000 evaluated; 0 wrong controls; 45603 violate mass constrain.
Thu Jul  4 12:15:24 2013, (1830790000 clock):	90000 evaluated; 0 wrong controls; 45740 violate mass constrain.
Thu Jul  4 12:15:53 2013, (1859590000 clock):	91000 evaluated; 0 wrong controls; 45862 violate mass constrain.
Thu Jul  4 12:16:22 2013, (1888040000 clock):	92000 evaluated; 0 wrong controls; 45986 violate mass constrain.
Thu Jul  4 12:16:51 2013, (1916960000 clock):	93000 evaluated; 0 wrong controls; 46118 violate mass constrain.
Thu Jul  4 12:17:21 2013, (1945940000 clock):	94000 evaluated; 0 wrong controls; 46234 violate mass constrain.
Thu Jul  4 12:17:50 2013, (1975230000 clock):	95000 evaluated; 0 wrong controls; 46345 violate mass constrain.
Thu Jul  4 12:18:19 2013, (2003050000 clock):	96000 evaluated; 0 wrong controls; 46541 violate mass constrain.
Thu Jul  4 12:18:28 2013, (2011770000 clock):	97000 evaluated; 0 wrong controls; 47541 violate mass constrain.
Thu Jul  4 12:18:42 2013, (2025230000 clock):	98000 evaluated; 0 wrong controls; 48327 violate mass constrain.
Thu Jul  4 12:19:09 2013, (2052370000 clock):	99000 evaluated; 0 wrong controls; 48539 violate mass constrain.
Thu Jul  4 12:19:38 2013, (2080400000 clock):	100000 evaluated; 0 wrong controls; 48672 violate mass constrain.
