Thu Jul  4 11:44:19 2013, (0 clock):	Start log file
Thu Jul  4 11:44:19 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:19 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:19 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 11:44:30 2013, (9600000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Thu Jul  4 11:47:04 2013, (157920000 clock):	17000 evaluated; 0 wrong controls; 17000 violate mass constrain.
Thu Jul  4 11:47:14 2013, (166950000 clock):	18000 evaluated; 0 wrong controls; 18000 violate mass constrain.
Thu Jul  4 11:47:23 2013, (175980000 clock):	19000 evaluated; 0 wrong controls; 19000 violate mass constrain.
Thu Jul  4 11:47:38 2013, (190290000 clock):	20000 evaluated; 0 wrong controls; 19816 violate mass constrain.
Thu Jul  4 11:48:02 2013, (214310000 clock):	21000 evaluated; 0 wrong controls; 20297 violate mass constrain.
Thu Jul  4 11:48:25 2013, (237000000 clock):	22000 evaluated; 0 wrong controls; 20761 violate mass constrain.
Thu Jul  4 11:48:49 2013, (260020000 clock):	23000 evaluated; 0 wrong controls; 21240 violate mass constrain.
Thu Jul  4 11:49:13 2013, (283750000 clock):	24000 evaluated; 0 wrong controls; 21682 violate mass constrain.
Thu Jul  4 11:49:37 2013, (307160000 clock):	25000 evaluated; 0 wrong controls; 22104 violate mass constrain.
Thu Jul  4 11:49:53 2013, (323140000 clock):	26000 evaluated; 0 wrong controls; 22829 violate mass constrain.
Thu Jul  4 11:50:19 2013, (348370000 clock):	27000 evaluated; 0 wrong controls; 23220 violate mass constrain.
Thu Jul  4 11:50:43 2013, (372230000 clock):	28000 evaluated; 0 wrong controls; 23589 violate mass constrain.
Thu Jul  4 11:51:08 2013, (396550000 clock):	29000 evaluated; 0 wrong controls; 23950 violate mass constrain.
Thu Jul  4 11:51:33 2013, (420990000 clock):	30000 evaluated; 0 wrong controls; 24301 violate mass constrain.
Thu Jul  4 11:51:58 2013, (445730000 clock):	31000 evaluated; 0 wrong controls; 24641 violate mass constrain.
Thu Jul  4 11:52:24 2013, (471070000 clock):	32000 evaluated; 0 wrong controls; 24969 violate mass constrain.
Thu Jul  4 11:52:49 2013, (495690000 clock):	33000 evaluated; 0 wrong controls; 25307 violate mass constrain.
Thu Jul  4 11:53:14 2013, (520310000 clock):	34000 evaluated; 0 wrong controls; 25644 violate mass constrain.
Thu Jul  4 11:53:39 2013, (545060000 clock):	35000 evaluated; 0 wrong controls; 25983 violate mass constrain.
Thu Jul  4 11:53:53 2013, (558560000 clock):	36000 evaluated; 0 wrong controls; 26787 violate mass constrain.
Thu Jul  4 11:54:09 2013, (574160000 clock):	37000 evaluated; 0 wrong controls; 27503 violate mass constrain.
Thu Jul  4 11:54:34 2013, (599400000 clock):	38000 evaluated; 0 wrong controls; 27819 violate mass constrain.
Thu Jul  4 11:55:01 2013, (625550000 clock):	39000 evaluated; 0 wrong controls; 28081 violate mass constrain.
Thu Jul  4 11:55:28 2013, (652560000 clock):	40000 evaluated; 0 wrong controls; 28300 violate mass constrain.
Thu Jul  4 11:55:55 2013, (678930000 clock):	41000 evaluated; 0 wrong controls; 28523 violate mass constrain.
Thu Jul  4 11:56:22 2013, (705690000 clock):	42000 evaluated; 0 wrong controls; 28791 violate mass constrain.
Thu Jul  4 11:56:49 2013, (731810000 clock):	43000 evaluated; 0 wrong controls; 29070 violate mass constrain.
Thu Jul  4 11:57:15 2013, (757540000 clock):	44000 evaluated; 0 wrong controls; 29361 violate mass constrain.
Thu Jul  4 11:57:40 2013, (782600000 clock):	45000 evaluated; 0 wrong controls; 29655 violate mass constrain.
Thu Jul  4 11:57:56 2013, (797780000 clock):	46000 evaluated; 0 wrong controls; 30373 violate mass constrain.
Thu Jul  4 11:58:17 2013, (817960000 clock):	47000 evaluated; 0 wrong controls; 30906 violate mass constrain.
Thu Jul  4 11:58:40 2013, (841250000 clock):	48000 evaluated; 0 wrong controls; 31260 violate mass constrain.
Thu Jul  4 11:59:05 2013, (865420000 clock):	49000 evaluated; 0 wrong controls; 31622 violate mass constrain.
Thu Jul  4 11:59:30 2013, (890600000 clock):	50000 evaluated; 0 wrong controls; 31936 violate mass constrain.
Thu Jul  4 11:59:56 2013, (915720000 clock):	51000 evaluated; 0 wrong controls; 32228 violate mass constrain.
Thu Jul  4 12:00:23 2013, (942910000 clock):	52000 evaluated; 0 wrong controls; 32491 violate mass constrain.
Thu Jul  4 12:00:50 2013, (969100000 clock):	53000 evaluated; 0 wrong controls; 32747 violate mass constrain.
Thu Jul  4 12:01:16 2013, (994520000 clock):	54000 evaluated; 0 wrong controls; 33032 violate mass constrain.
Thu Jul  4 12:01:41 2013, (1019460000 clock):	55000 evaluated; 0 wrong controls; 33342 violate mass constrain.
Thu Jul  4 12:01:58 2013, (1036120000 clock):	56000 evaluated; 0 wrong controls; 33999 violate mass constrain.
Thu Jul  4 12:02:12 2013, (1049090000 clock):	57000 evaluated; 0 wrong controls; 34812 violate mass constrain.
Thu Jul  4 12:02:37 2013, (1073760000 clock):	58000 evaluated; 0 wrong controls; 35138 violate mass constrain.
Thu Jul  4 12:03:03 2013, (1100150000 clock):	59000 evaluated; 0 wrong controls; 35405 violate mass constrain.
Thu Jul  4 12:03:29 2013, (1125730000 clock):	60000 evaluated; 0 wrong controls; 35674 violate mass constrain.
Thu Jul  4 12:03:54 2013, (1150330000 clock):	61000 evaluated; 0 wrong controls; 35964 violate mass constrain.
Thu Jul  4 12:04:20 2013, (1176030000 clock):	62000 evaluated; 0 wrong controls; 36256 violate mass constrain.
Thu Jul  4 12:04:45 2013, (1200590000 clock):	63000 evaluated; 0 wrong controls; 36559 violate mass constrain.
Thu Jul  4 12:05:10 2013, (1225160000 clock):	64000 evaluated; 0 wrong controls; 36890 violate mass constrain.
Thu Jul  4 12:05:35 2013, (1249630000 clock):	65000 evaluated; 0 wrong controls; 37225 violate mass constrain.
Thu Jul  4 12:05:53 2013, (1267340000 clock):	66000 evaluated; 0 wrong controls; 37829 violate mass constrain.
Thu Jul  4 12:06:11 2013, (1284980000 clock):	67000 evaluated; 0 wrong controls; 38465 violate mass constrain.
Thu Jul  4 12:06:35 2013, (1308440000 clock):	68000 evaluated; 0 wrong controls; 38814 violate mass constrain.
Thu Jul  4 12:07:01 2013, (1333920000 clock):	69000 evaluated; 0 wrong controls; 39116 violate mass constrain.
Thu Jul  4 12:07:26 2013, (1358570000 clock):	70000 evaluated; 0 wrong controls; 39421 violate mass constrain.
Thu Jul  4 12:07:51 2013, (1383070000 clock):	71000 evaluated; 0 wrong controls; 39725 violate mass constrain.
Thu Jul  4 12:08:16 2013, (1407890000 clock):	72000 evaluated; 0 wrong controls; 40036 violate mass constrain.
Thu Jul  4 12:08:41 2013, (1432470000 clock):	73000 evaluated; 0 wrong controls; 40344 violate mass constrain.
Thu Jul  4 12:09:06 2013, (1456990000 clock):	74000 evaluated; 0 wrong controls; 40667 violate mass constrain.
Thu Jul  4 12:09:31 2013, (1481080000 clock):	75000 evaluated; 0 wrong controls; 41015 violate mass constrain.
Thu Jul  4 12:09:50 2013, (1500170000 clock):	76000 evaluated; 0 wrong controls; 41553 violate mass constrain.
Thu Jul  4 12:09:59 2013, (1508860000 clock):	77000 evaluated; 0 wrong controls; 42553 violate mass constrain.
Thu Jul  4 12:10:19 2013, (1528550000 clock):	78000 evaluated; 0 wrong controls; 43076 violate mass constrain.
Thu Jul  4 12:10:45 2013, (1553740000 clock):	79000 evaluated; 0 wrong controls; 43357 violate mass constrain.
Thu Jul  4 12:11:10 2013, (1578600000 clock):	80000 evaluated; 0 wrong controls; 43650 violate mass constrain.
Thu Jul  4 12:11:35 2013, (1603210000 clock):	81000 evaluated; 0 wrong controls; 43929 violate mass constrain.
Thu Jul  4 12:12:01 2013, (1628390000 clock):	82000 evaluated; 0 wrong controls; 44230 violate mass constrain.
Thu Jul  4 12:12:26 2013, (1652890000 clock):	83000 evaluated; 0 wrong controls; 44550 violate mass constrain.
Thu Jul  4 12:12:51 2013, (1677800000 clock):	84000 evaluated; 0 wrong controls; 44847 violate mass constrain.
Thu Jul  4 12:13:16 2013, (1702200000 clock):	85000 evaluated; 0 wrong controls; 45190 violate mass constrain.
Thu Jul  4 12:13:37 2013, (1723420000 clock):	86000 evaluated; 0 wrong controls; 45671 violate mass constrain.
Thu Jul  4 12:13:47 2013, (1732460000 clock):	87000 evaluated; 0 wrong controls; 46662 violate mass constrain.
Thu Jul  4 12:14:08 2013, (1753440000 clock):	88000 evaluated; 0 wrong controls; 47113 violate mass constrain.
Thu Jul  4 12:14:33 2013, (1777610000 clock):	89000 evaluated; 0 wrong controls; 47443 violate mass constrain.
Thu Jul  4 12:14:58 2013, (1801960000 clock):	90000 evaluated; 0 wrong controls; 47759 violate mass constrain.
Thu Jul  4 12:15:24 2013, (1827690000 clock):	91000 evaluated; 0 wrong controls; 48072 violate mass constrain.
Thu Jul  4 12:15:48 2013, (1851940000 clock):	92000 evaluated; 0 wrong controls; 48382 violate mass constrain.
Thu Jul  4 12:16:13 2013, (1876730000 clock):	93000 evaluated; 0 wrong controls; 48681 violate mass constrain.
Thu Jul  4 12:16:39 2013, (1902240000 clock):	94000 evaluated; 0 wrong controls; 48959 violate mass constrain.
Thu Jul  4 12:17:06 2013, (1928150000 clock):	95000 evaluated; 0 wrong controls; 49244 violate mass constrain.
Thu Jul  4 12:17:32 2013, (1953540000 clock):	96000 evaluated; 0 wrong controls; 49546 violate mass constrain.
Thu Jul  4 12:17:41 2013, (1962360000 clock):	97000 evaluated; 0 wrong controls; 50546 violate mass constrain.
Thu Jul  4 12:17:55 2013, (1976220000 clock):	98000 evaluated; 0 wrong controls; 51329 violate mass constrain.
Thu Jul  4 12:18:21 2013, (2001900000 clock):	99000 evaluated; 0 wrong controls; 51624 violate mass constrain.
Thu Jul  4 12:18:48 2013, (2028230000 clock):	100000 evaluated; 0 wrong controls; 51876 violate mass constrain.
Thu Jul  4 12:19:14 2013, (2054500000 clock):	101000 evaluated; 0 wrong controls; 52127 violate mass constrain.
Thu Jul  4 12:19:41 2013, (2080230000 clock):	102000 evaluated; 0 wrong controls; 52410 violate mass constrain.
Thu Jul  4 12:20:06 2013, (2105340000 clock):	103000 evaluated; 0 wrong controls; 52718 violate mass constrain.
Thu Jul  4 12:20:30 2013, (2129140000 clock):	104000 evaluated; 0 wrong controls; 53052 violate mass constrain.
Thu Jul  4 12:20:55 2013, (2153170000 clock):	105000 evaluated; 0 wrong controls; 53372 violate mass constrain.
Thu Jul  4 12:21:19 2013, (2177380000 clock):	106000 evaluated; 0 wrong controls; 53709 violate mass constrain.
Thu Jul  4 12:21:28 2013, (2186130000 clock):	107000 evaluated; 0 wrong controls; 54709 violate mass constrain.
Thu Jul  4 12:21:42 2013, (2199670000 clock):	108000 evaluated; 0 wrong controls; 55492 violate mass constrain.
Thu Jul  4 12:22:07 2013, (2224140000 clock):	109000 evaluated; 0 wrong controls; 55832 violate mass constrain.
Thu Jul  4 12:22:31 2013, (2247490000 clock):	110000 evaluated; 0 wrong controls; 56213 violate mass constrain.
Thu Jul  4 12:22:55 2013, (2271250000 clock):	111000 evaluated; 0 wrong controls; 56603 violate mass constrain.
Thu Jul  4 12:23:19 2013, (2295100000 clock):	112000 evaluated; 0 wrong controls; 56973 violate mass constrain.
Thu Jul  4 12:23:45 2013, (2320540000 clock):	113000 evaluated; 0 wrong controls; 57317 violate mass constrain.
Thu Jul  4 12:24:11 2013, (2345460000 clock):	114000 evaluated; 0 wrong controls; 57622 violate mass constrain.
Thu Jul  4 12:24:37 2013, (2371210000 clock):	115000 evaluated; 0 wrong controls; 57868 violate mass constrain.
Thu Jul  4 12:25:03 2013, (2396850000 clock):	116000 evaluated; 0 wrong controls; 58160 violate mass constrain.
Thu Jul  4 12:25:13 2013, (2407100000 clock):	117000 evaluated; 0 wrong controls; 59104 violate mass constrain.
Thu Jul  4 12:25:27 2013, (2420200000 clock):	118000 evaluated; 0 wrong controls; 59920 violate mass constrain.
Thu Jul  4 12:25:53 2013, (2446050000 clock):	119000 evaluated; 0 wrong controls; 60188 violate mass constrain.
Thu Jul  4 12:26:22 2013, (2474590000 clock):	120000 evaluated; 0 wrong controls; 60366 violate mass constrain.
Thu Jul  4 12:26:51 2013, (2503210000 clock):	121000 evaluated; 0 wrong controls; 60543 violate mass constrain.
Thu Jul  4 12:27:21 2013, (2532170000 clock):	122000 evaluated; 0 wrong controls; 60724 violate mass constrain.
Thu Jul  4 12:27:49 2013, (2560400000 clock):	123000 evaluated; 0 wrong controls; 60899 violate mass constrain.
Thu Jul  4 12:28:17 2013, (2588120000 clock):	124000 evaluated; 0 wrong controls; 61124 violate mass constrain.
Thu Jul  4 12:28:44 2013, (2613940000 clock):	125000 evaluated; 0 wrong controls; 61374 violate mass constrain.
Thu Jul  4 12:29:09 2013, (2638850000 clock):	126000 evaluated; 0 wrong controls; 61673 violate mass constrain.
Thu Jul  4 12:29:21 2013, (2650410000 clock):	127000 evaluated; 0 wrong controls; 62553 violate mass constrain.
Thu Jul  4 12:29:32 2013, (2661410000 clock):	128000 evaluated; 0 wrong controls; 63491 violate mass constrain.
Thu Jul  4 12:29:56 2013, (2684270000 clock):	129000 evaluated; 0 wrong controls; 63890 violate mass constrain.
Thu Jul  4 12:30:20 2013, (2708110000 clock):	130000 evaluated; 0 wrong controls; 64246 violate mass constrain.
Thu Jul  4 12:30:44 2013, (2732150000 clock):	131000 evaluated; 0 wrong controls; 64626 violate mass constrain.
Thu Jul  4 12:31:08 2013, (2755710000 clock):	132000 evaluated; 0 wrong controls; 64977 violate mass constrain.
Thu Jul  4 12:31:33 2013, (2780050000 clock):	133000 evaluated; 0 wrong controls; 65348 violate mass constrain.
Thu Jul  4 12:31:56 2013, (2802870000 clock):	134000 evaluated; 0 wrong controls; 65727 violate mass constrain.
Thu Jul  4 12:32:19 2013, (2825600000 clock):	135000 evaluated; 0 wrong controls; 66124 violate mass constrain.
Thu Jul  4 12:32:42 2013, (2847760000 clock):	136000 evaluated; 0 wrong controls; 66534 violate mass constrain.
Thu Jul  4 12:32:55 2013, (2860070000 clock):	137000 evaluated; 0 wrong controls; 67383 violate mass constrain.
Thu Jul  4 12:33:05 2013, (2870170000 clock):	138000 evaluated; 0 wrong controls; 68326 violate mass constrain.
Thu Jul  4 12:33:30 2013, (2894750000 clock):	139000 evaluated; 0 wrong controls; 68661 violate mass constrain.
Thu Jul  4 12:33:56 2013, (2920230000 clock):	140000 evaluated; 0 wrong controls; 68955 violate mass constrain.
Thu Jul  4 12:34:22 2013, (2945610000 clock):	141000 evaluated; 0 wrong controls; 69238 violate mass constrain.
Thu Jul  4 12:34:50 2013, (2973450000 clock):	142000 evaluated; 0 wrong controls; 69432 violate mass constrain.
Thu Jul  4 12:35:17 2013, (2999810000 clock):	143000 evaluated; 0 wrong controls; 69662 violate mass constrain.
Thu Jul  4 12:35:45 2013, (3027210000 clock):	144000 evaluated; 0 wrong controls; 69883 violate mass constrain.
Thu Jul  4 12:36:12 2013, (3054270000 clock):	145000 evaluated; 0 wrong controls; 70103 violate mass constrain.
Thu Jul  4 12:36:39 2013, (3080990000 clock):	146000 evaluated; 0 wrong controls; 70336 violate mass constrain.
Thu Jul  4 12:36:55 2013, (3096620000 clock):	147000 evaluated; 0 wrong controls; 71038 violate mass constrain.
Thu Jul  4 12:37:05 2013, (3105660000 clock):	148000 evaluated; 0 wrong controls; 72029 violate mass constrain.
Thu Jul  4 12:37:28 2013, (3128220000 clock):	149000 evaluated; 0 wrong controls; 72399 violate mass constrain.
Thu Jul  4 12:37:56 2013, (3155830000 clock):	150000 evaluated; 0 wrong controls; 72588 violate mass constrain.
Thu Jul  4 12:38:24 2013, (3183740000 clock):	151000 evaluated; 0 wrong controls; 72748 violate mass constrain.
Thu Jul  4 12:38:54 2013, (3213040000 clock):	152000 evaluated; 0 wrong controls; 72905 violate mass constrain.
Thu Jul  4 12:39:23 2013, (3241540000 clock):	153000 evaluated; 0 wrong controls; 73077 violate mass constrain.
Thu Jul  4 12:39:52 2013, (3270200000 clock):	154000 evaluated; 0 wrong controls; 73230 violate mass constrain.
Thu Jul  4 12:40:20 2013, (3298310000 clock):	155000 evaluated; 0 wrong controls; 73415 violate mass constrain.
Thu Jul  4 12:40:49 2013, (3326830000 clock):	156000 evaluated; 0 wrong controls; 73567 violate mass constrain.
Thu Jul  4 12:41:08 2013, (3344810000 clock):	157000 evaluated; 0 wrong controls; 74171 violate mass constrain.
Thu Jul  4 12:41:24 2013, (3360550000 clock):	158000 evaluated; 0 wrong controls; 74892 violate mass constrain.
Thu Jul  4 12:41:50 2013, (3386250000 clock):	159000 evaluated; 0 wrong controls; 75185 violate mass constrain.
Thu Jul  4 12:42:15 2013, (3411370000 clock):	160000 evaluated; 0 wrong controls; 75498 violate mass constrain.
Thu Jul  4 12:42:40 2013, (3436070000 clock):	161000 evaluated; 0 wrong controls; 75811 violate mass constrain.
Thu Jul  4 12:43:06 2013, (3461670000 clock):	162000 evaluated; 0 wrong controls; 76104 violate mass constrain.
Thu Jul  4 12:43:33 2013, (3487960000 clock):	163000 evaluated; 0 wrong controls; 76359 violate mass constrain.
Thu Jul  4 12:43:59 2013, (3513670000 clock):	164000 evaluated; 0 wrong controls; 76616 violate mass constrain.
Thu Jul  4 12:44:25 2013, (3539480000 clock):	165000 evaluated; 0 wrong controls; 76881 violate mass constrain.
Thu Jul  4 12:44:52 2013, (3565440000 clock):	166000 evaluated; 0 wrong controls; 77149 violate mass constrain.
Thu Jul  4 12:45:10 2013, (3583820000 clock):	167000 evaluated; 0 wrong controls; 77734 violate mass constrain.
Thu Jul  4 12:45:20 2013, (3592830000 clock):	168000 evaluated; 0 wrong controls; 78734 violate mass constrain.
Thu Jul  4 12:45:36 2013, (3608490000 clock):	169000 evaluated; 0 wrong controls; 79434 violate mass constrain.
Thu Jul  4 12:46:02 2013, (3633780000 clock):	170000 evaluated; 0 wrong controls; 79701 violate mass constrain.
Thu Jul  4 12:46:28 2013, (3660310000 clock):	171000 evaluated; 0 wrong controls; 79910 violate mass constrain.
Thu Jul  4 12:46:57 2013, (3688820000 clock):	172000 evaluated; 0 wrong controls; 80089 violate mass constrain.
Thu Jul  4 12:47:26 2013, (3716640000 clock):	173000 evaluated; 0 wrong controls; 80278 violate mass constrain.
Thu Jul  4 12:47:54 2013, (3744860000 clock):	174000 evaluated; 0 wrong controls; 80464 violate mass constrain.
Thu Jul  4 12:48:23 2013, (3772810000 clock):	175000 evaluated; 0 wrong controls; 80652 violate mass constrain.
Thu Jul  4 12:48:50 2013, (3799580000 clock):	176000 evaluated; 0 wrong controls; 80869 violate mass constrain.
Thu Jul  4 12:49:11 2013, (3820600000 clock):	177000 evaluated; 0 wrong controls; 81336 violate mass constrain.
Thu Jul  4 12:49:21 2013, (3829750000 clock):	178000 evaluated; 0 wrong controls; 82322 violate mass constrain.
Thu Jul  4 12:49:45 2013, (3853940000 clock):	179000 evaluated; 0 wrong controls; 82659 violate mass constrain.
Thu Jul  4 12:50:13 2013, (3881510000 clock):	180000 evaluated; 0 wrong controls; 82822 violate mass constrain.
Thu Jul  4 12:50:42 2013, (3909700000 clock):	181000 evaluated; 0 wrong controls; 82974 violate mass constrain.
Thu Jul  4 12:51:11 2013, (3938710000 clock):	182000 evaluated; 0 wrong controls; 83102 violate mass constrain.
Thu Jul  4 12:51:41 2013, (3968010000 clock):	183000 evaluated; 0 wrong controls; 83232 violate mass constrain.
Thu Jul  4 12:52:10 2013, (3996350000 clock):	184000 evaluated; 0 wrong controls; 83362 violate mass constrain.
Thu Jul  4 12:52:39 2013, (4025590000 clock):	185000 evaluated; 0 wrong controls; 83478 violate mass constrain.
Thu Jul  4 12:53:09 2013, (4054980000 clock):	186000 evaluated; 0 wrong controls; 83604 violate mass constrain.
Thu Jul  4 12:53:35 2013, (4080480000 clock):	187000 evaluated; 0 wrong controls; 83925 violate mass constrain.
Thu Jul  4 12:53:44 2013, (4089400000 clock):	188000 evaluated; 0 wrong controls; 84924 violate mass constrain.
Thu Jul  4 12:54:03 2013, (4107520000 clock):	189000 evaluated; 0 wrong controls; 85531 violate mass constrain.
Thu Jul  4 12:54:31 2013, (4135370000 clock):	190000 evaluated; 0 wrong controls; 85714 violate mass constrain.
Thu Jul  4 12:55:00 2013, (4164110000 clock):	191000 evaluated; 0 wrong controls; 85850 violate mass constrain.
Thu Jul  4 12:55:30 2013, (4193360000 clock):	192000 evaluated; 0 wrong controls; 85979 violate mass constrain.
Thu Jul  4 12:56:00 2013, (4222930000 clock):	193000 evaluated; 0 wrong controls; 86097 violate mass constrain.
Thu Jul  4 12:56:30 2013, (4252770000 clock):	194000 evaluated; 0 wrong controls; 86210 violate mass constrain.
Thu Jul  4 12:57:01 2013, (4282660000 clock):	195000 evaluated; 0 wrong controls; 86309 violate mass constrain.
Thu Jul  4 12:57:31 2013, (4312350000 clock):	196000 evaluated; 0 wrong controls; 86410 violate mass constrain.
Thu Jul  4 12:57:59 2013, (4339990000 clock):	197000 evaluated; 0 wrong controls; 86620 violate mass constrain.
Thu Jul  4 12:58:08 2013, (4348760000 clock):	198000 evaluated; 0 wrong controls; 87618 violate mass constrain.
Thu Jul  4 12:58:28 2013, (4368670000 clock):	199000 evaluated; 0 wrong controls; 88107 violate mass constrain.
Thu Jul  4 12:58:56 2013, (4396290000 clock):	200000 evaluated; 0 wrong controls; 88299 violate mass constrain.
Thu Jul  4 12:59:25 2013, (4425210000 clock):	201000 evaluated; 0 wrong controls; 88434 violate mass constrain.
Thu Jul  4 12:59:54 2013, (4453660000 clock):	202000 evaluated; 0 wrong controls; 88555 violate mass constrain.
Thu Jul  4 13:00:24 2013, (4482620000 clock):	203000 evaluated; 0 wrong controls; 88667 violate mass constrain.
Thu Jul  4 13:00:54 2013, (4512680000 clock):	204000 evaluated; 0 wrong controls; 88760 violate mass constrain.
Thu Jul  4 13:01:25 2013, (4542970000 clock):	205000 evaluated; 0 wrong controls; 88863 violate mass constrain.
Thu Jul  4 13:01:55 2013, (4573050000 clock):	206000 evaluated; 0 wrong controls; 88948 violate mass constrain.
Thu Jul  4 13:02:25 2013, (4601870000 clock):	207000 evaluated; 0 wrong controls; 89095 violate mass constrain.
Thu Jul  4 13:02:34 2013, (4610760000 clock):	208000 evaluated; 0 wrong controls; 90095 violate mass constrain.
Thu Jul  4 13:02:47 2013, (4623200000 clock):	209000 evaluated; 0 wrong controls; 90937 violate mass constrain.
Thu Jul  4 13:03:13 2013, (4649110000 clock):	210000 evaluated; 0 wrong controls; 91179 violate mass constrain.
Thu Jul  4 13:03:42 2013, (4677380000 clock):	211000 evaluated; 0 wrong controls; 91366 violate mass constrain.
Thu Jul  4 13:04:10 2013, (4704920000 clock):	212000 evaluated; 0 wrong controls; 91538 violate mass constrain.
Thu Jul  4 13:04:37 2013, (4732410000 clock):	213000 evaluated; 0 wrong controls; 91713 violate mass constrain.
Thu Jul  4 13:05:06 2013, (4760330000 clock):	214000 evaluated; 0 wrong controls; 91890 violate mass constrain.
Thu Jul  4 13:05:36 2013, (4789590000 clock):	215000 evaluated; 0 wrong controls; 92026 violate mass constrain.
Thu Jul  4 13:06:05 2013, (4818610000 clock):	216000 evaluated; 0 wrong controls; 92151 violate mass constrain.
Thu Jul  4 13:06:34 2013, (4847010000 clock):	217000 evaluated; 0 wrong controls; 92307 violate mass constrain.
Thu Jul  4 13:06:45 2013, (4857290000 clock):	218000 evaluated; 0 wrong controls; 93249 violate mass constrain.
Thu Jul  4 13:06:57 2013, (4868880000 clock):	219000 evaluated; 0 wrong controls; 94124 violate mass constrain.
Thu Jul  4 13:07:25 2013, (4897010000 clock):	220000 evaluated; 0 wrong controls; 94351 violate mass constrain.
Thu Jul  4 13:07:54 2013, (4925780000 clock):	221000 evaluated; 0 wrong controls; 94507 violate mass constrain.
Thu Jul  4 13:08:23 2013, (4953900000 clock):	222000 evaluated; 0 wrong controls; 94649 violate mass constrain.
Thu Jul  4 13:08:52 2013, (4982940000 clock):	223000 evaluated; 0 wrong controls; 94776 violate mass constrain.
Thu Jul  4 13:09:22 2013, (5012200000 clock):	224000 evaluated; 0 wrong controls; 94889 violate mass constrain.
Thu Jul  4 13:09:52 2013, (5041640000 clock):	225000 evaluated; 0 wrong controls; 94991 violate mass constrain.
Thu Jul  4 13:10:23 2013, (5071990000 clock):	226000 evaluated; 0 wrong controls; 95076 violate mass constrain.
Thu Jul  4 13:10:53 2013, (5101870000 clock):	227000 evaluated; 0 wrong controls; 95177 violate mass constrain.
Thu Jul  4 13:11:06 2013, (5114080000 clock):	228000 evaluated; 0 wrong controls; 96030 violate mass constrain.
