Thu Jul  4 11:44:11 2013, (0 clock):	Start log file
Thu Jul  4 11:44:11 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:11 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:11 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 11:44:21 2013, (9490000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Thu Jul  4 11:44:31 2013, (18560000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Thu Jul  4 11:44:41 2013, (27740000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Thu Jul  4 11:44:50 2013, (36780000 clock):	4000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Thu Jul  4 11:45:00 2013, (45800000 clock):	5000 evaluated; 0 wrong controls; 5000 violate mass constrain.
Thu Jul  4 11:45:09 2013, (55010000 clock):	6000 evaluated; 0 wrong controls; 6000 violate mass constrain.
Thu Jul  4 11:45:19 2013, (64250000 clock):	7000 evaluated; 0 wrong controls; 7000 violate mass constrain.
Thu Jul  4 11:45:29 2013, (73690000 clock):	8000 evaluated; 0 wrong controls; 8000 violate mass constrain.
Thu Jul  4 11:45:39 2013, (83040000 clock):	9000 evaluated; 0 wrong controls; 9000 violate mass constrain.
Thu Jul  4 11:45:48 2013, (92380000 clock):	10000 evaluated; 0 wrong controls; 10000 violate mass constrain.
Thu Jul  4 11:45:58 2013, (101710000 clock):	11000 evaluated; 0 wrong controls; 11000 violate mass constrain.
Thu Jul  4 11:46:08 2013, (110970000 clock):	12000 evaluated; 0 wrong controls; 12000 violate mass constrain.
Thu Jul  4 11:46:17 2013, (120160000 clock):	13000 evaluated; 0 wrong controls; 13000 violate mass constrain.
Thu Jul  4 11:46:27 2013, (129210000 clock):	14000 evaluated; 0 wrong controls; 14000 violate mass constrain.
Thu Jul  4 11:46:36 2013, (138400000 clock):	15000 evaluated; 0 wrong controls; 15000 violate mass constrain.
Thu Jul  4 11:46:46 2013, (147660000 clock):	16000 evaluated; 0 wrong controls; 16000 violate mass constrain.
Thu Jul  4 11:46:55 2013, (156680000 clock):	17000 evaluated; 0 wrong controls; 17000 violate mass constrain.
Thu Jul  4 11:47:05 2013, (165680000 clock):	18000 evaluated; 0 wrong controls; 18000 violate mass constrain.
Thu Jul  4 11:47:22 2013, (182410000 clock):	19000 evaluated; 0 wrong controls; 18711 violate mass constrain.
