Thu Jul  4 11:44:14 2013, (0 clock):	Start log file
Thu Jul  4 11:44:14 2013, (0 clock):	Parameters loaded.
Thu Jul  4 11:44:14 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 200
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Thu Jul  4 11:44:14 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Thu Jul  4 11:44:25 2013, (9650000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Thu Jul  4 11:44:35 2013, (18880000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Thu Jul  4 11:44:44 2013, (28340000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Thu Jul  4 11:44:54 2013, (37590000 clock):	4000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Thu Jul  4 11:45:04 2013, (46670000 clock):	5000 evaluated; 0 wrong controls; 5000 violate mass constrain.
Thu Jul  4 11:45:13 2013, (55840000 clock):	6000 evaluated; 0 wrong controls; 6000 violate mass constrain.
Thu Jul  4 11:45:23 2013, (65110000 clock):	7000 evaluated; 0 wrong controls; 7000 violate mass constrain.
Thu Jul  4 11:45:32 2013, (74310000 clock):	8000 evaluated; 0 wrong controls; 8000 violate mass constrain.
Thu Jul  4 11:45:42 2013, (83610000 clock):	9000 evaluated; 0 wrong controls; 9000 violate mass constrain.
Thu Jul  4 11:45:52 2013, (92900000 clock):	10000 evaluated; 0 wrong controls; 10000 violate mass constrain.
Thu Jul  4 11:46:01 2013, (101930000 clock):	11000 evaluated; 0 wrong controls; 11000 violate mass constrain.
Thu Jul  4 11:46:11 2013, (111060000 clock):	12000 evaluated; 0 wrong controls; 12000 violate mass constrain.
Thu Jul  4 11:46:21 2013, (120360000 clock):	13000 evaluated; 0 wrong controls; 13000 violate mass constrain.
