#
#   Running algorithm GDE3 on 20000000 nfe, with population size of 900.0, with de set to 0.9, 0.9, with 81 controls varying between 1.0 and 399.0 for cell (6,6).
1 42 26 1 39 22 44 1 33 1 11 3 46 1 19 1 24 34 1 1 63 12 1 88 89 35 116 1 1 95 99 1 1 98 84 1 29 127 1 1 132 206 10 70 18 1 43 1 66 1 1 1 1 22 1 1 1 1 70 19 171 13 70 1 42 25 42 1 1 47 9 1 1 3 1 99 1 4 116 1 51 7853267.035647309 7.388034196276829E7 8.254221810489199 0.003657983903780434 0.0 
1 22 29 31 1 18 1 11 1 11 1 1 1 17 84 1 37 40 1 1 101 45 9 32 54 45 1 1 8 1 1 1 1 1 74 29 32 8 17 1 60 40 49 62 87 25 25 62 37 1 1 23 1 35 19 1 45 5 105 6 109 1 1 1 1 35 78 14 399 13 195 1 24 60 1 1 12 1 1 208 65 8737464.875746178 1.3023188830499484E8 9.292475655391518 0.00242198341660364 0.0 
82 38 1 27 1 8 103 1 9 1 1 52 29 1 1 110 1 1 1 1 1 1 6 11 1 1 21 18 16 311 1 1 1 94 65 34 78 48 137 7 1 1 51 14 97 28 58 3 1 20 1 63 81 8 1 83 3 72 7 1 1 39 1 1 6 31 136 48 351 12 10 10 29 1 1 1 3 1 25 1 5 8351686.043539088 8.629929784159651E7 9.330439585030451 0.0028451422916003525 0.0 
1 19 1 19 4 49 44 89 1 91 1 80 1 20 37 1 1 1 1 1 1 1 43 1 4 1 1 12 22 9 195 33 128 1 39 4 116 183 34 6 1 1 39 1 31 1 42 1 1 8 118 35 72 1 99 1 1 189 88 1 1 110 43 4 1 20 10 15 100 1 1 34 36 3 1 95 1 10 1 30 117 7866559.780637636 5.655802376209983E7 8.828216471258294 0.0034383410370508777 0.0 
1 32 1 55 1 13 1 17 4 1 1 1 4 60 1 59 1 61 35 4 115 217 10 11 1 399 1 87 1 1 171 1 3 35 27 54 1 1 149 38 4 31 86 1 1 1 18 1 7 22 133 92 12 105 19 1 25 1 1 1 1 46 1 41 234 1 1 30 14 32 1 1 1 7 1 7 1 1 1 6 21 7840082.563844041 7.606175547198531E7 8.171509915310189 0.003279469282322876 0.0 
1 129 1 1 1 1 31 38 1 53 25 28 1 1 49 1 5 23 34 1 45 1 30 7 1 86 1 19 77 241 1 1 1 105 133 1 26 72 164 53 1 104 1 1 49 1 1 20 1 47 29 1 71 34 1 19 1 1 1 77 29 55 93 1 6 18 281 81 1 31 1 1 32 1 45 16 4 18 23 1 9 7768131.524765376 6.6430144576214194E7 9.189147962455024 0.00310604577015298 0.0 
42 1 1 55 1 1 1 33 33 88 21 14 17 30 1 1 1 93 1 2 115 72 9 1 18 46 1 1 36 1 22 1 3 35 4 1 1 86 166 39 54 1 1 214 1 1 1 78 8 1 34 75 1 69 17 2 1 134 34 1 55 1 1 67 283 10 1 75 1 16 31 94 1 1 1 127 1 1 5 48 1 7556132.106290092 4.580518054491061E7 9.861773973897717 0.0034434526757544225 0.0 
1 63 31 63 1 23 1 1 58 1 1 1 1 77 1 1 1 1 65 2 69 1 1 116 107 37 27 1 60 1 100 1 1 1 1 1 28 63 147 65 94 1 201 1 151 17 1 27 19 1 313 20 1 1 102 1 27 31 4 1 11 1 1 1 33 31 39 1 18 23 1 1 1 80 4 53 18 14 18 1 56 7756159.130004641 8.00683862569398E7 8.631175089193796 0.0033592085483258047 0.0 
18 15 58 1 28 7 1 151 1 68 1 105 8 54 45 57 14 12 1 40 1 4 4 1 14 70 21 6 1 13 168 74 30 1 82 15 65 73 20 1 42 83 147 36 55 26 42 119 48 1 1 1 21 5 4 1 46 1 34 1 1 25 1 1 120 1 1 13 73 36 1 286 1 1 1 1 18 1 1 11 1 8216457.66688139 9.033279716358209E7 7.971575546406412 0.0035449239717039484 0.0 
1 1 43 1 4 1 74 34 185 1 1 37 1 213 3 1 17 1 38 1 20 11 132 17 44 20 3 9 19 1 198 1 1 16 30 32 10 133 1 80 1 1 1 86 52 1 1 4 1 60 1 81 27 32 1 62 1 30 17 1 124 8 1 1 1 1 218 5 121 8 1 1 13 29 10 1 74 7 1 10 87 8457092.138606563 9.469627399939346E7 7.936959623745667 0.0034077220783944344 0.0 
23 17 19 1 45 1 187 1 1 63 1 3 97 1 1 23 14 63 76 1 5 102 1 11 1 37 16 39 14 1 15 104 31 147 135 1 1 31 36 1 42 63 1 1 203 1 1 1 96 62 1 56 15 71 1 64 1 64 1 74 1 32 1 1 1 30 3 64 1 56 3 1 1 35 1 1 42 1 111 1 36 8470179.54273853 8.744484321930589E7 8.118849180573731 0.003158039512104135 0.0 
65 14 119 63 47 1 1 30 1 2 45 22 1 1 1 1 1 58 51 37 1 1 1 26 56 75 78 1 1 109 1 47 21 2 34 1 1 50 1 68 145 85 1 121 1 123 1 1 125 82 1 1 1 1 73 1 2 12 11 30 14 36 1 18 128 104 77 62 43 77 1 14 34 40 1 1 1 10 40 1 13 7624395.260888714 7.382952735233696E7 10.907921318253047 0.003366713364666464 0.0 
106 1 116 33 1 1 3 34 20 21 1 99 1 1 1 1 1 23 29 3 51 1 4 1 1 84 47 1 77 1 112 6 1 91 104 22 1 1 296 1 46 1 139 28 72 15 24 48 1 6 3 1 170 4 29 3 24 1 4 1 1 79 1 1 1 1 99 24 1 1 34 36 31 1 1 127 11 1 67 60 5 8495832.164110241 6.4944708380612135E7 9.881881117583044 0.0029657721940017263 0.0 
32 1 2 1 43 11 167 45 10 19 65 11 42 11 11 1 8 1 18 89 1 53 1 2 31 4 178 34 2 176 1 12 26 6 41 2 18 139 115 6 18 13 25 76 1 25 1 39 21 25 1 64 10 46 67 1 1 53 19 1 1 1 10 1 3 17 8 59 42 22 389 12 3 12 1 4 27 22 35 1 10 9301166.139676362 9.771698174968252E7 7.137732363355006 0.0027717705873861413 0.0 
1 1 41 11 1 1 1 1 31 1 21 170 100 1 88 20 10 1 1 1 122 1 11 37 1 1 1 2 48 1 62 188 1 44 16 40 32 100 27 105 32 44 21 1 32 118 14 1 49 1 135 1 18 22 1 44 121 1 1 1 1 4 1 1 130 1 1 1 57 149 1 3 2 2 39 118 2 1 70 66 1 8491574.25268682 8.727554983893532E7 9.21026059065123 0.002575003741149156 0.0 
45 1 1 60 118 31 1 1 1 88 1 105 49 1 1 1 1 55 1 105 2 59 1 1 67 32 1 111 1 1 7 1 1 18 135 1 1 84 20 1 63 53 1 76 91 21 12 29 118 27 27 48 25 93 38 26 43 26 43 1 140 1 1 1 24 37 1 1 1 17 15 94 55 1 1 1 1 3 175 1 1 7607382.74304411 9.245009784388965E7 10.411760024579195 0.0033616355240322355 0.0 
91 65 1 27 4 14 90 1 1 1 1 131 1 1 1 71 1 1 1 1 1 1 1 11 1 1 1 38 1 28 1 1 1 85 171 22 74 83 157 29 1 54 152 1 141 1 59 59 1 1 1 46 98 24 18 12 1 72 1 1 102 13 49 1 7 36 228 41 100 1 10 1 1 1 18 1 3 1 5 46 1 8729494.040684601 5.9952820110838145E7 9.484723249403483 0.0031078789961454297 0.0 
1 1 19 24 51 27 1 65 10 4 32 1 27 1 117 1 1 169 1 105 43 1 23 43 1 96 27 37 1 1 27 1 13 102 1 1 31 47 78 1 230 6 71 48 1 32 11 190 1 1 51 1 57 1 35 1 143 13 110 1 1 1 45 23 9 39 84 70 1 2 1 60 1 1 6 18 1 1 1 1 66 7683528.435649204 7.00140683242876E7 9.62636246073035 0.003109533571121952 0.0 
1 2 36 15 70 126 1 44 1 3 1 1 27 1 26 7 105 23 114 1 1 15 1 24 52 112 54 1 1 220 1 29 1 15 54 1 20 1 1 32 67 51 1 1 1 147 1 112 1 4 1 101 25 1 31 1 7 41 129 19 1 4 1 17 89 17 1 1 210 1 1 77 58 1 22 11 13 1 8 1 109 8480375.60481204 1.172772099633871E8 7.979787063139062 0.0028830502784773673 0.0 
1 1 1 62 1 1 1 7 55 1 37 1 36 63 17 22 2 1 8 1 1 2 1 1 1 1 1 43 1 30 1 40 26 24 50 1 1 1 152 116 1 1 47 67 50 110 1 56 1 155 23 53 44 126 26 16 14 1 1 16 18 30 137 25 1 12 1 1 148 1 1 277 112 3 41 1 42 157 1 13 1 9531715.055099698 1.7644250597669974E8 10.37873194360853 0.002304733956974839 0.0 
23 16 1 1 28 1 119 3 43 100 1 65 30 1 1 52 5 23 7 23 1 31 63 86 62 32 55 111 56 164 91 8 38 1 1 1 1 42 1 1 51 8 1 1 1 1 59 2 24 1 57 39 1 61 1 19 1 2 3 12 90 1 259 1 89 6 1 179 26 1 1 47 116 5 1 18 1 1 2 23 1 7952907.748676642 5.9652004263160646E7 9.153902900443915 0.003427815569645423 0.0 
1 9 280 9 48 23 1 57 30 12 1 163 1 58 1 1 23 70 37 23 1 11 148 1 52 1 1 1 13 48 58 1 20 42 68 1 1 1 17 1 75 71 1 2 147 62 43 1 35 110 1 16 27 1 1 8 1 95 7 73 1 13 1 1 7 1 88 80 1 21 1 1 19 39 141 1 11 15 40 1 43 7874301.107031706 5.952730617767935E7 8.719633022031072 0.003460969474747213 0.0 
1 72 1 75 1 1 30 1 1 1 1 6 1 51 1 1 1 31 15 4 70 1 1 1 1 377 12 9 14 1 1 1 85 82 1 47 1 3 178 28 17 47 46 158 1 1 21 1 8 1 36 54 29 38 70 1 55 1 1 133 45 80 10 18 1 5 49 69 1 32 1 372 7 1 1 1 45 1 1 1 1 8097502.452001451 7.170364068939295E7 8.56146361273485 0.003332590979071327 0.0 
20 11 1 1 8 28 1 1 1 70 1 47 4 1 29 28 3 22 1 1 1 18 1 36 29 3 19 1 1 358 1 15 44 143 216 10 114 1 35 2 1 1 42 80 36 21 81 3 122 1 1 74 89 1 37 1 1 46 1 15 1 1 12 1 55 47 49 1 35 61 1 1 1 23 86 10 59 1 9 218 1 9006123.583431963 1.1548501720468852E8 8.06461041339634 0.002429751246551133 0.0 
8 6 1 21 10 1 1 73 77 32 82 1 1 6 1 1 18 22 1 54 1 13 31 20 57 92 34 36 1 154 67 165 1 42 127 82 268 1 22 54 62 35 1 66 1 1 26 135 1 1 52 60 1 6 19 1 8 1 1 73 59 11 1 14 29 10 44 98 1 57 1 1 1 17 18 36 1 1 10 21 18 8390285.175026063 8.310739929105188E7 9.376529626004618 0.002850798034885336 0.0 
