#
#   Running algorithm GDE3 on 20000000 nfe, with population size of 250.0, with de set to 0.9, 0.9, with 81 controls varying between 1.0 and 199.0 for cell (6,6).
3 6 1 179 3 8 13 6 1 1 1 11 2 3 5 38 1 1 11 1 1 4 23 1 80 4 1 5 1 5 1 12 42 1 40 1 5 11 1 1 121 26 55 3 11 9 1 86 1 1 20 3 32 10 5 6 1 115 1 32 1 1 19 54 6 54 1 1 2 10 11 11 1 1 1 1 1 4 57 6 15 8458973.027718898 8.944290696756071E7 7.439600876756958 0.002700352021543488 0.0 
2 1 1 41 4 39 9 1 7 1 1 63 1 6 3 75 1 13 1 19 1 1 73 13 43 4 3 10 1 20 5 11 144 1 16 1 1 6 44 1 71 1 10 1 1 20 15 53 1 10 1 97 1 1 1 9 6 91 1 1 2 5 4 7 3 4 2 1 7 20 1 50 16 1 14 5 81 29 21 5 1 8477000.552102597 9.879646655794874E7 7.436801096877858 0.0028453790611039633 0.0 
5 14 1 11 4 1 1 9 8 44 1 7 31 20 34 5 15 1 1 10 9 48 1 17 53 9 24 1 5 1 1 43 109 20 18 10 11 6 15 10 21 7 70 9 24 7 1 102 10 1 1 5 7 1 13 15 33 64 18 1 17 2 3 1 2 24 1 1 9 1 25 44 7 33 3 1 1 87 5 28 1 7589576.294028194 4.4684230641516805E7 9.314343227474883 0.003854191866357821 0.0 
1 1 1 1 5 1 1 9 21 1 2 62 1 1 29 95 14 14 1 8 3 25 1 18 25 1 1 13 33 105 1 1 199 1 31 42 2 6 1 1 101 1 1 1 3 44 1 199 1 1 7 1 7 18 2 8 1 46 8 1 1 1 1 1 2 1 1 1 14 1 8 36 8 1 5 1 1 19 1 7 9 8613912.968939818 6.520737304677431E7 8.213196186038195 0.00266503532117907 0.0 
14 8 1 57 3 11 15 62 1 6 43 54 14 120 1 48 12 10 1 33 6 8 9 20 7 1 2 4 28 1 8 21 1 1 1 16 8 1 7 9 81 9 1 6 1 1 1 101 2 11 2 1 4 29 1 1 62 26 9 67 8 1 1 1 4 4 1 1 18 46 1 22 10 42 3 3 8 25 16 7 5 9068405.819602234 8.934624281221132E7 6.877435873052115 0.0029057641708276996 0.0 
12 30 1 57 4 1 3 2 15 9 40 10 3 2 25 94 8 12 3 11 1 3 88 25 1 11 1 18 7 16 4 35 85 7 16 7 1 7 1 11 15 4 18 1 4 1 16 1 1 34 1 79 31 5 1 22 14 41 7 48 1 1 10 4 7 48 1 3 2 7 17 6 7 1 7 1 106 6 54 1 18 8543508.157122111 1.0579869825119582E8 6.735892969722544 0.003317557311002973 0.0 
1 1 1 1 7 1 4 1 1 34 1 7 1 1 65 29 6 13 1 1 2 44 86 1 15 1 15 18 22 15 2 1 12 1 14 10 1 1 1 12 160 1 42 1 3 199 9 74 1 12 26 93 44 1 5 5 7 13 1 28 16 1 1 9 2 1 4 1 1 20 55 1 2 13 2 1 1 1 46 1 4 8078709.25492792 6.276960121414592E7 8.575203192670422 0.002685171643813407 0.0 
7 1 8 13 12 27 1 8 9 1 3 37 1 1 1 1 1 13 19 1 15 1 1 4 9 1 22 1 1 3 18 1 93 1 31 1 5 1 1 29 178 20 19 9 17 10 11 126 13 1 137 35 14 6 1 12 84 1 6 4 5 17 4 11 1 5 27 1 6 10 1 1 1 2 11 7 4 11 109 1 2 8406695.5514535 5.966631748749462E7 8.768382685599803 0.0027751965211839998 0.0 
2 1 1 31 16 1 13 44 1 1 2 1 1 47 24 36 6 1 1 2 1 2 67 2 37 4 1 17 35 3 1 23 1 8 1 16 1 5 7 1 132 1 108 3 1 41 1 146 1 7 111 1 1 1 1 2 1 27 1 5 1 10 2 29 1 100 11 1 1 22 45 5 1 1 1 1 1 41 7 4 1 7968867.3415188035 6.249217574768577E7 8.13031231984639 0.0029595783120019924 0.0 
1 1 1 25 9 1 1 3 22 1 1 14 30 33 26 6 1 1 27 1 1 79 139 1 62 1 1 12 13 1 20 54 122 1 1 9 1 6 104 32 2 1 104 1 1 7 54 1 1 1 1 44 4 9 2 1 1 1 1 1 22 3 58 3 1 1 1 1 1 1 114 12 5 1 1 1 1 1 1 13 10 8633586.458661528 6.357656993410485E7 10.624697093408004 0.0023194206724032615 0.0 
