Wed Jun 12 19:19:54 2013, (0 clock):	Start log file
Wed Jun 12 19:19:54 2013, (0 clock):	Parameters loaded.
Wed Jun 12 19:19:54 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Wed Jun 12 19:23:19 2013, (196730000 clock):	49000 evaluated; 0 wrong controls; 49000 violate mass constrain.
Wed Jun 12 19:23:23 2013, (200820000 clock):	50000 evaluated; 0 wrong controls; 50000 violate mass constrain.
Wed Jun 12 19:23:27 2013, (204860000 clock):	51000 evaluated; 0 wrong controls; 51000 violate mass constrain.
Wed Jun 12 19:23:32 2013, (208840000 clock):	52000 evaluated; 0 wrong controls; 52000 violate mass constrain.
Wed Jun 12 19:23:36 2013, (212870000 clock):	53000 evaluated; 0 wrong controls; 53000 violate mass constrain.
Wed Jun 12 19:23:40 2013, (216810000 clock):	54000 evaluated; 0 wrong controls; 54000 violate mass constrain.
Wed Jun 12 19:23:44 2013, (220760000 clock):	55000 evaluated; 0 wrong controls; 55000 violate mass constrain.
Wed Jun 12 19:23:48 2013, (224560000 clock):	56000 evaluated; 0 wrong controls; 56000 violate mass constrain.
Wed Jun 12 19:23:52 2013, (228630000 clock):	57000 evaluated; 0 wrong controls; 57000 violate mass constrain.
Wed Jun 12 19:23:56 2013, (232650000 clock):	58000 evaluated; 0 wrong controls; 58000 violate mass constrain.
Wed Jun 12 19:24:00 2013, (236620000 clock):	59000 evaluated; 0 wrong controls; 59000 violate mass constrain.
Wed Jun 12 19:24:04 2013, (240560000 clock):	60000 evaluated; 0 wrong controls; 60000 violate mass constrain.
Wed Jun 12 19:24:08 2013, (244580000 clock):	61000 evaluated; 0 wrong controls; 61000 violate mass constrain.
Wed Jun 12 19:24:13 2013, (248530000 clock):	62000 evaluated; 0 wrong controls; 62000 violate mass constrain.
Wed Jun 12 19:24:17 2013, (252450000 clock):	63000 evaluated; 0 wrong controls; 63000 violate mass constrain.
Wed Jun 12 19:24:21 2013, (256320000 clock):	64000 evaluated; 0 wrong controls; 64000 violate mass constrain.
Wed Jun 12 19:24:25 2013, (260480000 clock):	65000 evaluated; 0 wrong controls; 65000 violate mass constrain.
Wed Jun 12 19:24:29 2013, (264390000 clock):	66000 evaluated; 0 wrong controls; 66000 violate mass constrain.
Wed Jun 12 19:24:33 2013, (268520000 clock):	67000 evaluated; 0 wrong controls; 67000 violate mass constrain.
Wed Jun 12 19:24:38 2013, (272700000 clock):	68000 evaluated; 0 wrong controls; 68000 violate mass constrain.
Wed Jun 12 19:24:42 2013, (276720000 clock):	69000 evaluated; 0 wrong controls; 69000 violate mass constrain.
Wed Jun 12 19:24:46 2013, (280690000 clock):	70000 evaluated; 0 wrong controls; 70000 violate mass constrain.
Wed Jun 12 19:24:50 2013, (284630000 clock):	71000 evaluated; 0 wrong controls; 71000 violate mass constrain.
Wed Jun 12 19:24:54 2013, (288560000 clock):	72000 evaluated; 0 wrong controls; 72000 violate mass constrain.
Wed Jun 12 19:24:58 2013, (292640000 clock):	73000 evaluated; 0 wrong controls; 73000 violate mass constrain.
Wed Jun 12 19:25:02 2013, (296780000 clock):	74000 evaluated; 0 wrong controls; 74000 violate mass constrain.
Wed Jun 12 19:25:07 2013, (301030000 clock):	75000 evaluated; 0 wrong controls; 75000 violate mass constrain.
Wed Jun 12 19:25:11 2013, (305280000 clock):	76000 evaluated; 0 wrong controls; 76000 violate mass constrain.
Wed Jun 12 19:25:15 2013, (309380000 clock):	77000 evaluated; 0 wrong controls; 77000 violate mass constrain.
Wed Jun 12 19:25:19 2013, (313240000 clock):	78000 evaluated; 0 wrong controls; 78000 violate mass constrain.
Wed Jun 12 19:25:23 2013, (317090000 clock):	79000 evaluated; 0 wrong controls; 79000 violate mass constrain.
Wed Jun 12 19:25:28 2013, (321040000 clock):	80000 evaluated; 0 wrong controls; 80000 violate mass constrain.
Wed Jun 12 19:25:32 2013, (325190000 clock):	81000 evaluated; 0 wrong controls; 81000 violate mass constrain.
Wed Jun 12 19:25:36 2013, (329320000 clock):	82000 evaluated; 0 wrong controls; 82000 violate mass constrain.
Wed Jun 12 19:25:40 2013, (333250000 clock):	83000 evaluated; 0 wrong controls; 83000 violate mass constrain.
Wed Jun 12 19:25:45 2013, (337480000 clock):	84000 evaluated; 0 wrong controls; 84000 violate mass constrain.
Wed Jun 12 19:25:48 2013, (341280000 clock):	85000 evaluated; 0 wrong controls; 85000 violate mass constrain.
Wed Jun 12 19:25:53 2013, (345180000 clock):	86000 evaluated; 0 wrong controls; 86000 violate mass constrain.
Wed Jun 12 19:25:57 2013, (349160000 clock):	87000 evaluated; 0 wrong controls; 87000 violate mass constrain.
Wed Jun 12 19:26:01 2013, (353160000 clock):	88000 evaluated; 0 wrong controls; 88000 violate mass constrain.
Wed Jun 12 19:26:05 2013, (357190000 clock):	89000 evaluated; 0 wrong controls; 89000 violate mass constrain.
Wed Jun 12 19:26:09 2013, (361220000 clock):	90000 evaluated; 0 wrong controls; 90000 violate mass constrain.
Wed Jun 12 19:26:13 2013, (365170000 clock):	91000 evaluated; 0 wrong controls; 91000 violate mass constrain.
Wed Jun 12 19:26:17 2013, (369170000 clock):	92000 evaluated; 0 wrong controls; 92000 violate mass constrain.
Wed Jun 12 19:26:22 2013, (373120000 clock):	93000 evaluated; 0 wrong controls; 93000 violate mass constrain.
Wed Jun 12 19:26:26 2013, (377080000 clock):	94000 evaluated; 0 wrong controls; 94000 violate mass constrain.
Wed Jun 12 19:26:30 2013, (381080000 clock):	95000 evaluated; 0 wrong controls; 95000 violate mass constrain.
Wed Jun 12 19:26:34 2013, (385220000 clock):	96000 evaluated; 0 wrong controls; 96000 violate mass constrain.
Wed Jun 12 19:26:38 2013, (389490000 clock):	97000 evaluated; 0 wrong controls; 97000 violate mass constrain.
Wed Jun 12 19:26:43 2013, (393600000 clock):	98000 evaluated; 0 wrong controls; 98000 violate mass constrain.
Wed Jun 12 19:26:47 2013, (397600000 clock):	99000 evaluated; 0 wrong controls; 99000 violate mass constrain.
Wed Jun 12 19:26:51 2013, (401510000 clock):	100000 evaluated; 0 wrong controls; 100000 violate mass constrain.
Wed Jun 12 19:26:55 2013, (405550000 clock):	101000 evaluated; 0 wrong controls; 101000 violate mass constrain.
Wed Jun 12 19:26:59 2013, (409640000 clock):	102000 evaluated; 0 wrong controls; 102000 violate mass constrain.
Wed Jun 12 19:27:04 2013, (413860000 clock):	103000 evaluated; 0 wrong controls; 103000 violate mass constrain.
Wed Jun 12 19:27:08 2013, (418240000 clock):	104000 evaluated; 0 wrong controls; 104000 violate mass constrain.
Wed Jun 12 19:27:12 2013, (422390000 clock):	105000 evaluated; 0 wrong controls; 105000 violate mass constrain.
Wed Jun 12 19:27:17 2013, (426380000 clock):	106000 evaluated; 0 wrong controls; 106000 violate mass constrain.
Wed Jun 12 19:27:21 2013, (430300000 clock):	107000 evaluated; 0 wrong controls; 107000 violate mass constrain.
Wed Jun 12 19:27:25 2013, (434250000 clock):	108000 evaluated; 0 wrong controls; 108000 violate mass constrain.
Wed Jun 12 19:27:29 2013, (438230000 clock):	109000 evaluated; 0 wrong controls; 109000 violate mass constrain.
Wed Jun 12 19:27:33 2013, (442230000 clock):	110000 evaluated; 0 wrong controls; 110000 violate mass constrain.
Wed Jun 12 19:27:37 2013, (446170000 clock):	111000 evaluated; 0 wrong controls; 111000 violate mass constrain.
Wed Jun 12 19:27:41 2013, (450090000 clock):	112000 evaluated; 0 wrong controls; 112000 violate mass constrain.
Wed Jun 12 19:27:45 2013, (454030000 clock):	113000 evaluated; 0 wrong controls; 113000 violate mass constrain.
Wed Jun 12 19:27:49 2013, (457980000 clock):	114000 evaluated; 0 wrong controls; 114000 violate mass constrain.
Wed Jun 12 19:27:53 2013, (461920000 clock):	115000 evaluated; 0 wrong controls; 115000 violate mass constrain.
Wed Jun 12 19:27:57 2013, (465820000 clock):	116000 evaluated; 0 wrong controls; 116000 violate mass constrain.
Wed Jun 12 19:28:02 2013, (469950000 clock):	117000 evaluated; 0 wrong controls; 117000 violate mass constrain.
Wed Jun 12 19:28:06 2013, (473980000 clock):	118000 evaluated; 0 wrong controls; 118000 violate mass constrain.
Wed Jun 12 19:28:10 2013, (477840000 clock):	119000 evaluated; 0 wrong controls; 119000 violate mass constrain.
Wed Jun 12 19:28:14 2013, (481970000 clock):	120000 evaluated; 0 wrong controls; 120000 violate mass constrain.
Wed Jun 12 19:28:18 2013, (485800000 clock):	121000 evaluated; 0 wrong controls; 121000 violate mass constrain.
Wed Jun 12 19:28:22 2013, (489790000 clock):	122000 evaluated; 0 wrong controls; 122000 violate mass constrain.
Wed Jun 12 19:28:26 2013, (493570000 clock):	123000 evaluated; 0 wrong controls; 123000 violate mass constrain.
Wed Jun 12 19:28:30 2013, (497490000 clock):	124000 evaluated; 0 wrong controls; 124000 violate mass constrain.
Wed Jun 12 19:28:34 2013, (501460000 clock):	125000 evaluated; 0 wrong controls; 125000 violate mass constrain.
Wed Jun 12 19:28:38 2013, (505450000 clock):	126000 evaluated; 0 wrong controls; 126000 violate mass constrain.
Wed Jun 12 19:28:42 2013, (509440000 clock):	127000 evaluated; 0 wrong controls; 127000 violate mass constrain.
Wed Jun 12 19:28:46 2013, (513400000 clock):	128000 evaluated; 0 wrong controls; 128000 violate mass constrain.
Wed Jun 12 19:28:51 2013, (517330000 clock):	129000 evaluated; 0 wrong controls; 129000 violate mass constrain.
Wed Jun 12 19:28:55 2013, (521300000 clock):	130000 evaluated; 0 wrong controls; 130000 violate mass constrain.
Wed Jun 12 19:28:59 2013, (525270000 clock):	131000 evaluated; 0 wrong controls; 131000 violate mass constrain.
Wed Jun 12 19:29:03 2013, (529350000 clock):	132000 evaluated; 0 wrong controls; 132000 violate mass constrain.
Wed Jun 12 19:29:07 2013, (533270000 clock):	133000 evaluated; 0 wrong controls; 133000 violate mass constrain.
Wed Jun 12 19:29:11 2013, (537200000 clock):	134000 evaluated; 0 wrong controls; 134000 violate mass constrain.
Wed Jun 12 19:29:15 2013, (541170000 clock):	135000 evaluated; 0 wrong controls; 135000 violate mass constrain.
Wed Jun 12 19:29:19 2013, (545310000 clock):	136000 evaluated; 0 wrong controls; 136000 violate mass constrain.
Wed Jun 12 19:29:24 2013, (549370000 clock):	137000 evaluated; 0 wrong controls; 137000 violate mass constrain.
Wed Jun 12 19:29:28 2013, (553550000 clock):	138000 evaluated; 0 wrong controls; 138000 violate mass constrain.
Wed Jun 12 19:29:32 2013, (557470000 clock):	139000 evaluated; 0 wrong controls; 139000 violate mass constrain.
Wed Jun 12 19:29:36 2013, (561390000 clock):	140000 evaluated; 0 wrong controls; 140000 violate mass constrain.
Wed Jun 12 19:29:40 2013, (565330000 clock):	141000 evaluated; 0 wrong controls; 141000 violate mass constrain.
Wed Jun 12 19:29:44 2013, (569160000 clock):	142000 evaluated; 0 wrong controls; 142000 violate mass constrain.
Wed Jun 12 19:29:48 2013, (573170000 clock):	143000 evaluated; 0 wrong controls; 143000 violate mass constrain.
Wed Jun 12 19:29:53 2013, (577300000 clock):	144000 evaluated; 0 wrong controls; 144000 violate mass constrain.
Wed Jun 12 19:29:57 2013, (581370000 clock):	145000 evaluated; 0 wrong controls; 145000 violate mass constrain.
Wed Jun 12 19:30:01 2013, (585410000 clock):	146000 evaluated; 0 wrong controls; 146000 violate mass constrain.
