Thu Jun  6 19:33:34 2013, (0 clock):	Start log file
Thu Jun  6 19:33:34 2013, (0 clock):	Parameters loaded.
Thu Jun  6 19:33:34 2013, (0 clock):	controls:
  bounds:
    - 450
    - -450
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Thu Jun  6 19:48:56 2013, (894680000 clock):	49000 evaluated; 0 wrong controls; 23293 violate mass constrain.
Thu Jun  6 19:49:15 2013, (914110000 clock):	50000 evaluated; 0 wrong controls; 23703 violate mass constrain.
Thu Jun  6 19:49:35 2013, (933640000 clock):	51000 evaluated; 0 wrong controls; 24118 violate mass constrain.
Thu Jun  6 19:49:55 2013, (953130000 clock):	52000 evaluated; 0 wrong controls; 24506 violate mass constrain.
Thu Jun  6 19:50:15 2013, (972260000 clock):	53000 evaluated; 0 wrong controls; 24901 violate mass constrain.
Thu Jun  6 19:50:35 2013, (991190000 clock):	54000 evaluated; 0 wrong controls; 25305 violate mass constrain.
Thu Jun  6 19:50:55 2013, (1010840000 clock):	55000 evaluated; 0 wrong controls; 25694 violate mass constrain.
Thu Jun  6 19:51:15 2013, (1030130000 clock):	56000 evaluated; 0 wrong controls; 26104 violate mass constrain.
Thu Jun  6 19:51:35 2013, (1050440000 clock):	57000 evaluated; 0 wrong controls; 26471 violate mass constrain.
Thu Jun  6 19:51:55 2013, (1069910000 clock):	58000 evaluated; 0 wrong controls; 26859 violate mass constrain.
Thu Jun  6 19:52:16 2013, (1090370000 clock):	59000 evaluated; 0 wrong controls; 27236 violate mass constrain.
Thu Jun  6 19:52:37 2013, (1110330000 clock):	60000 evaluated; 0 wrong controls; 27600 violate mass constrain.
Thu Jun  6 19:52:58 2013, (1130480000 clock):	61000 evaluated; 0 wrong controls; 27955 violate mass constrain.
Thu Jun  6 19:53:19 2013, (1151010000 clock):	62000 evaluated; 0 wrong controls; 28306 violate mass constrain.
