Thu Jun  6 19:33:33 2013, (0 clock):	Start log file
Thu Jun  6 19:33:33 2013, (0 clock):	Parameters loaded.
Thu Jun  6 19:33:33 2013, (0 clock):	controls:
  bounds:
    - 450
    - -450
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW-CONTROLS
  parameters:
    - 3
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Thu Jun  6 19:46:51 2013, (755330000 clock):	49000 evaluated; 0 wrong controls; 30637 violate mass constrain.
Thu Jun  6 19:47:07 2013, (770940000 clock):	50000 evaluated; 0 wrong controls; 31226 violate mass constrain.
Thu Jun  6 19:47:24 2013, (786130000 clock):	51000 evaluated; 0 wrong controls; 31847 violate mass constrain.
Thu Jun  6 19:47:40 2013, (801650000 clock):	52000 evaluated; 0 wrong controls; 32454 violate mass constrain.
Thu Jun  6 19:47:56 2013, (816890000 clock):	53000 evaluated; 0 wrong controls; 33060 violate mass constrain.
Thu Jun  6 19:48:14 2013, (832000000 clock):	54000 evaluated; 0 wrong controls; 33683 violate mass constrain.
Thu Jun  6 19:48:32 2013, (848580000 clock):	55000 evaluated; 0 wrong controls; 34277 violate mass constrain.
Thu Jun  6 19:48:48 2013, (864470000 clock):	56000 evaluated; 0 wrong controls; 34872 violate mass constrain.
Thu Jun  6 19:49:04 2013, (879200000 clock):	57000 evaluated; 0 wrong controls; 35532 violate mass constrain.
Thu Jun  6 19:49:21 2013, (895250000 clock):	58000 evaluated; 0 wrong controls; 36124 violate mass constrain.
Thu Jun  6 19:49:37 2013, (910470000 clock):	59000 evaluated; 0 wrong controls; 36734 violate mass constrain.
Thu Jun  6 19:49:54 2013, (926690000 clock):	60000 evaluated; 0 wrong controls; 37310 violate mass constrain.
Thu Jun  6 19:50:09 2013, (941350000 clock):	61000 evaluated; 0 wrong controls; 37954 violate mass constrain.
Thu Jun  6 19:50:24 2013, (955160000 clock):	62000 evaluated; 0 wrong controls; 38690 violate mass constrain.
Thu Jun  6 19:50:35 2013, (966360000 clock):	63000 evaluated; 0 wrong controls; 39563 violate mass constrain.
Thu Jun  6 19:50:50 2013, (979590000 clock):	64000 evaluated; 0 wrong controls; 40326 violate mass constrain.
Thu Jun  6 19:51:03 2013, (992920000 clock):	65000 evaluated; 0 wrong controls; 41056 violate mass constrain.
Thu Jun  6 19:51:19 2013, (1006780000 clock):	66000 evaluated; 0 wrong controls; 41746 violate mass constrain.
Thu Jun  6 19:51:34 2013, (1021110000 clock):	67000 evaluated; 0 wrong controls; 42435 violate mass constrain.
Thu Jun  6 19:51:49 2013, (1034720000 clock):	68000 evaluated; 0 wrong controls; 43134 violate mass constrain.
Thu Jun  6 19:52:03 2013, (1048710000 clock):	69000 evaluated; 0 wrong controls; 43831 violate mass constrain.
Thu Jun  6 19:52:19 2013, (1063020000 clock):	70000 evaluated; 0 wrong controls; 44507 violate mass constrain.
Thu Jun  6 19:52:34 2013, (1078190000 clock):	71000 evaluated; 0 wrong controls; 45125 violate mass constrain.
Thu Jun  6 19:52:49 2013, (1092860000 clock):	72000 evaluated; 0 wrong controls; 45753 violate mass constrain.
Thu Jun  6 19:53:07 2013, (1108940000 clock):	73000 evaluated; 0 wrong controls; 46372 violate mass constrain.
Thu Jun  6 19:53:23 2013, (1124540000 clock):	74000 evaluated; 0 wrong controls; 46968 violate mass constrain.
Thu Jun  6 19:53:40 2013, (1139760000 clock):	75000 evaluated; 0 wrong controls; 47608 violate mass constrain.
Thu Jun  6 19:53:56 2013, (1155620000 clock):	76000 evaluated; 0 wrong controls; 48209 violate mass constrain.
Thu Jun  6 19:54:14 2013, (1171660000 clock):	77000 evaluated; 0 wrong controls; 48809 violate mass constrain.
Thu Jun  6 19:54:30 2013, (1186920000 clock):	78000 evaluated; 0 wrong controls; 49411 violate mass constrain.
Thu Jun  6 19:54:47 2013, (1201930000 clock):	79000 evaluated; 0 wrong controls; 50003 violate mass constrain.
Thu Jun  6 19:55:03 2013, (1217660000 clock):	80000 evaluated; 0 wrong controls; 50582 violate mass constrain.
Thu Jun  6 19:55:22 2013, (1234440000 clock):	81000 evaluated; 0 wrong controls; 51166 violate mass constrain.
Thu Jun  6 19:55:37 2013, (1249940000 clock):	82000 evaluated; 0 wrong controls; 51790 violate mass constrain.
Thu Jun  6 19:55:53 2013, (1265280000 clock):	83000 evaluated; 0 wrong controls; 52414 violate mass constrain.
Thu Jun  6 19:56:10 2013, (1280400000 clock):	84000 evaluated; 0 wrong controls; 53046 violate mass constrain.
Thu Jun  6 19:56:26 2013, (1296010000 clock):	85000 evaluated; 0 wrong controls; 53622 violate mass constrain.
Thu Jun  6 19:56:44 2013, (1311310000 clock):	86000 evaluated; 0 wrong controls; 54219 violate mass constrain.
Thu Jun  6 19:56:59 2013, (1326320000 clock):	87000 evaluated; 0 wrong controls; 54832 violate mass constrain.
Thu Jun  6 19:57:18 2013, (1341760000 clock):	88000 evaluated; 0 wrong controls; 55432 violate mass constrain.
Thu Jun  6 19:57:33 2013, (1356720000 clock):	89000 evaluated; 0 wrong controls; 56050 violate mass constrain.
Thu Jun  6 19:57:52 2013, (1372820000 clock):	90000 evaluated; 0 wrong controls; 56637 violate mass constrain.
Thu Jun  6 19:58:08 2013, (1387750000 clock):	91000 evaluated; 0 wrong controls; 57249 violate mass constrain.
Thu Jun  6 19:58:24 2013, (1403680000 clock):	92000 evaluated; 0 wrong controls; 57833 violate mass constrain.
Thu Jun  6 19:58:44 2013, (1420180000 clock):	93000 evaluated; 0 wrong controls; 58413 violate mass constrain.
Thu Jun  6 19:59:00 2013, (1436560000 clock):	94000 evaluated; 0 wrong controls; 58998 violate mass constrain.
Thu Jun  6 19:59:19 2013, (1452290000 clock):	95000 evaluated; 0 wrong controls; 59604 violate mass constrain.
Thu Jun  6 19:59:35 2013, (1467740000 clock):	96000 evaluated; 0 wrong controls; 60210 violate mass constrain.
Thu Jun  6 19:59:53 2013, (1483610000 clock):	97000 evaluated; 0 wrong controls; 60792 violate mass constrain.
Thu Jun  6 20:00:10 2013, (1499880000 clock):	98000 evaluated; 0 wrong controls; 61357 violate mass constrain.
Thu Jun  6 20:00:28 2013, (1515180000 clock):	99000 evaluated; 0 wrong controls; 61968 violate mass constrain.
Thu Jun  6 20:00:44 2013, (1530730000 clock):	100000 evaluated; 0 wrong controls; 62531 violate mass constrain.
Thu Jun  6 20:01:03 2013, (1546450000 clock):	101000 evaluated; 0 wrong controls; 63120 violate mass constrain.
Thu Jun  6 20:01:18 2013, (1561610000 clock):	102000 evaluated; 0 wrong controls; 63722 violate mass constrain.
Thu Jun  6 20:01:35 2013, (1577890000 clock):	103000 evaluated; 0 wrong controls; 64294 violate mass constrain.
Thu Jun  6 20:01:54 2013, (1593820000 clock):	104000 evaluated; 0 wrong controls; 64909 violate mass constrain.
Thu Jun  6 20:02:09 2013, (1608750000 clock):	105000 evaluated; 0 wrong controls; 65539 violate mass constrain.
Thu Jun  6 20:02:28 2013, (1624680000 clock):	106000 evaluated; 0 wrong controls; 66122 violate mass constrain.
Thu Jun  6 20:02:44 2013, (1639960000 clock):	107000 evaluated; 0 wrong controls; 66733 violate mass constrain.
Thu Jun  6 20:03:03 2013, (1655920000 clock):	108000 evaluated; 0 wrong controls; 67321 violate mass constrain.
Thu Jun  6 20:03:18 2013, (1671320000 clock):	109000 evaluated; 0 wrong controls; 67926 violate mass constrain.
Thu Jun  6 20:03:38 2013, (1687360000 clock):	110000 evaluated; 0 wrong controls; 68497 violate mass constrain.
Thu Jun  6 20:03:54 2013, (1703260000 clock):	111000 evaluated; 0 wrong controls; 69095 violate mass constrain.
Thu Jun  6 20:04:11 2013, (1718640000 clock):	112000 evaluated; 0 wrong controls; 69710 violate mass constrain.
Thu Jun  6 20:04:30 2013, (1734570000 clock):	113000 evaluated; 0 wrong controls; 70282 violate mass constrain.
Thu Jun  6 20:04:46 2013, (1750100000 clock):	114000 evaluated; 0 wrong controls; 70891 violate mass constrain.
Thu Jun  6 20:05:05 2013, (1766020000 clock):	115000 evaluated; 0 wrong controls; 71472 violate mass constrain.
Thu Jun  6 20:05:22 2013, (1782030000 clock):	116000 evaluated; 0 wrong controls; 72053 violate mass constrain.
Thu Jun  6 20:05:40 2013, (1797050000 clock):	117000 evaluated; 0 wrong controls; 72686 violate mass constrain.
Thu Jun  6 20:05:56 2013, (1812800000 clock):	118000 evaluated; 0 wrong controls; 73273 violate mass constrain.
Thu Jun  6 20:06:15 2013, (1828290000 clock):	119000 evaluated; 0 wrong controls; 73906 violate mass constrain.
Thu Jun  6 20:06:31 2013, (1843530000 clock):	120000 evaluated; 0 wrong controls; 74523 violate mass constrain.
Thu Jun  6 20:06:46 2013, (1858700000 clock):	121000 evaluated; 0 wrong controls; 75153 violate mass constrain.
Thu Jun  6 20:07:05 2013, (1874130000 clock):	122000 evaluated; 0 wrong controls; 75777 violate mass constrain.
Thu Jun  6 20:07:21 2013, (1889880000 clock):	123000 evaluated; 0 wrong controls; 76394 violate mass constrain.
Thu Jun  6 20:07:40 2013, (1905410000 clock):	124000 evaluated; 0 wrong controls; 76998 violate mass constrain.
Thu Jun  6 20:07:55 2013, (1920990000 clock):	125000 evaluated; 0 wrong controls; 77601 violate mass constrain.
Thu Jun  6 20:08:17 2013, (1937130000 clock):	126000 evaluated; 0 wrong controls; 78199 violate mass constrain.
Thu Jun  6 20:08:33 2013, (1952760000 clock):	127000 evaluated; 0 wrong controls; 78796 violate mass constrain.
Thu Jun  6 20:08:52 2013, (1968350000 clock):	128000 evaluated; 0 wrong controls; 79407 violate mass constrain.
Thu Jun  6 20:09:08 2013, (1983850000 clock):	129000 evaluated; 0 wrong controls; 79991 violate mass constrain.
Thu Jun  6 20:09:27 2013, (1999660000 clock):	130000 evaluated; 0 wrong controls; 80580 violate mass constrain.
Thu Jun  6 20:09:44 2013, (2015520000 clock):	131000 evaluated; 0 wrong controls; 81200 violate mass constrain.
Thu Jun  6 20:09:59 2013, (2031080000 clock):	132000 evaluated; 0 wrong controls; 81775 violate mass constrain.
Thu Jun  6 20:10:19 2013, (2046910000 clock):	133000 evaluated; 0 wrong controls; 82370 violate mass constrain.
Thu Jun  6 20:10:36 2013, (2062490000 clock):	134000 evaluated; 0 wrong controls; 82980 violate mass constrain.
Thu Jun  6 20:10:56 2013, (2078840000 clock):	135000 evaluated; 0 wrong controls; 83588 violate mass constrain.
Thu Jun  6 20:11:13 2013, (2094660000 clock):	136000 evaluated; 0 wrong controls; 84212 violate mass constrain.
Thu Jun  6 20:11:31 2013, (2110540000 clock):	137000 evaluated; 0 wrong controls; 84800 violate mass constrain.
Thu Jun  6 20:11:47 2013, (2126050000 clock):	138000 evaluated; 0 wrong controls; 85382 violate mass constrain.
Thu Jun  6 20:12:07 2013, (2142410000 clock):	139000 evaluated; 0 wrong controls; 85976 violate mass constrain.
Thu Jun  6 20:12:23 2013, (2158490000 clock):	140000 evaluated; 0 wrong controls; 86577 violate mass constrain.
Thu Jun  6 20:12:40 2013, (2175030000 clock):	141000 evaluated; 0 wrong controls; 87147 violate mass constrain.
Thu Jun  6 20:13:00 2013, (2191810000 clock):	142000 evaluated; 0 wrong controls; 87713 violate mass constrain.
Thu Jun  6 20:13:17 2013, (2207370000 clock):	143000 evaluated; 0 wrong controls; 88340 violate mass constrain.
Thu Jun  6 20:13:36 2013, (2223140000 clock):	144000 evaluated; 0 wrong controls; 88955 violate mass constrain.
Thu Jun  6 20:13:51 2013, (2237580000 clock):	145000 evaluated; 0 wrong controls; 89600 violate mass constrain.
Thu Jun  6 20:14:11 2013, (2253500000 clock):	146000 evaluated; 0 wrong controls; 90211 violate mass constrain.
Thu Jun  6 20:14:27 2013, (2268620000 clock):	147000 evaluated; 0 wrong controls; 90805 violate mass constrain.
Thu Jun  6 20:14:46 2013, (2284570000 clock):	148000 evaluated; 0 wrong controls; 91368 violate mass constrain.
Thu Jun  6 20:15:03 2013, (2300780000 clock):	149000 evaluated; 0 wrong controls; 91964 violate mass constrain.
Thu Jun  6 20:15:23 2013, (2317100000 clock):	150000 evaluated; 0 wrong controls; 92550 violate mass constrain.
Thu Jun  6 20:15:39 2013, (2332610000 clock):	151000 evaluated; 0 wrong controls; 93149 violate mass constrain.
Thu Jun  6 20:15:54 2013, (2347470000 clock):	152000 evaluated; 0 wrong controls; 93770 violate mass constrain.
Thu Jun  6 20:16:14 2013, (2363580000 clock):	153000 evaluated; 0 wrong controls; 94370 violate mass constrain.
Thu Jun  6 20:16:30 2013, (2379910000 clock):	154000 evaluated; 0 wrong controls; 94954 violate mass constrain.
Thu Jun  6 20:16:50 2013, (2395600000 clock):	155000 evaluated; 0 wrong controls; 95558 violate mass constrain.
Thu Jun  6 20:17:06 2013, (2411350000 clock):	156000 evaluated; 0 wrong controls; 96134 violate mass constrain.
Thu Jun  6 20:17:25 2013, (2426760000 clock):	157000 evaluated; 0 wrong controls; 96734 violate mass constrain.
Thu Jun  6 20:17:41 2013, (2442920000 clock):	158000 evaluated; 0 wrong controls; 97337 violate mass constrain.
Thu Jun  6 20:18:01 2013, (2458930000 clock):	159000 evaluated; 0 wrong controls; 97916 violate mass constrain.
Thu Jun  6 20:18:18 2013, (2475730000 clock):	160000 evaluated; 0 wrong controls; 98496 violate mass constrain.
Thu Jun  6 20:18:34 2013, (2490730000 clock):	161000 evaluated; 0 wrong controls; 99093 violate mass constrain.
Thu Jun  6 20:18:52 2013, (2505970000 clock):	162000 evaluated; 0 wrong controls; 99698 violate mass constrain.
Thu Jun  6 20:19:09 2013, (2522500000 clock):	163000 evaluated; 0 wrong controls; 100335 violate mass constrain.
Thu Jun  6 20:19:29 2013, (2539510000 clock):	164000 evaluated; 0 wrong controls; 100933 violate mass constrain.
Thu Jun  6 20:19:45 2013, (2555400000 clock):	165000 evaluated; 0 wrong controls; 101555 violate mass constrain.
Thu Jun  6 20:20:03 2013, (2570700000 clock):	166000 evaluated; 0 wrong controls; 102156 violate mass constrain.
Thu Jun  6 20:20:19 2013, (2586410000 clock):	167000 evaluated; 0 wrong controls; 102738 violate mass constrain.
Thu Jun  6 20:20:38 2013, (2602070000 clock):	168000 evaluated; 0 wrong controls; 103348 violate mass constrain.
Thu Jun  6 20:20:54 2013, (2617730000 clock):	169000 evaluated; 0 wrong controls; 103937 violate mass constrain.
Thu Jun  6 20:21:10 2013, (2633320000 clock):	170000 evaluated; 0 wrong controls; 104543 violate mass constrain.
Thu Jun  6 20:21:29 2013, (2649450000 clock):	171000 evaluated; 0 wrong controls; 105145 violate mass constrain.
Thu Jun  6 20:21:45 2013, (2665450000 clock):	172000 evaluated; 0 wrong controls; 105753 violate mass constrain.
Thu Jun  6 20:22:04 2013, (2680420000 clock):	173000 evaluated; 0 wrong controls; 106369 violate mass constrain.
Thu Jun  6 20:22:19 2013, (2695950000 clock):	174000 evaluated; 0 wrong controls; 106937 violate mass constrain.
Thu Jun  6 20:22:39 2013, (2711870000 clock):	175000 evaluated; 0 wrong controls; 107510 violate mass constrain.
Thu Jun  6 20:22:54 2013, (2727010000 clock):	176000 evaluated; 0 wrong controls; 108124 violate mass constrain.
Thu Jun  6 20:23:13 2013, (2742750000 clock):	177000 evaluated; 0 wrong controls; 108725 violate mass constrain.
Thu Jun  6 20:23:30 2013, (2758940000 clock):	178000 evaluated; 0 wrong controls; 109287 violate mass constrain.
Thu Jun  6 20:23:48 2013, (2774320000 clock):	179000 evaluated; 0 wrong controls; 109906 violate mass constrain.
Thu Jun  6 20:24:04 2013, (2790090000 clock):	180000 evaluated; 0 wrong controls; 110488 violate mass constrain.
Thu Jun  6 20:24:20 2013, (2805720000 clock):	181000 evaluated; 0 wrong controls; 111119 violate mass constrain.
Thu Jun  6 20:24:40 2013, (2822480000 clock):	182000 evaluated; 0 wrong controls; 111704 violate mass constrain.
Thu Jun  6 20:24:55 2013, (2837840000 clock):	183000 evaluated; 0 wrong controls; 112310 violate mass constrain.
Thu Jun  6 20:25:14 2013, (2853970000 clock):	184000 evaluated; 0 wrong controls; 112911 violate mass constrain.
Thu Jun  6 20:25:30 2013, (2870030000 clock):	185000 evaluated; 0 wrong controls; 113529 violate mass constrain.
Thu Jun  6 20:25:50 2013, (2886020000 clock):	186000 evaluated; 0 wrong controls; 114100 violate mass constrain.
Thu Jun  6 20:26:06 2013, (2901970000 clock):	187000 evaluated; 0 wrong controls; 114709 violate mass constrain.
Thu Jun  6 20:26:25 2013, (2917810000 clock):	188000 evaluated; 0 wrong controls; 115325 violate mass constrain.
Thu Jun  6 20:26:41 2013, (2933590000 clock):	189000 evaluated; 0 wrong controls; 115935 violate mass constrain.
Thu Jun  6 20:26:58 2013, (2949730000 clock):	190000 evaluated; 0 wrong controls; 116529 violate mass constrain.
Thu Jun  6 20:27:17 2013, (2965850000 clock):	191000 evaluated; 0 wrong controls; 117127 violate mass constrain.
Thu Jun  6 20:27:33 2013, (2981860000 clock):	192000 evaluated; 0 wrong controls; 117719 violate mass constrain.
Thu Jun  6 20:27:51 2013, (2997610000 clock):	193000 evaluated; 0 wrong controls; 118322 violate mass constrain.
Thu Jun  6 20:28:07 2013, (3013000000 clock):	194000 evaluated; 0 wrong controls; 118928 violate mass constrain.
Thu Jun  6 20:28:27 2013, (3029440000 clock):	195000 evaluated; 0 wrong controls; 119523 violate mass constrain.
Thu Jun  6 20:28:43 2013, (3045790000 clock):	196000 evaluated; 0 wrong controls; 120091 violate mass constrain.
Thu Jun  6 20:29:02 2013, (3061170000 clock):	197000 evaluated; 0 wrong controls; 120694 violate mass constrain.
Thu Jun  6 20:29:17 2013, (3076410000 clock):	198000 evaluated; 0 wrong controls; 121286 violate mass constrain.
Thu Jun  6 20:29:36 2013, (3092140000 clock):	199000 evaluated; 0 wrong controls; 121907 violate mass constrain.
Thu Jun  6 20:29:52 2013, (3107890000 clock):	200000 evaluated; 0 wrong controls; 122481 violate mass constrain.
Thu Jun  6 20:30:08 2013, (3124100000 clock):	201000 evaluated; 0 wrong controls; 123078 violate mass constrain.
Thu Jun  6 20:30:27 2013, (3139940000 clock):	202000 evaluated; 0 wrong controls; 123666 violate mass constrain.
Thu Jun  6 20:30:42 2013, (3154680000 clock):	203000 evaluated; 0 wrong controls; 124300 violate mass constrain.
Thu Jun  6 20:31:01 2013, (3171020000 clock):	204000 evaluated; 0 wrong controls; 124886 violate mass constrain.
Thu Jun  6 20:31:18 2013, (3187280000 clock):	205000 evaluated; 0 wrong controls; 125449 violate mass constrain.
Thu Jun  6 20:31:37 2013, (3203530000 clock):	206000 evaluated; 0 wrong controls; 126040 violate mass constrain.
Thu Jun  6 20:31:53 2013, (3219250000 clock):	207000 evaluated; 0 wrong controls; 126645 violate mass constrain.
Thu Jun  6 20:32:11 2013, (3234500000 clock):	208000 evaluated; 0 wrong controls; 127249 violate mass constrain.
Thu Jun  6 20:32:27 2013, (3250020000 clock):	209000 evaluated; 0 wrong controls; 127853 violate mass constrain.
Thu Jun  6 20:32:43 2013, (3265850000 clock):	210000 evaluated; 0 wrong controls; 128442 violate mass constrain.
Thu Jun  6 20:33:01 2013, (3281060000 clock):	211000 evaluated; 0 wrong controls; 129084 violate mass constrain.
Thu Jun  6 20:33:17 2013, (3296640000 clock):	212000 evaluated; 0 wrong controls; 129675 violate mass constrain.
Thu Jun  6 20:33:36 2013, (3313160000 clock):	213000 evaluated; 0 wrong controls; 130257 violate mass constrain.
Thu Jun  6 20:33:53 2013, (3329440000 clock):	214000 evaluated; 0 wrong controls; 130828 violate mass constrain.
Thu Jun  6 20:34:11 2013, (3344980000 clock):	215000 evaluated; 0 wrong controls; 131434 violate mass constrain.
Thu Jun  6 20:34:27 2013, (3360310000 clock):	216000 evaluated; 0 wrong controls; 132055 violate mass constrain.
Thu Jun  6 20:34:46 2013, (3376000000 clock):	217000 evaluated; 0 wrong controls; 132660 violate mass constrain.
Thu Jun  6 20:35:02 2013, (3392100000 clock):	218000 evaluated; 0 wrong controls; 133228 violate mass constrain.
Thu Jun  6 20:35:19 2013, (3408500000 clock):	219000 evaluated; 0 wrong controls; 133815 violate mass constrain.
Thu Jun  6 20:35:37 2013, (3423770000 clock):	220000 evaluated; 0 wrong controls; 134442 violate mass constrain.
Thu Jun  6 20:35:52 2013, (3438730000 clock):	221000 evaluated; 0 wrong controls; 135049 violate mass constrain.
Thu Jun  6 20:36:10 2013, (3454410000 clock):	222000 evaluated; 0 wrong controls; 135659 violate mass constrain.
Thu Jun  6 20:36:27 2013, (3471140000 clock):	223000 evaluated; 0 wrong controls; 136262 violate mass constrain.
Thu Jun  6 20:36:47 2013, (3487430000 clock):	224000 evaluated; 0 wrong controls; 136848 violate mass constrain.
Thu Jun  6 20:37:03 2013, (3503400000 clock):	225000 evaluated; 0 wrong controls; 137459 violate mass constrain.
Thu Jun  6 20:37:22 2013, (3519650000 clock):	226000 evaluated; 0 wrong controls; 138058 violate mass constrain.
Thu Jun  6 20:37:39 2013, (3536170000 clock):	227000 evaluated; 0 wrong controls; 138667 violate mass constrain.
Thu Jun  6 20:37:57 2013, (3551400000 clock):	228000 evaluated; 0 wrong controls; 139277 violate mass constrain.
Thu Jun  6 20:38:13 2013, (3567300000 clock):	229000 evaluated; 0 wrong controls; 139881 violate mass constrain.
