Wed Jul  3 17:51:22 2013, (0 clock):	Start log file
Wed Jul  3 17:51:22 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:22 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:22 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 17:59:41 2013, (479830000 clock):	50000 evaluated; 0 wrong controls; 48126 violate mass constrain.
Wed Jul  3 17:59:51 2013, (489030000 clock):	51000 evaluated; 0 wrong controls; 49120 violate mass constrain.
Wed Jul  3 18:00:00 2013, (497880000 clock):	52000 evaluated; 0 wrong controls; 50112 violate mass constrain.
Wed Jul  3 18:00:10 2013, (507000000 clock):	53000 evaluated; 0 wrong controls; 51092 violate mass constrain.
Wed Jul  3 18:00:19 2013, (516240000 clock):	54000 evaluated; 0 wrong controls; 52074 violate mass constrain.
Wed Jul  3 18:00:29 2013, (525620000 clock):	55000 evaluated; 0 wrong controls; 53047 violate mass constrain.
Wed Jul  3 18:00:40 2013, (535230000 clock):	56000 evaluated; 0 wrong controls; 54027 violate mass constrain.
Wed Jul  3 18:00:52 2013, (547040000 clock):	57000 evaluated; 0 wrong controls; 55020 violate mass constrain.
Wed Jul  3 18:01:03 2013, (557310000 clock):	58000 evaluated; 0 wrong controls; 56012 violate mass constrain.
Wed Jul  3 18:01:14 2013, (567310000 clock):	59000 evaluated; 0 wrong controls; 56991 violate mass constrain.
Wed Jul  3 18:01:24 2013, (576750000 clock):	60000 evaluated; 0 wrong controls; 57974 violate mass constrain.
Wed Jul  3 18:01:34 2013, (586320000 clock):	61000 evaluated; 0 wrong controls; 58964 violate mass constrain.
Wed Jul  3 18:01:48 2013, (598970000 clock):	62000 evaluated; 0 wrong controls; 59949 violate mass constrain.
Wed Jul  3 18:01:59 2013, (609360000 clock):	63000 evaluated; 0 wrong controls; 60931 violate mass constrain.
Wed Jul  3 18:02:11 2013, (620500000 clock):	64000 evaluated; 0 wrong controls; 61918 violate mass constrain.
Wed Jul  3 18:02:21 2013, (630810000 clock):	65000 evaluated; 0 wrong controls; 62893 violate mass constrain.
Wed Jul  3 18:02:32 2013, (641370000 clock):	66000 evaluated; 0 wrong controls; 63879 violate mass constrain.
Wed Jul  3 18:02:43 2013, (652070000 clock):	67000 evaluated; 0 wrong controls; 64876 violate mass constrain.
Wed Jul  3 18:02:54 2013, (661690000 clock):	68000 evaluated; 0 wrong controls; 65871 violate mass constrain.
Wed Jul  3 18:03:05 2013, (672160000 clock):	69000 evaluated; 0 wrong controls; 66866 violate mass constrain.
Wed Jul  3 18:03:15 2013, (682410000 clock):	70000 evaluated; 0 wrong controls; 67855 violate mass constrain.
Wed Jul  3 18:03:25 2013, (691720000 clock):	71000 evaluated; 0 wrong controls; 68835 violate mass constrain.
Wed Jul  3 18:03:38 2013, (704140000 clock):	72000 evaluated; 0 wrong controls; 69812 violate mass constrain.
Wed Jul  3 18:03:49 2013, (714860000 clock):	73000 evaluated; 0 wrong controls; 70771 violate mass constrain.
Wed Jul  3 18:04:00 2013, (725710000 clock):	74000 evaluated; 0 wrong controls; 71711 violate mass constrain.
Wed Jul  3 18:04:12 2013, (737570000 clock):	75000 evaluated; 0 wrong controls; 72632 violate mass constrain.
Wed Jul  3 18:04:25 2013, (749340000 clock):	76000 evaluated; 0 wrong controls; 73607 violate mass constrain.
Wed Jul  3 18:04:36 2013, (760030000 clock):	77000 evaluated; 0 wrong controls; 74601 violate mass constrain.
Wed Jul  3 18:04:47 2013, (770830000 clock):	78000 evaluated; 0 wrong controls; 75591 violate mass constrain.
Wed Jul  3 18:04:58 2013, (781690000 clock):	79000 evaluated; 0 wrong controls; 76573 violate mass constrain.
Wed Jul  3 18:05:09 2013, (792160000 clock):	80000 evaluated; 0 wrong controls; 77546 violate mass constrain.
Wed Jul  3 18:05:19 2013, (802070000 clock):	81000 evaluated; 0 wrong controls; 78514 violate mass constrain.
Wed Jul  3 18:05:30 2013, (812040000 clock):	82000 evaluated; 0 wrong controls; 79455 violate mass constrain.
Wed Jul  3 18:05:42 2013, (824070000 clock):	83000 evaluated; 0 wrong controls; 80391 violate mass constrain.
Wed Jul  3 18:05:52 2013, (833900000 clock):	84000 evaluated; 0 wrong controls; 81347 violate mass constrain.
Wed Jul  3 18:06:04 2013, (844850000 clock):	85000 evaluated; 0 wrong controls; 82301 violate mass constrain.
Wed Jul  3 18:06:16 2013, (856890000 clock):	86000 evaluated; 0 wrong controls; 83225 violate mass constrain.
Wed Jul  3 18:06:26 2013, (866960000 clock):	87000 evaluated; 0 wrong controls; 84215 violate mass constrain.
Wed Jul  3 18:06:37 2013, (877160000 clock):	88000 evaluated; 0 wrong controls; 85200 violate mass constrain.
Wed Jul  3 18:06:47 2013, (886410000 clock):	89000 evaluated; 0 wrong controls; 86192 violate mass constrain.
