Wed Jul  3 17:49:20 2013, (0 clock):	Start log file
Wed Jul  3 17:49:20 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:49:20 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:49:20 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 17:49:29 2013, (8650000 clock):	1000 evaluated; 0 wrong controls; 985 violate mass constrain.
Wed Jul  3 17:49:39 2013, (17500000 clock):	2000 evaluated; 0 wrong controls; 1956 violate mass constrain.
Wed Jul  3 17:49:49 2013, (26960000 clock):	3000 evaluated; 0 wrong controls; 2892 violate mass constrain.
Wed Jul  3 17:49:59 2013, (37180000 clock):	4000 evaluated; 0 wrong controls; 3788 violate mass constrain.
Wed Jul  3 17:50:10 2013, (47490000 clock):	5000 evaluated; 0 wrong controls; 4667 violate mass constrain.
Wed Jul  3 17:50:19 2013, (56210000 clock):	6000 evaluated; 0 wrong controls; 5657 violate mass constrain.
Wed Jul  3 17:50:28 2013, (65150000 clock):	7000 evaluated; 0 wrong controls; 6643 violate mass constrain.
Wed Jul  3 17:50:37 2013, (73770000 clock):	8000 evaluated; 0 wrong controls; 7631 violate mass constrain.
Wed Jul  3 17:50:47 2013, (82560000 clock):	9000 evaluated; 0 wrong controls; 8610 violate mass constrain.
Wed Jul  3 17:50:56 2013, (91620000 clock):	10000 evaluated; 0 wrong controls; 9596 violate mass constrain.
Wed Jul  3 17:51:06 2013, (100800000 clock):	11000 evaluated; 0 wrong controls; 10565 violate mass constrain.
Wed Jul  3 17:51:16 2013, (110770000 clock):	12000 evaluated; 0 wrong controls; 11503 violate mass constrain.
Wed Jul  3 17:51:27 2013, (121290000 clock):	13000 evaluated; 0 wrong controls; 12404 violate mass constrain.
Wed Jul  3 17:51:38 2013, (132400000 clock):	14000 evaluated; 0 wrong controls; 13293 violate mass constrain.
Wed Jul  3 17:51:50 2013, (143310000 clock):	15000 evaluated; 0 wrong controls; 14199 violate mass constrain.
