Wed Jul  3 17:49:21 2013, (0 clock):	Start log file
Wed Jul  3 17:49:21 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:49:21 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:49:21 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 17:49:30 2013, (8640000 clock):	1000 evaluated; 0 wrong controls; 987 violate mass constrain.
Wed Jul  3 17:49:40 2013, (17520000 clock):	2000 evaluated; 0 wrong controls; 1951 violate mass constrain.
Wed Jul  3 17:49:49 2013, (26600000 clock):	3000 evaluated; 0 wrong controls; 2906 violate mass constrain.
Wed Jul  3 17:49:59 2013, (35440000 clock):	4000 evaluated; 0 wrong controls; 3886 violate mass constrain.
Wed Jul  3 17:50:08 2013, (44110000 clock):	5000 evaluated; 0 wrong controls; 4868 violate mass constrain.
Wed Jul  3 17:50:17 2013, (52720000 clock):	6000 evaluated; 0 wrong controls; 5862 violate mass constrain.
Wed Jul  3 17:50:26 2013, (61800000 clock):	7000 evaluated; 0 wrong controls; 6847 violate mass constrain.
Wed Jul  3 17:50:36 2013, (70840000 clock):	8000 evaluated; 0 wrong controls; 7813 violate mass constrain.
Wed Jul  3 17:50:46 2013, (80910000 clock):	9000 evaluated; 0 wrong controls; 8721 violate mass constrain.
Wed Jul  3 17:50:57 2013, (91610000 clock):	10000 evaluated; 0 wrong controls; 9618 violate mass constrain.
Wed Jul  3 17:51:08 2013, (101920000 clock):	11000 evaluated; 0 wrong controls; 10537 violate mass constrain.
Wed Jul  3 17:51:19 2013, (112580000 clock):	12000 evaluated; 0 wrong controls; 11451 violate mass constrain.
Wed Jul  3 17:51:30 2013, (123000000 clock):	13000 evaluated; 0 wrong controls; 12368 violate mass constrain.
Wed Jul  3 17:51:41 2013, (134040000 clock):	14000 evaluated; 0 wrong controls; 13271 violate mass constrain.
Wed Jul  3 17:51:52 2013, (145070000 clock):	15000 evaluated; 0 wrong controls; 14168 violate mass constrain.
Wed Jul  3 17:52:02 2013, (154390000 clock):	16000 evaluated; 0 wrong controls; 15147 violate mass constrain.
Wed Jul  3 17:52:11 2013, (163420000 clock):	17000 evaluated; 0 wrong controls; 16140 violate mass constrain.
Wed Jul  3 17:52:21 2013, (172590000 clock):	18000 evaluated; 0 wrong controls; 17128 violate mass constrain.
Wed Jul  3 17:52:31 2013, (182040000 clock):	19000 evaluated; 0 wrong controls; 18113 violate mass constrain.
Wed Jul  3 17:52:40 2013, (191330000 clock):	20000 evaluated; 0 wrong controls; 19101 violate mass constrain.
Wed Jul  3 17:52:50 2013, (200550000 clock):	21000 evaluated; 0 wrong controls; 20087 violate mass constrain.
Wed Jul  3 17:52:59 2013, (209530000 clock):	22000 evaluated; 0 wrong controls; 21074 violate mass constrain.
Wed Jul  3 17:53:09 2013, (218770000 clock):	23000 evaluated; 0 wrong controls; 22055 violate mass constrain.
Wed Jul  3 17:53:18 2013, (227940000 clock):	24000 evaluated; 0 wrong controls; 23034 violate mass constrain.
Wed Jul  3 17:53:28 2013, (237510000 clock):	25000 evaluated; 0 wrong controls; 23996 violate mass constrain.
Wed Jul  3 17:53:38 2013, (246980000 clock):	26000 evaluated; 0 wrong controls; 24981 violate mass constrain.
Wed Jul  3 17:53:48 2013, (256010000 clock):	27000 evaluated; 0 wrong controls; 25971 violate mass constrain.
Wed Jul  3 17:53:57 2013, (265040000 clock):	28000 evaluated; 0 wrong controls; 26961 violate mass constrain.
Wed Jul  3 17:54:07 2013, (274120000 clock):	29000 evaluated; 0 wrong controls; 27951 violate mass constrain.
Wed Jul  3 17:54:16 2013, (283050000 clock):	30000 evaluated; 0 wrong controls; 28941 violate mass constrain.
Wed Jul  3 17:54:26 2013, (292440000 clock):	31000 evaluated; 0 wrong controls; 29927 violate mass constrain.
Wed Jul  3 17:54:35 2013, (301590000 clock):	32000 evaluated; 0 wrong controls; 30918 violate mass constrain.
Wed Jul  3 17:54:45 2013, (310680000 clock):	33000 evaluated; 0 wrong controls; 31909 violate mass constrain.
Wed Jul  3 17:54:54 2013, (319950000 clock):	34000 evaluated; 0 wrong controls; 32894 violate mass constrain.
Wed Jul  3 17:55:04 2013, (329540000 clock):	35000 evaluated; 0 wrong controls; 33867 violate mass constrain.
Wed Jul  3 17:55:14 2013, (338760000 clock):	36000 evaluated; 0 wrong controls; 34853 violate mass constrain.
Wed Jul  3 17:55:23 2013, (347880000 clock):	37000 evaluated; 0 wrong controls; 35844 violate mass constrain.
Wed Jul  3 17:55:33 2013, (356860000 clock):	38000 evaluated; 0 wrong controls; 36833 violate mass constrain.
Wed Jul  3 17:55:42 2013, (365890000 clock):	39000 evaluated; 0 wrong controls; 37823 violate mass constrain.
Wed Jul  3 17:55:51 2013, (375080000 clock):	40000 evaluated; 0 wrong controls; 38812 violate mass constrain.
Wed Jul  3 17:56:01 2013, (384310000 clock):	41000 evaluated; 0 wrong controls; 39802 violate mass constrain.
Wed Jul  3 17:56:10 2013, (393260000 clock):	42000 evaluated; 0 wrong controls; 40794 violate mass constrain.
Wed Jul  3 17:56:20 2013, (402170000 clock):	43000 evaluated; 0 wrong controls; 41787 violate mass constrain.
Wed Jul  3 17:56:29 2013, (411120000 clock):	44000 evaluated; 0 wrong controls; 42779 violate mass constrain.
Wed Jul  3 17:56:39 2013, (420300000 clock):	45000 evaluated; 0 wrong controls; 43762 violate mass constrain.
Wed Jul  3 17:56:48 2013, (429330000 clock):	46000 evaluated; 0 wrong controls; 44757 violate mass constrain.
Wed Jul  3 17:56:57 2013, (438200000 clock):	47000 evaluated; 0 wrong controls; 45750 violate mass constrain.
Wed Jul  3 17:57:07 2013, (447310000 clock):	48000 evaluated; 0 wrong controls; 46736 violate mass constrain.
Wed Jul  3 17:57:17 2013, (457050000 clock):	49000 evaluated; 0 wrong controls; 47696 violate mass constrain.
Wed Jul  3 17:57:27 2013, (467450000 clock):	50000 evaluated; 0 wrong controls; 48598 violate mass constrain.
Wed Jul  3 17:57:39 2013, (478670000 clock):	51000 evaluated; 0 wrong controls; 49485 violate mass constrain.
Wed Jul  3 17:57:50 2013, (489580000 clock):	52000 evaluated; 0 wrong controls; 50371 violate mass constrain.
Wed Jul  3 17:58:01 2013, (500070000 clock):	53000 evaluated; 0 wrong controls; 51276 violate mass constrain.
Wed Jul  3 17:58:12 2013, (510670000 clock):	54000 evaluated; 0 wrong controls; 52172 violate mass constrain.
Wed Jul  3 17:58:23 2013, (521460000 clock):	55000 evaluated; 0 wrong controls; 53062 violate mass constrain.
Wed Jul  3 17:58:33 2013, (531360000 clock):	56000 evaluated; 0 wrong controls; 54001 violate mass constrain.
Wed Jul  3 17:58:43 2013, (540230000 clock):	57000 evaluated; 0 wrong controls; 54993 violate mass constrain.
Wed Jul  3 17:58:52 2013, (549320000 clock):	58000 evaluated; 0 wrong controls; 55986 violate mass constrain.
Wed Jul  3 17:59:02 2013, (558610000 clock):	59000 evaluated; 0 wrong controls; 56971 violate mass constrain.
Wed Jul  3 17:59:11 2013, (567730000 clock):	60000 evaluated; 0 wrong controls; 57959 violate mass constrain.
Wed Jul  3 17:59:21 2013, (576760000 clock):	61000 evaluated; 0 wrong controls; 58939 violate mass constrain.
Wed Jul  3 17:59:31 2013, (585970000 clock):	62000 evaluated; 0 wrong controls; 59918 violate mass constrain.
Wed Jul  3 17:59:42 2013, (596120000 clock):	63000 evaluated; 0 wrong controls; 60858 violate mass constrain.
Wed Jul  3 17:59:53 2013, (607010000 clock):	64000 evaluated; 0 wrong controls; 61737 violate mass constrain.
Wed Jul  3 18:00:04 2013, (618120000 clock):	65000 evaluated; 0 wrong controls; 62615 violate mass constrain.
Wed Jul  3 18:00:15 2013, (628120000 clock):	66000 evaluated; 0 wrong controls; 63544 violate mass constrain.
Wed Jul  3 18:00:24 2013, (637060000 clock):	67000 evaluated; 0 wrong controls; 64535 violate mass constrain.
Wed Jul  3 18:00:33 2013, (646110000 clock):	68000 evaluated; 0 wrong controls; 65524 violate mass constrain.
Wed Jul  3 18:00:43 2013, (655660000 clock):	69000 evaluated; 0 wrong controls; 66512 violate mass constrain.
Wed Jul  3 18:00:56 2013, (668450000 clock):	70000 evaluated; 0 wrong controls; 67503 violate mass constrain.
Wed Jul  3 18:01:06 2013, (678060000 clock):	71000 evaluated; 0 wrong controls; 68480 violate mass constrain.
Wed Jul  3 18:01:17 2013, (687720000 clock):	72000 evaluated; 0 wrong controls; 69465 violate mass constrain.
Wed Jul  3 18:01:27 2013, (697330000 clock):	73000 evaluated; 0 wrong controls; 70440 violate mass constrain.
Wed Jul  3 18:01:37 2013, (707060000 clock):	74000 evaluated; 0 wrong controls; 71414 violate mass constrain.
Wed Jul  3 18:01:49 2013, (718270000 clock):	75000 evaluated; 0 wrong controls; 72395 violate mass constrain.
Wed Jul  3 18:02:00 2013, (729080000 clock):	76000 evaluated; 0 wrong controls; 73373 violate mass constrain.
Wed Jul  3 18:02:10 2013, (738900000 clock):	77000 evaluated; 0 wrong controls; 74364 violate mass constrain.
Wed Jul  3 18:02:20 2013, (748150000 clock):	78000 evaluated; 0 wrong controls; 75350 violate mass constrain.
Wed Jul  3 18:02:31 2013, (758830000 clock):	79000 evaluated; 0 wrong controls; 76340 violate mass constrain.
Wed Jul  3 18:02:43 2013, (770550000 clock):	80000 evaluated; 0 wrong controls; 77333 violate mass constrain.
Wed Jul  3 18:02:53 2013, (780480000 clock):	81000 evaluated; 0 wrong controls; 78317 violate mass constrain.
Wed Jul  3 18:03:07 2013, (794010000 clock):	82000 evaluated; 0 wrong controls; 79307 violate mass constrain.
Wed Jul  3 18:03:17 2013, (803370000 clock):	83000 evaluated; 0 wrong controls; 80295 violate mass constrain.
Wed Jul  3 18:03:27 2013, (813150000 clock):	84000 evaluated; 0 wrong controls; 81287 violate mass constrain.
Wed Jul  3 18:03:38 2013, (823490000 clock):	85000 evaluated; 0 wrong controls; 82277 violate mass constrain.
Wed Jul  3 18:03:52 2013, (837090000 clock):	86000 evaluated; 0 wrong controls; 83263 violate mass constrain.
