Wed Jul  3 17:50:59 2013, (0 clock):	Start log file
Wed Jul  3 17:50:59 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:50:59 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:50:59 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 17:51:09 2013, (8900000 clock):	1000 evaluated; 0 wrong controls; 996 violate mass constrain.
Wed Jul  3 17:51:18 2013, (17700000 clock):	2000 evaluated; 0 wrong controls; 1992 violate mass constrain.
Wed Jul  3 17:51:28 2013, (26630000 clock):	3000 evaluated; 0 wrong controls; 2990 violate mass constrain.
Wed Jul  3 17:51:37 2013, (35730000 clock):	4000 evaluated; 0 wrong controls; 3988 violate mass constrain.
Wed Jul  3 17:51:47 2013, (44980000 clock):	5000 evaluated; 0 wrong controls; 4983 violate mass constrain.
Wed Jul  3 17:51:57 2013, (54120000 clock):	6000 evaluated; 0 wrong controls; 5976 violate mass constrain.
Wed Jul  3 17:52:06 2013, (63250000 clock):	7000 evaluated; 0 wrong controls; 6969 violate mass constrain.
Wed Jul  3 17:52:15 2013, (72210000 clock):	8000 evaluated; 0 wrong controls; 7967 violate mass constrain.
Wed Jul  3 17:52:25 2013, (81250000 clock):	9000 evaluated; 0 wrong controls; 8962 violate mass constrain.
Wed Jul  3 17:52:34 2013, (90480000 clock):	10000 evaluated; 0 wrong controls; 9961 violate mass constrain.
Wed Jul  3 17:52:44 2013, (99620000 clock):	11000 evaluated; 0 wrong controls; 10957 violate mass constrain.
Wed Jul  3 17:52:53 2013, (108660000 clock):	12000 evaluated; 0 wrong controls; 11952 violate mass constrain.
Wed Jul  3 17:53:03 2013, (117910000 clock):	13000 evaluated; 0 wrong controls; 12947 violate mass constrain.
Wed Jul  3 17:53:13 2013, (127050000 clock):	14000 evaluated; 0 wrong controls; 13941 violate mass constrain.
Wed Jul  3 17:53:22 2013, (136430000 clock):	15000 evaluated; 0 wrong controls; 14935 violate mass constrain.
Wed Jul  3 17:53:32 2013, (145750000 clock):	16000 evaluated; 0 wrong controls; 15935 violate mass constrain.
Wed Jul  3 17:53:41 2013, (154840000 clock):	17000 evaluated; 0 wrong controls; 16931 violate mass constrain.
Wed Jul  3 17:53:51 2013, (163710000 clock):	18000 evaluated; 0 wrong controls; 17923 violate mass constrain.
Wed Jul  3 17:54:00 2013, (172720000 clock):	19000 evaluated; 0 wrong controls; 18914 violate mass constrain.
Wed Jul  3 17:54:09 2013, (181820000 clock):	20000 evaluated; 0 wrong controls; 19907 violate mass constrain.
