Wed Jul  3 17:51:00 2013, (0 clock):	Start log file
Wed Jul  3 17:51:00 2013, (0 clock):	Parameters loaded.
Wed Jul  3 17:51:00 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
interpolator:
  parameters:
    - 3
    - 15
    - 2
  type: IDW
Wed Jul  3 17:51:00 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Wed Jul  3 17:58:48 2013, (448920000 clock):	50000 evaluated; 0 wrong controls; 49756 violate mass constrain.
Wed Jul  3 17:58:59 2013, (458240000 clock):	51000 evaluated; 0 wrong controls; 50748 violate mass constrain.
Wed Jul  3 17:59:09 2013, (467190000 clock):	52000 evaluated; 0 wrong controls; 51739 violate mass constrain.
Wed Jul  3 17:59:18 2013, (475910000 clock):	53000 evaluated; 0 wrong controls; 52736 violate mass constrain.
Wed Jul  3 17:59:27 2013, (484630000 clock):	54000 evaluated; 0 wrong controls; 53729 violate mass constrain.
Wed Jul  3 17:59:37 2013, (494020000 clock):	55000 evaluated; 0 wrong controls; 54719 violate mass constrain.
Wed Jul  3 17:59:47 2013, (502900000 clock):	56000 evaluated; 0 wrong controls; 55715 violate mass constrain.
Wed Jul  3 17:59:56 2013, (511830000 clock):	57000 evaluated; 0 wrong controls; 56710 violate mass constrain.
Wed Jul  3 18:00:05 2013, (520840000 clock):	58000 evaluated; 0 wrong controls; 57706 violate mass constrain.
Wed Jul  3 18:00:14 2013, (529790000 clock):	59000 evaluated; 0 wrong controls; 58702 violate mass constrain.
Wed Jul  3 18:00:24 2013, (538790000 clock):	60000 evaluated; 0 wrong controls; 59699 violate mass constrain.
Wed Jul  3 18:00:33 2013, (547540000 clock):	61000 evaluated; 0 wrong controls; 60695 violate mass constrain.
Wed Jul  3 18:00:44 2013, (557710000 clock):	62000 evaluated; 0 wrong controls; 61690 violate mass constrain.
Wed Jul  3 18:00:53 2013, (566710000 clock):	63000 evaluated; 0 wrong controls; 62687 violate mass constrain.
Wed Jul  3 18:01:03 2013, (575940000 clock):	64000 evaluated; 0 wrong controls; 63683 violate mass constrain.
Wed Jul  3 18:01:13 2013, (585670000 clock):	65000 evaluated; 0 wrong controls; 64677 violate mass constrain.
Wed Jul  3 18:01:23 2013, (595300000 clock):	66000 evaluated; 0 wrong controls; 65672 violate mass constrain.
Wed Jul  3 18:01:33 2013, (604960000 clock):	67000 evaluated; 0 wrong controls; 66666 violate mass constrain.
Wed Jul  3 18:01:43 2013, (614500000 clock):	68000 evaluated; 0 wrong controls; 67659 violate mass constrain.
Wed Jul  3 18:01:53 2013, (624050000 clock):	69000 evaluated; 0 wrong controls; 68654 violate mass constrain.
Wed Jul  3 18:02:04 2013, (635190000 clock):	70000 evaluated; 0 wrong controls; 69648 violate mass constrain.
Wed Jul  3 18:02:13 2013, (644030000 clock):	71000 evaluated; 0 wrong controls; 70638 violate mass constrain.
Wed Jul  3 18:02:24 2013, (653850000 clock):	72000 evaluated; 0 wrong controls; 71635 violate mass constrain.
Wed Jul  3 18:02:34 2013, (663600000 clock):	73000 evaluated; 0 wrong controls; 72633 violate mass constrain.
Wed Jul  3 18:02:45 2013, (674080000 clock):	74000 evaluated; 0 wrong controls; 73629 violate mass constrain.
Wed Jul  3 18:02:54 2013, (683200000 clock):	75000 evaluated; 0 wrong controls; 74622 violate mass constrain.
Wed Jul  3 18:03:05 2013, (693630000 clock):	76000 evaluated; 0 wrong controls; 75615 violate mass constrain.
Wed Jul  3 18:03:15 2013, (703150000 clock):	77000 evaluated; 0 wrong controls; 76614 violate mass constrain.
Wed Jul  3 18:03:24 2013, (712140000 clock):	78000 evaluated; 0 wrong controls; 77611 violate mass constrain.
Wed Jul  3 18:03:35 2013, (722800000 clock):	79000 evaluated; 0 wrong controls; 78606 violate mass constrain.
Wed Jul  3 18:03:46 2013, (732470000 clock):	80000 evaluated; 0 wrong controls; 79595 violate mass constrain.
