Tue Jun 11 16:30:02 2013, (0 clock):	Start log file
Tue Jun 11 16:30:02 2013, (0 clock):	Parameters loaded.
Tue Jun 11 16:30:02 2013, (0 clock):	controls:
  bounds:
    - 200
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    length: 1000
    area: 1
  initial:
    sourceType: PYRAMID
    filename: demRect.data
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
Tue Jun 11 16:39:25 2013, (528400000 clock):	49000 evaluated; 0 wrong controls; 35541 violate mass constrain.
Tue Jun 11 16:39:39 2013, (538700000 clock):	50000 evaluated; 0 wrong controls; 36227 violate mass constrain.
Tue Jun 11 16:39:50 2013, (550010000 clock):	51000 evaluated; 0 wrong controls; 36877 violate mass constrain.
Tue Jun 11 16:40:03 2013, (560510000 clock):	52000 evaluated; 0 wrong controls; 37555 violate mass constrain.
Tue Jun 11 16:40:14 2013, (570780000 clock):	53000 evaluated; 0 wrong controls; 38225 violate mass constrain.
Tue Jun 11 16:40:24 2013, (581110000 clock):	54000 evaluated; 0 wrong controls; 38913 violate mass constrain.
Tue Jun 11 16:40:37 2013, (591650000 clock):	55000 evaluated; 0 wrong controls; 39566 violate mass constrain.
Tue Jun 11 16:40:47 2013, (601710000 clock):	56000 evaluated; 0 wrong controls; 40260 violate mass constrain.
Tue Jun 11 16:41:01 2013, (612070000 clock):	57000 evaluated; 0 wrong controls; 40931 violate mass constrain.
Tue Jun 11 16:41:11 2013, (621800000 clock):	58000 evaluated; 0 wrong controls; 41608 violate mass constrain.
Tue Jun 11 16:41:22 2013, (630880000 clock):	59000 evaluated; 0 wrong controls; 42313 violate mass constrain.
Tue Jun 11 16:41:32 2013, (641010000 clock):	60000 evaluated; 0 wrong controls; 42994 violate mass constrain.
Tue Jun 11 16:41:46 2013, (652000000 clock):	61000 evaluated; 0 wrong controls; 43656 violate mass constrain.
Tue Jun 11 16:41:56 2013, (661600000 clock):	62000 evaluated; 0 wrong controls; 44334 violate mass constrain.
Tue Jun 11 16:42:05 2013, (670800000 clock):	63000 evaluated; 0 wrong controls; 45036 violate mass constrain.
Tue Jun 11 16:42:17 2013, (680730000 clock):	64000 evaluated; 0 wrong controls; 45714 violate mass constrain.
Tue Jun 11 16:42:29 2013, (691800000 clock):	65000 evaluated; 0 wrong controls; 46392 violate mass constrain.
Tue Jun 11 16:42:42 2013, (701890000 clock):	66000 evaluated; 0 wrong controls; 47073 violate mass constrain.
Tue Jun 11 16:42:52 2013, (712000000 clock):	67000 evaluated; 0 wrong controls; 47763 violate mass constrain.
Tue Jun 11 16:43:06 2013, (723270000 clock):	68000 evaluated; 0 wrong controls; 48415 violate mass constrain.
Tue Jun 11 16:43:17 2013, (734270000 clock):	69000 evaluated; 0 wrong controls; 49071 violate mass constrain.
Tue Jun 11 16:43:30 2013, (744540000 clock):	70000 evaluated; 0 wrong controls; 49752 violate mass constrain.
Tue Jun 11 16:43:41 2013, (755490000 clock):	71000 evaluated; 0 wrong controls; 50412 violate mass constrain.
