Sat Jul  6 09:28:08 2013, (0 clock):	Start log file
Sat Jul  6 09:28:08 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:08 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:08 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 09:29:38 2013, (88670000 clock):	1000 evaluated; 0 wrong controls; 414 violate mass constrain.
Sat Jul  6 09:31:05 2013, (175490000 clock):	2000 evaluated; 0 wrong controls; 619 violate mass constrain.
Sat Jul  6 09:32:40 2013, (269540000 clock):	3000 evaluated; 0 wrong controls; 687 violate mass constrain.
Sat Jul  6 09:34:13 2013, (362080000 clock):	4000 evaluated; 0 wrong controls; 718 violate mass constrain.
Sat Jul  6 09:35:49 2013, (457600000 clock):	5000 evaluated; 0 wrong controls; 723 violate mass constrain.
Sat Jul  6 09:37:14 2013, (541660000 clock):	6000 evaluated; 0 wrong controls; 1132 violate mass constrain.
Sat Jul  6 09:38:41 2013, (627780000 clock):	7000 evaluated; 0 wrong controls; 1217 violate mass constrain.
Sat Jul  6 09:40:08 2013, (714440000 clock):	8000 evaluated; 0 wrong controls; 1222 violate mass constrain.
Sat Jul  6 09:41:35 2013, (800600000 clock):	9000 evaluated; 0 wrong controls; 1222 violate mass constrain.
Sat Jul  6 09:43:01 2013, (886510000 clock):	10000 evaluated; 0 wrong controls; 1222 violate mass constrain.
Sat Jul  6 09:44:23 2013, (967390000 clock):	11000 evaluated; 0 wrong controls; 1222 violate mass constrain.
Sat Jul  6 09:45:47 2013, (1050930000 clock):	12000 evaluated; 0 wrong controls; 1222 violate mass constrain.
Sat Jul  6 09:47:09 2013, (1132430000 clock):	13000 evaluated; 0 wrong controls; 1222 violate mass constrain.
Sat Jul  6 09:48:31 2013, (1214350000 clock):	14000 evaluated; 0 wrong controls; 1222 violate mass constrain.
Sat Jul  6 09:49:52 2013, (1295340000 clock):	15000 evaluated; 0 wrong controls; 1222 violate mass constrain.
Sat Jul  6 09:51:07 2013, (1369190000 clock):	16000 evaluated; 0 wrong controls; 1625 violate mass constrain.
Sat Jul  6 09:52:27 2013, (1448870000 clock):	17000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 09:53:49 2013, (1530020000 clock):	18000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 09:55:08 2013, (1609270000 clock):	19000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 09:56:29 2013, (1689120000 clock):	20000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 09:57:49 2013, (1768820000 clock):	21000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 09:59:08 2013, (1847910000 clock):	22000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 10:00:28 2013, (1927440000 clock):	23000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 10:01:47 2013, (2005680000 clock):	24000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 10:03:06 2013, (2084380000 clock):	25000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 10:04:19 2013, (2156920000 clock):	26000 evaluated; 0 wrong controls; 2058 violate mass constrain.
Sat Jul  6 10:05:36 2013, (2233330000 clock):	27000 evaluated; 0 wrong controls; 2349 violate mass constrain.
Sat Jul  6 10:06:54 2013, (2311210000 clock):	28000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:08:13 2013, (2389140000 clock):	29000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:09:32 2013, (2467820000 clock):	30000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:10:51 2013, (2546310000 clock):	31000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:12:11 2013, (2626530000 clock):	32000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:13:30 2013, (2704670000 clock):	33000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:14:50 2013, (2784470000 clock):	34000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:16:11 2013, (2864930000 clock):	35000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:17:28 2013, (2940850000 clock):	36000 evaluated; 0 wrong controls; 2677 violate mass constrain.
Sat Jul  6 10:18:47 2013, (3019760000 clock):	37000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:20:07 2013, (3099260000 clock):	38000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:21:26 2013, (3178030000 clock):	39000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:22:46 2013, (3257240000 clock):	40000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:24:05 2013, (3335790000 clock):	41000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:25:24 2013, (3414470000 clock):	42000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:26:45 2013, (3494810000 clock):	43000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:28:03 2013, (3572370000 clock):	44000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:29:22 2013, (3650680000 clock):	45000 evaluated; 0 wrong controls; 2694 violate mass constrain.
Sat Jul  6 10:30:36 2013, (3724670000 clock):	46000 evaluated; 0 wrong controls; 2963 violate mass constrain.
Sat Jul  6 10:31:55 2013, (3803420000 clock):	47000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:33:15 2013, (3882850000 clock):	48000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:34:35 2013, (3962450000 clock):	49000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:35:56 2013, (4042520000 clock):	50000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:37:15 2013, (4120860000 clock):	51000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:38:33 2013, (4198400000 clock):	52000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:39:52 2013, (4276830000 clock):	53000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:41:11 2013, (4355790000 clock):	54000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:42:31 2013, (4434930000 clock):	55000 evaluated; 0 wrong controls; 2970 violate mass constrain.
Sat Jul  6 10:43:47 2013, (4510500000 clock):	56000 evaluated; 0 wrong controls; 3262 violate mass constrain.
Sat Jul  6 10:45:01 2013, (4584900000 clock):	57000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:46:20 2013, (4662810000 clock):	58000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:47:38 2013, (4740490000 clock):	59000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:48:59 2013, (4820700000 clock):	60000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:50:17 2013, (4898610000 clock):	61000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:51:36 2013, (4976860000 clock):	62000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:52:55 2013, (5055450000 clock):	63000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:54:13 2013, (5133040000 clock):	64000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:55:32 2013, (5211580000 clock):	65000 evaluated; 0 wrong controls; 3524 violate mass constrain.
Sat Jul  6 10:56:47 2013, (5286310000 clock):	66000 evaluated; 0 wrong controls; 3756 violate mass constrain.
Sat Jul  6 10:58:02 2013, (5360390000 clock):	67000 evaluated; 0 wrong controls; 4068 violate mass constrain.
Sat Jul  6 10:59:20 2013, (5438750000 clock):	68000 evaluated; 0 wrong controls; 4070 violate mass constrain.
Sat Jul  6 11:00:40 2013, (5518170000 clock):	69000 evaluated; 0 wrong controls; 4070 violate mass constrain.
Sat Jul  6 11:02:02 2013, (5599090000 clock):	70000 evaluated; 0 wrong controls; 4070 violate mass constrain.
Sat Jul  6 11:03:23 2013, (5679890000 clock):	71000 evaluated; 0 wrong controls; 4070 violate mass constrain.
Sat Jul  6 11:04:42 2013, (5758060000 clock):	72000 evaluated; 0 wrong controls; 4070 violate mass constrain.
Sat Jul  6 11:06:03 2013, (5838490000 clock):	73000 evaluated; 0 wrong controls; 4070 violate mass constrain.
Sat Jul  6 11:07:21 2013, (5916880000 clock):	74000 evaluated; 0 wrong controls; 4070 violate mass constrain.
Sat Jul  6 11:08:41 2013, (5996010000 clock):	75000 evaluated; 0 wrong controls; 4070 violate mass constrain.
Sat Jul  6 11:09:59 2013, (6073020000 clock):	76000 evaluated; 0 wrong controls; 4245 violate mass constrain.
Sat Jul  6 11:11:15 2013, (6149490000 clock):	77000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:12:37 2013, (6230330000 clock):	78000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:13:57 2013, (6310440000 clock):	79000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:15:16 2013, (6388580000 clock):	80000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:16:35 2013, (6466960000 clock):	81000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:17:53 2013, (6545190000 clock):	82000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:19:13 2013, (6623950000 clock):	83000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:20:31 2013, (6701980000 clock):	84000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:21:49 2013, (6779490000 clock):	85000 evaluated; 0 wrong controls; 4378 violate mass constrain.
Sat Jul  6 11:23:08 2013, (6858230000 clock):	86000 evaluated; 0 wrong controls; 4511 violate mass constrain.
Sat Jul  6 11:24:24 2013, (6933120000 clock):	87000 evaluated; 0 wrong controls; 4771 violate mass constrain.
Sat Jul  6 11:25:43 2013, (7011750000 clock):	88000 evaluated; 0 wrong controls; 4777 violate mass constrain.
Sat Jul  6 11:27:01 2013, (7089860000 clock):	89000 evaluated; 0 wrong controls; 4777 violate mass constrain.
Sat Jul  6 11:28:22 2013, (7170340000 clock):	90000 evaluated; 0 wrong controls; 4777 violate mass constrain.
Sat Jul  6 11:29:41 2013, (7248960000 clock):	91000 evaluated; 0 wrong controls; 4777 violate mass constrain.
Sat Jul  6 11:31:01 2013, (7328280000 clock):	92000 evaluated; 0 wrong controls; 4777 violate mass constrain.
Sat Jul  6 11:32:20 2013, (7406670000 clock):	93000 evaluated; 0 wrong controls; 4777 violate mass constrain.
Sat Jul  6 11:33:39 2013, (7485180000 clock):	94000 evaluated; 0 wrong controls; 4777 violate mass constrain.
Sat Jul  6 11:34:58 2013, (7563460000 clock):	95000 evaluated; 0 wrong controls; 4777 violate mass constrain.
Sat Jul  6 11:36:17 2013, (7641780000 clock):	96000 evaluated; 0 wrong controls; 4859 violate mass constrain.
Sat Jul  6 11:37:30 2013, (7715060000 clock):	97000 evaluated; 0 wrong controls; 5197 violate mass constrain.
Sat Jul  6 11:38:50 2013, (7793770000 clock):	98000 evaluated; 0 wrong controls; 5235 violate mass constrain.
Sat Jul  6 11:40:09 2013, (7872850000 clock):	99000 evaluated; 0 wrong controls; 5235 violate mass constrain.
Sat Jul  6 11:41:29 2013, (7951770000 clock):	100000 evaluated; 0 wrong controls; 5235 violate mass constrain.
Sat Jul  6 11:42:48 2013, (8030590000 clock):	101000 evaluated; 0 wrong controls; 5235 violate mass constrain.
Sat Jul  6 11:44:06 2013, (8108260000 clock):	102000 evaluated; 0 wrong controls; 5235 violate mass constrain.
Sat Jul  6 11:45:27 2013, (8188470000 clock):	103000 evaluated; 0 wrong controls; 5235 violate mass constrain.
Sat Jul  6 11:46:46 2013, (8267140000 clock):	104000 evaluated; 0 wrong controls; 5235 violate mass constrain.
Sat Jul  6 11:48:05 2013, (8345680000 clock):	105000 evaluated; 0 wrong controls; 5235 violate mass constrain.
Sat Jul  6 11:49:27 2013, (8427670000 clock):	106000 evaluated; 0 wrong controls; 5254 violate mass constrain.
