Sat Jul  6 09:28:11 2013, (0 clock):	Start log file
Sat Jul  6 09:28:11 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:11 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 09:29:41 2013, (89130000 clock):	1000 evaluated; 0 wrong controls; 370 violate mass constrain.
Sat Jul  6 09:31:11 2013, (178110000 clock):	2000 evaluated; 0 wrong controls; 508 violate mass constrain.
Sat Jul  6 09:32:43 2013, (270000000 clock):	3000 evaluated; 0 wrong controls; 596 violate mass constrain.
Sat Jul  6 09:34:17 2013, (362750000 clock):	4000 evaluated; 0 wrong controls; 626 violate mass constrain.
Sat Jul  6 09:35:52 2013, (457850000 clock):	5000 evaluated; 0 wrong controls; 626 violate mass constrain.
Sat Jul  6 09:37:15 2013, (539670000 clock):	6000 evaluated; 0 wrong controls; 1096 violate mass constrain.
Sat Jul  6 09:38:43 2013, (627890000 clock):	7000 evaluated; 0 wrong controls; 1254 violate mass constrain.
Sat Jul  6 09:40:10 2013, (714230000 clock):	8000 evaluated; 0 wrong controls; 1264 violate mass constrain.
Sat Jul  6 09:41:36 2013, (799200000 clock):	9000 evaluated; 0 wrong controls; 1287 violate mass constrain.
Sat Jul  6 09:42:59 2013, (882190000 clock):	10000 evaluated; 0 wrong controls; 1298 violate mass constrain.
Sat Jul  6 09:44:21 2013, (963070000 clock):	11000 evaluated; 0 wrong controls; 1307 violate mass constrain.
Sat Jul  6 09:45:43 2013, (1045310000 clock):	12000 evaluated; 0 wrong controls; 1315 violate mass constrain.
Sat Jul  6 09:47:05 2013, (1126720000 clock):	13000 evaluated; 0 wrong controls; 1319 violate mass constrain.
Sat Jul  6 09:48:28 2013, (1209090000 clock):	14000 evaluated; 0 wrong controls; 1326 violate mass constrain.
Sat Jul  6 09:49:51 2013, (1290860000 clock):	15000 evaluated; 0 wrong controls; 1341 violate mass constrain.
Sat Jul  6 09:51:07 2013, (1366980000 clock):	16000 evaluated; 0 wrong controls; 1666 violate mass constrain.
Sat Jul  6 09:52:28 2013, (1447330000 clock):	17000 evaluated; 0 wrong controls; 1666 violate mass constrain.
Sat Jul  6 09:53:48 2013, (1527160000 clock):	18000 evaluated; 0 wrong controls; 1666 violate mass constrain.
Sat Jul  6 09:55:09 2013, (1607090000 clock):	19000 evaluated; 0 wrong controls; 1671 violate mass constrain.
Sat Jul  6 09:56:29 2013, (1686360000 clock):	20000 evaluated; 0 wrong controls; 1682 violate mass constrain.
Sat Jul  6 09:57:47 2013, (1763890000 clock):	21000 evaluated; 0 wrong controls; 1715 violate mass constrain.
Sat Jul  6 09:59:06 2013, (1843230000 clock):	22000 evaluated; 0 wrong controls; 1748 violate mass constrain.
Sat Jul  6 10:00:26 2013, (1922120000 clock):	23000 evaluated; 0 wrong controls; 1807 violate mass constrain.
Sat Jul  6 10:01:44 2013, (1999880000 clock):	24000 evaluated; 0 wrong controls; 1876 violate mass constrain.
Sat Jul  6 10:03:03 2013, (2078330000 clock):	25000 evaluated; 0 wrong controls; 1961 violate mass constrain.
Sat Jul  6 10:04:16 2013, (2150450000 clock):	26000 evaluated; 0 wrong controls; 2375 violate mass constrain.
Sat Jul  6 10:05:32 2013, (2226730000 clock):	27000 evaluated; 0 wrong controls; 2578 violate mass constrain.
Sat Jul  6 10:06:53 2013, (2306690000 clock):	28000 evaluated; 0 wrong controls; 2582 violate mass constrain.
Sat Jul  6 10:08:11 2013, (2384800000 clock):	29000 evaluated; 0 wrong controls; 2583 violate mass constrain.
Sat Jul  6 10:09:31 2013, (2463510000 clock):	30000 evaluated; 0 wrong controls; 2583 violate mass constrain.
Sat Jul  6 10:10:50 2013, (2542650000 clock):	31000 evaluated; 0 wrong controls; 2583 violate mass constrain.
Sat Jul  6 10:12:12 2013, (2624400000 clock):	32000 evaluated; 0 wrong controls; 2583 violate mass constrain.
Sat Jul  6 10:13:33 2013, (2704300000 clock):	33000 evaluated; 0 wrong controls; 2583 violate mass constrain.
Sat Jul  6 10:14:53 2013, (2784280000 clock):	34000 evaluated; 0 wrong controls; 2583 violate mass constrain.
Sat Jul  6 10:16:13 2013, (2863100000 clock):	35000 evaluated; 0 wrong controls; 2584 violate mass constrain.
Sat Jul  6 10:17:28 2013, (2938000000 clock):	36000 evaluated; 0 wrong controls; 2939 violate mass constrain.
Sat Jul  6 10:18:44 2013, (3013470000 clock):	37000 evaluated; 0 wrong controls; 3247 violate mass constrain.
Sat Jul  6 10:20:02 2013, (3091370000 clock):	38000 evaluated; 0 wrong controls; 3276 violate mass constrain.
Sat Jul  6 10:21:23 2013, (3171940000 clock):	39000 evaluated; 0 wrong controls; 3276 violate mass constrain.
Sat Jul  6 10:22:44 2013, (3252380000 clock):	40000 evaluated; 0 wrong controls; 3276 violate mass constrain.
Sat Jul  6 10:24:02 2013, (3329840000 clock):	41000 evaluated; 0 wrong controls; 3276 violate mass constrain.
Sat Jul  6 10:25:21 2013, (3408280000 clock):	42000 evaluated; 0 wrong controls; 3278 violate mass constrain.
Sat Jul  6 10:26:41 2013, (3487060000 clock):	43000 evaluated; 0 wrong controls; 3279 violate mass constrain.
Sat Jul  6 10:27:59 2013, (3565330000 clock):	44000 evaluated; 0 wrong controls; 3281 violate mass constrain.
Sat Jul  6 10:29:17 2013, (3643040000 clock):	45000 evaluated; 0 wrong controls; 3284 violate mass constrain.
Sat Jul  6 10:30:31 2013, (3716550000 clock):	46000 evaluated; 0 wrong controls; 3593 violate mass constrain.
Sat Jul  6 10:31:47 2013, (3791360000 clock):	47000 evaluated; 0 wrong controls; 3812 violate mass constrain.
Sat Jul  6 10:33:04 2013, (3868350000 clock):	48000 evaluated; 0 wrong controls; 3852 violate mass constrain.
Sat Jul  6 10:34:23 2013, (3946970000 clock):	49000 evaluated; 0 wrong controls; 3853 violate mass constrain.
Sat Jul  6 10:35:43 2013, (4026490000 clock):	50000 evaluated; 0 wrong controls; 3853 violate mass constrain.
Sat Jul  6 10:37:02 2013, (4105070000 clock):	51000 evaluated; 0 wrong controls; 3853 violate mass constrain.
Sat Jul  6 10:38:21 2013, (4182860000 clock):	52000 evaluated; 0 wrong controls; 3853 violate mass constrain.
Sat Jul  6 10:39:41 2013, (4262740000 clock):	53000 evaluated; 0 wrong controls; 3853 violate mass constrain.
Sat Jul  6 10:40:59 2013, (4340800000 clock):	54000 evaluated; 0 wrong controls; 3853 violate mass constrain.
Sat Jul  6 10:42:20 2013, (4420270000 clock):	55000 evaluated; 0 wrong controls; 3853 violate mass constrain.
Sat Jul  6 10:43:35 2013, (4495520000 clock):	56000 evaluated; 0 wrong controls; 4112 violate mass constrain.
Sat Jul  6 10:44:52 2013, (4572090000 clock):	57000 evaluated; 0 wrong controls; 4377 violate mass constrain.
Sat Jul  6 10:46:11 2013, (4650230000 clock):	58000 evaluated; 0 wrong controls; 4402 violate mass constrain.
Sat Jul  6 10:47:31 2013, (4729720000 clock):	59000 evaluated; 0 wrong controls; 4402 violate mass constrain.
Sat Jul  6 10:48:51 2013, (4809590000 clock):	60000 evaluated; 0 wrong controls; 4402 violate mass constrain.
Sat Jul  6 10:50:10 2013, (4887640000 clock):	61000 evaluated; 0 wrong controls; 4402 violate mass constrain.
Sat Jul  6 10:51:29 2013, (4966330000 clock):	62000 evaluated; 0 wrong controls; 4406 violate mass constrain.
Sat Jul  6 10:52:52 2013, (5048220000 clock):	63000 evaluated; 0 wrong controls; 4410 violate mass constrain.
Sat Jul  6 10:54:11 2013, (5127370000 clock):	64000 evaluated; 0 wrong controls; 4416 violate mass constrain.
Sat Jul  6 10:55:31 2013, (5207050000 clock):	65000 evaluated; 0 wrong controls; 4420 violate mass constrain.
Sat Jul  6 10:56:47 2013, (5282380000 clock):	66000 evaluated; 0 wrong controls; 4647 violate mass constrain.
Sat Jul  6 10:58:03 2013, (5358140000 clock):	67000 evaluated; 0 wrong controls; 4853 violate mass constrain.
Sat Jul  6 10:59:23 2013, (5437710000 clock):	68000 evaluated; 0 wrong controls; 4854 violate mass constrain.
Sat Jul  6 11:00:44 2013, (5517720000 clock):	69000 evaluated; 0 wrong controls; 4855 violate mass constrain.
Sat Jul  6 11:02:05 2013, (5598120000 clock):	70000 evaluated; 0 wrong controls; 4856 violate mass constrain.
Sat Jul  6 11:03:26 2013, (5678470000 clock):	71000 evaluated; 0 wrong controls; 4857 violate mass constrain.
Sat Jul  6 11:04:46 2013, (5757980000 clock):	72000 evaluated; 0 wrong controls; 4858 violate mass constrain.
Sat Jul  6 11:06:06 2013, (5838150000 clock):	73000 evaluated; 0 wrong controls; 4858 violate mass constrain.
Sat Jul  6 11:07:26 2013, (5917480000 clock):	74000 evaluated; 0 wrong controls; 4859 violate mass constrain.
Sat Jul  6 11:08:45 2013, (5995760000 clock):	75000 evaluated; 0 wrong controls; 4859 violate mass constrain.
Sat Jul  6 11:10:02 2013, (6071960000 clock):	76000 evaluated; 0 wrong controls; 5039 violate mass constrain.
Sat Jul  6 11:11:16 2013, (6146210000 clock):	77000 evaluated; 0 wrong controls; 5368 violate mass constrain.
Sat Jul  6 11:12:35 2013, (6224680000 clock):	78000 evaluated; 0 wrong controls; 5415 violate mass constrain.
Sat Jul  6 11:13:53 2013, (6302430000 clock):	79000 evaluated; 0 wrong controls; 5415 violate mass constrain.
Sat Jul  6 11:15:12 2013, (6380700000 clock):	80000 evaluated; 0 wrong controls; 5415 violate mass constrain.
Sat Jul  6 11:16:31 2013, (6459300000 clock):	81000 evaluated; 0 wrong controls; 5415 violate mass constrain.
Sat Jul  6 11:17:50 2013, (6537830000 clock):	82000 evaluated; 0 wrong controls; 5415 violate mass constrain.
Sat Jul  6 11:19:10 2013, (6616680000 clock):	83000 evaluated; 0 wrong controls; 5415 violate mass constrain.
Sat Jul  6 11:20:30 2013, (6696130000 clock):	84000 evaluated; 0 wrong controls; 5415 violate mass constrain.
Sat Jul  6 11:21:48 2013, (6774240000 clock):	85000 evaluated; 0 wrong controls; 5415 violate mass constrain.
Sat Jul  6 11:23:06 2013, (6851990000 clock):	86000 evaluated; 0 wrong controls; 5558 violate mass constrain.
