Sat Jul  6 09:28:06 2013, (0 clock):	Start log file
Sat Jul  6 09:28:06 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:06 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:06 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 09:29:36 2013, (89550000 clock):	1000 evaluated; 0 wrong controls; 339 violate mass constrain.
Sat Jul  6 09:31:08 2013, (179650000 clock):	2000 evaluated; 0 wrong controls; 475 violate mass constrain.
Sat Jul  6 09:32:44 2013, (275680000 clock):	3000 evaluated; 0 wrong controls; 486 violate mass constrain.
Sat Jul  6 09:34:20 2013, (370770000 clock):	4000 evaluated; 0 wrong controls; 486 violate mass constrain.
Sat Jul  6 09:36:02 2013, (471850000 clock):	5000 evaluated; 0 wrong controls; 486 violate mass constrain.
Sat Jul  6 09:37:23 2013, (552850000 clock):	6000 evaluated; 0 wrong controls; 941 violate mass constrain.
Sat Jul  6 09:38:49 2013, (638460000 clock):	7000 evaluated; 0 wrong controls; 1157 violate mass constrain.
Sat Jul  6 09:40:20 2013, (728180000 clock):	8000 evaluated; 0 wrong controls; 1179 violate mass constrain.
Sat Jul  6 09:41:48 2013, (816380000 clock):	9000 evaluated; 0 wrong controls; 1204 violate mass constrain.
Sat Jul  6 09:43:17 2013, (904820000 clock):	10000 evaluated; 0 wrong controls; 1217 violate mass constrain.
Sat Jul  6 09:44:41 2013, (988310000 clock):	11000 evaluated; 0 wrong controls; 1218 violate mass constrain.
