Sat Jul  6 09:28:11 2013, (0 clock):	Start log file
Sat Jul  6 09:28:11 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:11 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 10:34:34 2013, (3956900000 clock):	49000 evaluated; 0 wrong controls; 3543 violate mass constrain.
Sat Jul  6 10:35:52 2013, (4034720000 clock):	50000 evaluated; 0 wrong controls; 3543 violate mass constrain.
Sat Jul  6 10:37:13 2013, (4115210000 clock):	51000 evaluated; 0 wrong controls; 3543 violate mass constrain.
Sat Jul  6 10:38:31 2013, (4192580000 clock):	52000 evaluated; 0 wrong controls; 3543 violate mass constrain.
Sat Jul  6 10:39:52 2013, (4273240000 clock):	53000 evaluated; 0 wrong controls; 3543 violate mass constrain.
Sat Jul  6 10:41:13 2013, (4353530000 clock):	54000 evaluated; 0 wrong controls; 3543 violate mass constrain.
Sat Jul  6 10:42:33 2013, (4432600000 clock):	55000 evaluated; 0 wrong controls; 3543 violate mass constrain.
Sat Jul  6 10:43:49 2013, (4508580000 clock):	56000 evaluated; 0 wrong controls; 3811 violate mass constrain.
Sat Jul  6 10:45:04 2013, (4582450000 clock):	57000 evaluated; 0 wrong controls; 4080 violate mass constrain.
Sat Jul  6 10:46:23 2013, (4660920000 clock):	58000 evaluated; 0 wrong controls; 4089 violate mass constrain.
Sat Jul  6 10:47:42 2013, (4739910000 clock):	59000 evaluated; 0 wrong controls; 4089 violate mass constrain.
Sat Jul  6 10:49:03 2013, (4819970000 clock):	60000 evaluated; 0 wrong controls; 4089 violate mass constrain.
Sat Jul  6 10:50:20 2013, (4896940000 clock):	61000 evaluated; 0 wrong controls; 4089 violate mass constrain.
Sat Jul  6 10:51:38 2013, (4974800000 clock):	62000 evaluated; 0 wrong controls; 4089 violate mass constrain.
Sat Jul  6 10:53:01 2013, (5056650000 clock):	63000 evaluated; 0 wrong controls; 4089 violate mass constrain.
Sat Jul  6 10:54:21 2013, (5136160000 clock):	64000 evaluated; 0 wrong controls; 4089 violate mass constrain.
Sat Jul  6 10:55:40 2013, (5215110000 clock):	65000 evaluated; 0 wrong controls; 4089 violate mass constrain.
Sat Jul  6 10:56:56 2013, (5290770000 clock):	66000 evaluated; 0 wrong controls; 4326 violate mass constrain.
Sat Jul  6 10:58:10 2013, (5363870000 clock):	67000 evaluated; 0 wrong controls; 4616 violate mass constrain.
Sat Jul  6 10:59:29 2013, (5442110000 clock):	68000 evaluated; 0 wrong controls; 4626 violate mass constrain.
Sat Jul  6 11:00:50 2013, (5522610000 clock):	69000 evaluated; 0 wrong controls; 4626 violate mass constrain.
Sat Jul  6 11:02:10 2013, (5602190000 clock):	70000 evaluated; 0 wrong controls; 4626 violate mass constrain.
Sat Jul  6 11:03:29 2013, (5680660000 clock):	71000 evaluated; 0 wrong controls; 4626 violate mass constrain.
