Sat Jul  6 09:28:04 2013, (0 clock):	Start log file
Sat Jul  6 09:28:04 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:04 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:04 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 09:29:29 2013, (83280000 clock):	1000 evaluated; 0 wrong controls; 373 violate mass constrain.
Sat Jul  6 09:30:55 2013, (168080000 clock):	2000 evaluated; 0 wrong controls; 545 violate mass constrain.
Sat Jul  6 09:32:36 2013, (268300000 clock):	3000 evaluated; 0 wrong controls; 566 violate mass constrain.
Sat Jul  6 09:34:11 2013, (362750000 clock):	4000 evaluated; 0 wrong controls; 566 violate mass constrain.
Sat Jul  6 09:35:51 2013, (462430000 clock):	5000 evaluated; 0 wrong controls; 566 violate mass constrain.
Sat Jul  6 09:37:16 2013, (546700000 clock):	6000 evaluated; 0 wrong controls; 982 violate mass constrain.
Sat Jul  6 09:38:46 2013, (636000000 clock):	7000 evaluated; 0 wrong controls; 1081 violate mass constrain.
Sat Jul  6 09:40:15 2013, (724240000 clock):	8000 evaluated; 0 wrong controls; 1081 violate mass constrain.
Sat Jul  6 09:41:44 2013, (813200000 clock):	9000 evaluated; 0 wrong controls; 1081 violate mass constrain.
Sat Jul  6 09:43:14 2013, (902610000 clock):	10000 evaluated; 0 wrong controls; 1082 violate mass constrain.
Sat Jul  6 09:44:37 2013, (984990000 clock):	11000 evaluated; 0 wrong controls; 1086 violate mass constrain.
Sat Jul  6 09:46:00 2013, (1067560000 clock):	12000 evaluated; 0 wrong controls; 1094 violate mass constrain.
