Sat Jul  6 09:28:10 2013, (0 clock):	Start log file
Sat Jul  6 09:28:10 2013, (0 clock):	Parameters loaded.
Sat Jul  6 09:28:10 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
interpolator:
  parameters:
    - 3
    - 4
  type: IDW-CONTROLS
Sat Jul  6 09:28:10 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 0, 
Sat Jul  6 09:29:47 2013, (96130000 clock):	1000 evaluated; 0 wrong controls; 287 violate mass constrain.
Sat Jul  6 09:31:19 2013, (187140000 clock):	2000 evaluated; 0 wrong controls; 394 violate mass constrain.
Sat Jul  6 09:32:50 2013, (277940000 clock):	3000 evaluated; 0 wrong controls; 505 violate mass constrain.
Sat Jul  6 09:34:27 2013, (373660000 clock):	4000 evaluated; 0 wrong controls; 528 violate mass constrain.
Sat Jul  6 09:36:02 2013, (468440000 clock):	5000 evaluated; 0 wrong controls; 528 violate mass constrain.
Sat Jul  6 09:37:25 2013, (550840000 clock):	6000 evaluated; 0 wrong controls; 998 violate mass constrain.
Sat Jul  6 09:38:52 2013, (636800000 clock):	7000 evaluated; 0 wrong controls; 1167 violate mass constrain.
Sat Jul  6 09:40:20 2013, (724910000 clock):	8000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Sat Jul  6 09:41:50 2013, (813750000 clock):	9000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Sat Jul  6 09:43:19 2013, (902160000 clock):	10000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Sat Jul  6 09:44:43 2013, (985620000 clock):	11000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Sat Jul  6 09:46:06 2013, (1068690000 clock):	12000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Sat Jul  6 09:47:31 2013, (1153130000 clock):	13000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Sat Jul  6 09:48:56 2013, (1237160000 clock):	14000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Sat Jul  6 09:50:21 2013, (1321550000 clock):	15000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Sat Jul  6 09:51:37 2013, (1397540000 clock):	16000 evaluated; 0 wrong controls; 1562 violate mass constrain.
Sat Jul  6 09:53:00 2013, (1480120000 clock):	17000 evaluated; 0 wrong controls; 1621 violate mass constrain.
Sat Jul  6 09:54:20 2013, (1559630000 clock):	18000 evaluated; 0 wrong controls; 1621 violate mass constrain.
Sat Jul  6 09:55:40 2013, (1639330000 clock):	19000 evaluated; 0 wrong controls; 1621 violate mass constrain.
Sat Jul  6 09:57:02 2013, (1720220000 clock):	20000 evaluated; 0 wrong controls; 1621 violate mass constrain.
Sat Jul  6 09:58:21 2013, (1798710000 clock):	21000 evaluated; 0 wrong controls; 1621 violate mass constrain.
Sat Jul  6 09:59:42 2013, (1880010000 clock):	22000 evaluated; 0 wrong controls; 1621 violate mass constrain.
Sat Jul  6 10:01:02 2013, (1959110000 clock):	23000 evaluated; 0 wrong controls; 1621 violate mass constrain.
Sat Jul  6 10:02:23 2013, (2039340000 clock):	24000 evaluated; 0 wrong controls; 1621 violate mass constrain.
