Tue Jul 16 13:13:14 2013, (0 clock):	Start log file
Tue Jul 16 13:13:14 2013, (0 clock):	Parameters loaded.
Tue Jul 16 13:13:14 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EEE
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  parameters:
    - 5
    - 4
  type: IDW-CONTROLS
Tue Jul 16 13:13:14 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EEE = 2.64933e-05, 
Tue Jul 16 13:13:47 2013, (32140000 clock):	1000 evaluated; 0 wrong controls; 623 violate mass constrain.
Tue Jul 16 13:14:19 2013, (63400000 clock):	2000 evaluated; 0 wrong controls; 1154 violate mass constrain.
Tue Jul 16 13:14:49 2013, (93020000 clock):	3000 evaluated; 0 wrong controls; 1688 violate mass constrain.
Tue Jul 16 13:15:19 2013, (123010000 clock):	4000 evaluated; 0 wrong controls; 2176 violate mass constrain.
Tue Jul 16 13:15:50 2013, (153340000 clock):	5000 evaluated; 0 wrong controls; 2652 violate mass constrain.
Tue Jul 16 13:16:16 2013, (179670000 clock):	6000 evaluated; 0 wrong controls; 3394 violate mass constrain.
Tue Jul 16 13:16:44 2013, (207210000 clock):	7000 evaluated; 0 wrong controls; 4033 violate mass constrain.
Tue Jul 16 13:17:14 2013, (236780000 clock):	8000 evaluated; 0 wrong controls; 4646 violate mass constrain.
Tue Jul 16 13:17:43 2013, (265600000 clock):	9000 evaluated; 0 wrong controls; 5246 violate mass constrain.
Tue Jul 16 13:18:13 2013, (294960000 clock):	10000 evaluated; 0 wrong controls; 5810 violate mass constrain.
Tue Jul 16 13:18:44 2013, (325270000 clock):	11000 evaluated; 0 wrong controls; 6358 violate mass constrain.
Tue Jul 16 13:19:14 2013, (355050000 clock):	12000 evaluated; 0 wrong controls; 6889 violate mass constrain.
