Tue Jul 16 13:13:10 2013, (0 clock):	Start log file
Tue Jul 16 13:13:10 2013, (0 clock):	Parameters loaded.
Tue Jul 16 13:13:10 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EEE
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  parameters:
    - 5
    - 4
  type: IDW-CONTROLS
Tue Jul 16 13:13:10 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EEE = 2.64933e-05, 
Tue Jul 16 13:13:43 2013, (31410000 clock):	1000 evaluated; 0 wrong controls; 607 violate mass constrain.
Tue Jul 16 13:14:13 2013, (61640000 clock):	2000 evaluated; 0 wrong controls; 1182 violate mass constrain.
Tue Jul 16 13:14:42 2013, (90420000 clock):	3000 evaluated; 0 wrong controls; 1740 violate mass constrain.
Tue Jul 16 13:15:12 2013, (119620000 clock):	4000 evaluated; 0 wrong controls; 2265 violate mass constrain.
Tue Jul 16 13:15:42 2013, (149870000 clock):	5000 evaluated; 0 wrong controls; 2747 violate mass constrain.
Tue Jul 16 13:16:09 2013, (176230000 clock):	6000 evaluated; 0 wrong controls; 3478 violate mass constrain.
Tue Jul 16 13:16:37 2013, (203970000 clock):	7000 evaluated; 0 wrong controls; 4130 violate mass constrain.
Tue Jul 16 13:17:06 2013, (232350000 clock):	8000 evaluated; 0 wrong controls; 4731 violate mass constrain.
Tue Jul 16 13:17:36 2013, (262090000 clock):	9000 evaluated; 0 wrong controls; 5320 violate mass constrain.
Tue Jul 16 13:18:06 2013, (291450000 clock):	10000 evaluated; 0 wrong controls; 5860 violate mass constrain.
Tue Jul 16 13:18:34 2013, (319390000 clock):	11000 evaluated; 0 wrong controls; 6400 violate mass constrain.
Tue Jul 16 13:19:04 2013, (348240000 clock):	12000 evaluated; 0 wrong controls; 6919 violate mass constrain.
Tue Jul 16 13:19:35 2013, (378510000 clock):	13000 evaluated; 0 wrong controls; 7393 violate mass constrain.
Tue Jul 16 13:20:04 2013, (407560000 clock):	14000 evaluated; 0 wrong controls; 7890 violate mass constrain.
Tue Jul 16 13:20:35 2013, (438340000 clock):	15000 evaluated; 0 wrong controls; 8368 violate mass constrain.
Tue Jul 16 13:21:06 2013, (468430000 clock):	16000 evaluated; 0 wrong controls; 8825 violate mass constrain.
Tue Jul 16 13:21:36 2013, (497960000 clock):	17000 evaluated; 0 wrong controls; 9315 violate mass constrain.
Tue Jul 16 13:22:05 2013, (526740000 clock):	18000 evaluated; 0 wrong controls; 9802 violate mass constrain.
Tue Jul 16 13:22:35 2013, (555780000 clock):	19000 evaluated; 0 wrong controls; 10272 violate mass constrain.
Tue Jul 16 13:23:04 2013, (585340000 clock):	20000 evaluated; 0 wrong controls; 10770 violate mass constrain.
Tue Jul 16 13:23:35 2013, (615290000 clock):	21000 evaluated; 0 wrong controls; 11249 violate mass constrain.
Tue Jul 16 13:24:05 2013, (644670000 clock):	22000 evaluated; 0 wrong controls; 11717 violate mass constrain.
Tue Jul 16 13:24:34 2013, (673880000 clock):	23000 evaluated; 0 wrong controls; 12187 violate mass constrain.
Tue Jul 16 13:25:05 2013, (703870000 clock):	24000 evaluated; 0 wrong controls; 12631 violate mass constrain.
Tue Jul 16 13:25:35 2013, (733350000 clock):	25000 evaluated; 0 wrong controls; 13064 violate mass constrain.
Tue Jul 16 13:26:06 2013, (763230000 clock):	26000 evaluated; 0 wrong controls; 13511 violate mass constrain.
Tue Jul 16 13:26:35 2013, (792370000 clock):	27000 evaluated; 0 wrong controls; 13971 violate mass constrain.
Tue Jul 16 13:27:06 2013, (822470000 clock):	28000 evaluated; 0 wrong controls; 14401 violate mass constrain.
Tue Jul 16 13:27:36 2013, (851610000 clock):	29000 evaluated; 0 wrong controls; 14878 violate mass constrain.
Tue Jul 16 13:28:06 2013, (881830000 clock):	30000 evaluated; 0 wrong controls; 15333 violate mass constrain.
