Tue Jul 16 13:13:11 2013, (0 clock):	Start log file
Tue Jul 16 13:13:11 2013, (0 clock):	Parameters loaded.
Tue Jul 16 13:13:11 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EEE
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  parameters:
    - 5
    - 4
  type: IDW-CONTROLS
Tue Jul 16 13:13:11 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EEE = 2.64933e-05, 
Tue Jul 16 13:13:45 2013, (32570000 clock):	1000 evaluated; 0 wrong controls; 595 violate mass constrain.
Tue Jul 16 13:14:16 2013, (63020000 clock):	2000 evaluated; 0 wrong controls; 1170 violate mass constrain.
Tue Jul 16 13:14:45 2013, (92030000 clock):	3000 evaluated; 0 wrong controls; 1745 violate mass constrain.
Tue Jul 16 13:15:15 2013, (121660000 clock):	4000 evaluated; 0 wrong controls; 2299 violate mass constrain.
Tue Jul 16 13:15:45 2013, (151430000 clock):	5000 evaluated; 0 wrong controls; 2827 violate mass constrain.
Tue Jul 16 13:16:12 2013, (178480000 clock):	6000 evaluated; 0 wrong controls; 3538 violate mass constrain.
Tue Jul 16 13:16:42 2013, (207310000 clock):	7000 evaluated; 0 wrong controls; 4149 violate mass constrain.
Tue Jul 16 13:17:11 2013, (236870000 clock):	8000 evaluated; 0 wrong controls; 4732 violate mass constrain.
Tue Jul 16 13:17:41 2013, (266130000 clock):	9000 evaluated; 0 wrong controls; 5296 violate mass constrain.
Tue Jul 16 13:18:11 2013, (295370000 clock):	10000 evaluated; 0 wrong controls; 5836 violate mass constrain.
Tue Jul 16 13:18:40 2013, (324450000 clock):	11000 evaluated; 0 wrong controls; 6383 violate mass constrain.
Tue Jul 16 13:19:10 2013, (353590000 clock):	12000 evaluated; 0 wrong controls; 6916 violate mass constrain.
Tue Jul 16 13:19:40 2013, (382660000 clock):	13000 evaluated; 0 wrong controls; 7466 violate mass constrain.
Tue Jul 16 13:20:09 2013, (411730000 clock):	14000 evaluated; 0 wrong controls; 8007 violate mass constrain.
Tue Jul 16 13:20:39 2013, (441110000 clock):	15000 evaluated; 0 wrong controls; 8544 violate mass constrain.
Tue Jul 16 13:21:07 2013, (469260000 clock):	16000 evaluated; 0 wrong controls; 9098 violate mass constrain.
Tue Jul 16 13:21:37 2013, (498710000 clock):	17000 evaluated; 0 wrong controls; 9636 violate mass constrain.
Tue Jul 16 13:22:07 2013, (528190000 clock):	18000 evaluated; 0 wrong controls; 10141 violate mass constrain.
Tue Jul 16 13:22:37 2013, (557470000 clock):	19000 evaluated; 0 wrong controls; 10648 violate mass constrain.
Tue Jul 16 13:23:08 2013, (588250000 clock):	20000 evaluated; 0 wrong controls; 11163 violate mass constrain.
