Tue Jul 16 13:13:13 2013, (0 clock):	Start log file
Tue Jul 16 13:13:13 2013, (0 clock):	Parameters loaded.
Tue Jul 16 13:13:13 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EEE
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  parameters:
    - 5
    - 4
  type: IDW-CONTROLS
Tue Jul 16 13:13:13 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EEE = 2.64933e-05, 
Tue Jul 16 13:13:43 2013, (29310000 clock):	1000 evaluated; 0 wrong controls; 650 violate mass constrain.
Tue Jul 16 13:14:14 2013, (59440000 clock):	2000 evaluated; 0 wrong controls; 1202 violate mass constrain.
Tue Jul 16 13:14:44 2013, (89220000 clock):	3000 evaluated; 0 wrong controls; 1727 violate mass constrain.
Tue Jul 16 13:15:15 2013, (119740000 clock):	4000 evaluated; 0 wrong controls; 2211 violate mass constrain.
Tue Jul 16 13:15:45 2013, (149680000 clock):	5000 evaluated; 0 wrong controls; 2713 violate mass constrain.
Tue Jul 16 13:16:12 2013, (176550000 clock):	6000 evaluated; 0 wrong controls; 3416 violate mass constrain.
Tue Jul 16 13:16:41 2013, (205220000 clock):	7000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Tue Jul 16 13:17:11 2013, (234080000 clock):	8000 evaluated; 0 wrong controls; 4601 violate mass constrain.
Tue Jul 16 13:17:41 2013, (264070000 clock):	9000 evaluated; 0 wrong controls; 5135 violate mass constrain.
Tue Jul 16 13:18:11 2013, (293390000 clock):	10000 evaluated; 0 wrong controls; 5675 violate mass constrain.
Tue Jul 16 13:18:41 2013, (322830000 clock):	11000 evaluated; 0 wrong controls; 6188 violate mass constrain.
Tue Jul 16 13:19:11 2013, (352530000 clock):	12000 evaluated; 0 wrong controls; 6669 violate mass constrain.
Tue Jul 16 13:19:41 2013, (381840000 clock):	13000 evaluated; 0 wrong controls; 7153 violate mass constrain.
Tue Jul 16 13:20:11 2013, (411160000 clock):	14000 evaluated; 0 wrong controls; 7647 violate mass constrain.
Tue Jul 16 13:20:41 2013, (441600000 clock):	15000 evaluated; 0 wrong controls; 8137 violate mass constrain.
Tue Jul 16 13:21:13 2013, (472130000 clock):	16000 evaluated; 0 wrong controls; 8599 violate mass constrain.
Tue Jul 16 13:21:42 2013, (500950000 clock):	17000 evaluated; 0 wrong controls; 9087 violate mass constrain.
