Tue Jul 16 13:13:07 2013, (0 clock):	Start log file
Tue Jul 16 13:13:07 2013, (0 clock):	Parameters loaded.
Tue Jul 16 13:13:07 2013, (0 clock):	controls:
  bounds:
    - 200
    - -200
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    width: 1000
    area: 1
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EEE
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.01
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
interpolator:
  parameters:
    - 5
    - 4
  type: IDW-CONTROLS
Tue Jul 16 13:13:07 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, EEL = 1.65583e+06, EEE = 2.64933e-05, 
Tue Jul 16 13:13:38 2013, (29550000 clock):	1000 evaluated; 0 wrong controls; 626 violate mass constrain.
Tue Jul 16 13:14:09 2013, (60080000 clock):	2000 evaluated; 0 wrong controls; 1195 violate mass constrain.
Tue Jul 16 13:14:39 2013, (90130000 clock):	3000 evaluated; 0 wrong controls; 1710 violate mass constrain.
Tue Jul 16 13:15:10 2013, (120860000 clock):	4000 evaluated; 0 wrong controls; 2201 violate mass constrain.
Tue Jul 16 13:15:41 2013, (151190000 clock):	5000 evaluated; 0 wrong controls; 2681 violate mass constrain.
Tue Jul 16 13:16:08 2013, (178190000 clock):	6000 evaluated; 0 wrong controls; 3391 violate mass constrain.
Tue Jul 16 13:16:37 2013, (206960000 clock):	7000 evaluated; 0 wrong controls; 4017 violate mass constrain.
Tue Jul 16 13:17:06 2013, (235190000 clock):	8000 evaluated; 0 wrong controls; 4619 violate mass constrain.
Tue Jul 16 13:17:37 2013, (265760000 clock):	9000 evaluated; 0 wrong controls; 5162 violate mass constrain.
Tue Jul 16 13:18:06 2013, (294510000 clock):	10000 evaluated; 0 wrong controls; 5747 violate mass constrain.
Tue Jul 16 13:18:36 2013, (323640000 clock):	11000 evaluated; 0 wrong controls; 6288 violate mass constrain.
Tue Jul 16 13:19:05 2013, (352660000 clock):	12000 evaluated; 0 wrong controls; 6830 violate mass constrain.
Tue Jul 16 13:19:35 2013, (382080000 clock):	13000 evaluated; 0 wrong controls; 7345 violate mass constrain.
Tue Jul 16 13:20:05 2013, (412110000 clock):	14000 evaluated; 0 wrong controls; 7866 violate mass constrain.
Tue Jul 16 13:20:36 2013, (441920000 clock):	15000 evaluated; 0 wrong controls; 8366 violate mass constrain.
Tue Jul 16 13:21:05 2013, (470930000 clock):	16000 evaluated; 0 wrong controls; 8916 violate mass constrain.
Tue Jul 16 13:21:35 2013, (500620000 clock):	17000 evaluated; 0 wrong controls; 9430 violate mass constrain.
Tue Jul 16 13:22:05 2013, (529810000 clock):	18000 evaluated; 0 wrong controls; 9956 violate mass constrain.
Tue Jul 16 13:22:35 2013, (560170000 clock):	19000 evaluated; 0 wrong controls; 10448 violate mass constrain.
Tue Jul 16 13:23:06 2013, (589810000 clock):	20000 evaluated; 0 wrong controls; 10949 violate mass constrain.
Tue Jul 16 13:23:36 2013, (620060000 clock):	21000 evaluated; 0 wrong controls; 11450 violate mass constrain.
Tue Jul 16 13:24:06 2013, (649820000 clock):	22000 evaluated; 0 wrong controls; 11935 violate mass constrain.
Tue Jul 16 13:24:36 2013, (678860000 clock):	23000 evaluated; 0 wrong controls; 12399 violate mass constrain.
Tue Jul 16 13:25:05 2013, (707180000 clock):	24000 evaluated; 0 wrong controls; 12920 violate mass constrain.
Tue Jul 16 13:25:33 2013, (734980000 clock):	25000 evaluated; 0 wrong controls; 13424 violate mass constrain.
Tue Jul 16 13:26:04 2013, (765270000 clock):	26000 evaluated; 0 wrong controls; 13917 violate mass constrain.
Tue Jul 16 13:26:33 2013, (793930000 clock):	27000 evaluated; 0 wrong controls; 14417 violate mass constrain.
Tue Jul 16 13:27:03 2013, (823110000 clock):	28000 evaluated; 0 wrong controls; 14896 violate mass constrain.
