Tue Jun  4 12:23:36 2013, (0 clock):	Start log file
Tue Jun  4 12:23:36 2013, (0 clock):	Parameters loaded.
Tue Jun  4 12:23:36 2013, (0 clock):	controls:
  bounds:
    - 40
    - 0
  fixedElevationChange: 2
state:
  dimensions:
    - 51
    - 51
  cell:
    area: 1
    width: 1000
    length: 1000
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massVariationTolerance: 0.01
  massConstrainEnabled: true
hydrologicalParameters:
  runoffCoeff: 1
  rainfallExcess: 10
objective:
  drainedAreaThreshold: 4
  types:
    - TEE
    - EEL
    - EE
    - EEE
interpolator:
  type: IDW
  parameters:
    - 5
    - 15
    - 2
Tue Jun  4 12:26:55 2013, (187580000 clock):	49000 evaluated; 0 wrong controls; 49000 violate mass constrain.
Tue Jun  4 12:26:59 2013, (191190000 clock):	50000 evaluated; 0 wrong controls; 50000 violate mass constrain.
Tue Jun  4 12:27:03 2013, (194800000 clock):	51000 evaluated; 0 wrong controls; 51000 violate mass constrain.
Tue Jun  4 12:27:07 2013, (198440000 clock):	52000 evaluated; 0 wrong controls; 52000 violate mass constrain.
Tue Jun  4 12:27:10 2013, (202110000 clock):	53000 evaluated; 0 wrong controls; 53000 violate mass constrain.
Tue Jun  4 12:27:14 2013, (205860000 clock):	54000 evaluated; 0 wrong controls; 54000 violate mass constrain.
Tue Jun  4 12:27:19 2013, (209820000 clock):	55000 evaluated; 0 wrong controls; 55000 violate mass constrain.
Tue Jun  4 12:27:22 2013, (213400000 clock):	56000 evaluated; 0 wrong controls; 56000 violate mass constrain.
Tue Jun  4 12:27:26 2013, (216990000 clock):	57000 evaluated; 0 wrong controls; 57000 violate mass constrain.
Tue Jun  4 12:27:30 2013, (220660000 clock):	58000 evaluated; 0 wrong controls; 58000 violate mass constrain.
Tue Jun  4 12:27:34 2013, (224270000 clock):	59000 evaluated; 0 wrong controls; 59000 violate mass constrain.
Tue Jun  4 12:27:38 2013, (227900000 clock):	60000 evaluated; 0 wrong controls; 60000 violate mass constrain.
Tue Jun  4 12:27:41 2013, (231540000 clock):	61000 evaluated; 0 wrong controls; 61000 violate mass constrain.
Tue Jun  4 12:27:45 2013, (235310000 clock):	62000 evaluated; 0 wrong controls; 62000 violate mass constrain.
Tue Jun  4 12:27:49 2013, (238920000 clock):	63000 evaluated; 0 wrong controls; 63000 violate mass constrain.
Tue Jun  4 12:27:53 2013, (242610000 clock):	64000 evaluated; 0 wrong controls; 64000 violate mass constrain.
Tue Jun  4 12:27:57 2013, (246220000 clock):	65000 evaluated; 0 wrong controls; 65000 violate mass constrain.
Tue Jun  4 12:28:01 2013, (249860000 clock):	66000 evaluated; 0 wrong controls; 66000 violate mass constrain.
Tue Jun  4 12:28:05 2013, (253510000 clock):	67000 evaluated; 0 wrong controls; 67000 violate mass constrain.
Tue Jun  4 12:28:08 2013, (257160000 clock):	68000 evaluated; 0 wrong controls; 68000 violate mass constrain.
Tue Jun  4 12:28:12 2013, (260790000 clock):	69000 evaluated; 0 wrong controls; 69000 violate mass constrain.
Tue Jun  4 12:28:16 2013, (264410000 clock):	70000 evaluated; 0 wrong controls; 70000 violate mass constrain.
Tue Jun  4 12:28:20 2013, (268040000 clock):	71000 evaluated; 0 wrong controls; 71000 violate mass constrain.
Tue Jun  4 12:28:24 2013, (271650000 clock):	72000 evaluated; 0 wrong controls; 72000 violate mass constrain.
Tue Jun  4 12:28:28 2013, (275240000 clock):	73000 evaluated; 0 wrong controls; 73000 violate mass constrain.
Tue Jun  4 12:28:31 2013, (278780000 clock):	74000 evaluated; 0 wrong controls; 74000 violate mass constrain.
Tue Jun  4 12:28:35 2013, (282330000 clock):	75000 evaluated; 0 wrong controls; 75000 violate mass constrain.
Tue Jun  4 12:28:39 2013, (285880000 clock):	76000 evaluated; 0 wrong controls; 76000 violate mass constrain.
Tue Jun  4 12:28:43 2013, (289440000 clock):	77000 evaluated; 0 wrong controls; 77000 violate mass constrain.
Tue Jun  4 12:28:46 2013, (293050000 clock):	78000 evaluated; 0 wrong controls; 78000 violate mass constrain.
Tue Jun  4 12:28:50 2013, (296650000 clock):	79000 evaluated; 0 wrong controls; 79000 violate mass constrain.
Tue Jun  4 12:28:54 2013, (300280000 clock):	80000 evaluated; 0 wrong controls; 80000 violate mass constrain.
Tue Jun  4 12:28:58 2013, (303860000 clock):	81000 evaluated; 0 wrong controls; 81000 violate mass constrain.
Tue Jun  4 12:29:02 2013, (307420000 clock):	82000 evaluated; 0 wrong controls; 82000 violate mass constrain.
Tue Jun  4 12:29:05 2013, (311040000 clock):	83000 evaluated; 0 wrong controls; 83000 violate mass constrain.
Tue Jun  4 12:29:09 2013, (314660000 clock):	84000 evaluated; 0 wrong controls; 84000 violate mass constrain.
Tue Jun  4 12:29:13 2013, (318310000 clock):	85000 evaluated; 0 wrong controls; 85000 violate mass constrain.
Tue Jun  4 12:29:17 2013, (321950000 clock):	86000 evaluated; 0 wrong controls; 86000 violate mass constrain.
Tue Jun  4 12:29:21 2013, (325580000 clock):	87000 evaluated; 0 wrong controls; 87000 violate mass constrain.
Tue Jun  4 12:29:25 2013, (329210000 clock):	88000 evaluated; 0 wrong controls; 88000 violate mass constrain.
Tue Jun  4 12:29:28 2013, (332870000 clock):	89000 evaluated; 0 wrong controls; 89000 violate mass constrain.
Tue Jun  4 12:29:32 2013, (336550000 clock):	90000 evaluated; 0 wrong controls; 90000 violate mass constrain.
Tue Jun  4 12:29:36 2013, (340180000 clock):	91000 evaluated; 0 wrong controls; 91000 violate mass constrain.
Tue Jun  4 12:29:40 2013, (343810000 clock):	92000 evaluated; 0 wrong controls; 92000 violate mass constrain.
Tue Jun  4 12:29:44 2013, (347440000 clock):	93000 evaluated; 0 wrong controls; 93000 violate mass constrain.
Tue Jun  4 12:29:48 2013, (351090000 clock):	94000 evaluated; 0 wrong controls; 94000 violate mass constrain.
Tue Jun  4 12:29:51 2013, (354740000 clock):	95000 evaluated; 0 wrong controls; 95000 violate mass constrain.
Tue Jun  4 12:29:55 2013, (358380000 clock):	96000 evaluated; 0 wrong controls; 96000 violate mass constrain.
Tue Jun  4 12:29:59 2013, (362070000 clock):	97000 evaluated; 0 wrong controls; 97000 violate mass constrain.
Tue Jun  4 12:30:03 2013, (365840000 clock):	98000 evaluated; 0 wrong controls; 98000 violate mass constrain.
Tue Jun  4 12:30:07 2013, (369520000 clock):	99000 evaluated; 0 wrong controls; 99000 violate mass constrain.
Tue Jun  4 12:30:11 2013, (373170000 clock):	100000 evaluated; 0 wrong controls; 100000 violate mass constrain.
Tue Jun  4 12:30:15 2013, (376830000 clock):	101000 evaluated; 0 wrong controls; 101000 violate mass constrain.
Tue Jun  4 12:30:19 2013, (380490000 clock):	102000 evaluated; 0 wrong controls; 102000 violate mass constrain.
