Tue Jul  9 13:59:28 2013, (0 clock):	Start log file
Tue Jul  9 13:59:28 2013, (0 clock):	Parameters loaded.
Tue Jul  9 13:59:28 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 400
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 5
    - 15
    - 4
  type: IDW
Tue Jul  9 13:59:28 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 6.60119e-12, 
Tue Jul  9 13:59:53 2013, (23720000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Tue Jul  9 14:00:16 2013, (46720000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Tue Jul  9 14:00:40 2013, (69910000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Tue Jul  9 14:01:03 2013, (93100000 clock):	4000 evaluated; 0 wrong controls; 3988 violate mass constrain.
Tue Jul  9 14:01:27 2013, (117080000 clock):	5000 evaluated; 0 wrong controls; 4942 violate mass constrain.
Tue Jul  9 14:01:51 2013, (140380000 clock):	6000 evaluated; 0 wrong controls; 5920 violate mass constrain.
Tue Jul  9 14:02:15 2013, (164260000 clock):	7000 evaluated; 0 wrong controls; 6878 violate mass constrain.
Tue Jul  9 14:02:40 2013, (188800000 clock):	8000 evaluated; 0 wrong controls; 7808 violate mass constrain.
Tue Jul  9 14:03:05 2013, (213160000 clock):	9000 evaluated; 0 wrong controls; 8756 violate mass constrain.
Tue Jul  9 14:03:29 2013, (237750000 clock):	10000 evaluated; 0 wrong controls; 9692 violate mass constrain.
Tue Jul  9 14:03:54 2013, (262300000 clock):	11000 evaluated; 0 wrong controls; 10617 violate mass constrain.
Tue Jul  9 14:04:19 2013, (286570000 clock):	12000 evaluated; 0 wrong controls; 11556 violate mass constrain.
Tue Jul  9 14:04:44 2013, (311570000 clock):	13000 evaluated; 0 wrong controls; 12483 violate mass constrain.
Tue Jul  9 14:05:09 2013, (336470000 clock):	14000 evaluated; 0 wrong controls; 13425 violate mass constrain.
Tue Jul  9 14:05:34 2013, (360950000 clock):	15000 evaluated; 0 wrong controls; 14360 violate mass constrain.
Tue Jul  9 14:05:58 2013, (385020000 clock):	16000 evaluated; 0 wrong controls; 15334 violate mass constrain.
Tue Jul  9 14:06:22 2013, (408760000 clock):	17000 evaluated; 0 wrong controls; 16292 violate mass constrain.
Tue Jul  9 14:06:46 2013, (432700000 clock):	18000 evaluated; 0 wrong controls; 17247 violate mass constrain.
Tue Jul  9 14:07:11 2013, (457340000 clock):	19000 evaluated; 0 wrong controls; 18174 violate mass constrain.
Tue Jul  9 14:07:36 2013, (481650000 clock):	20000 evaluated; 0 wrong controls; 19119 violate mass constrain.
Tue Jul  9 14:07:59 2013, (505160000 clock):	21000 evaluated; 0 wrong controls; 20077 violate mass constrain.
Tue Jul  9 14:08:23 2013, (528440000 clock):	22000 evaluated; 0 wrong controls; 21031 violate mass constrain.
Tue Jul  9 14:08:47 2013, (552320000 clock):	23000 evaluated; 0 wrong controls; 21967 violate mass constrain.
Tue Jul  9 14:09:12 2013, (576910000 clock):	24000 evaluated; 0 wrong controls; 22879 violate mass constrain.
Tue Jul  9 14:09:36 2013, (601310000 clock):	25000 evaluated; 0 wrong controls; 23807 violate mass constrain.
Tue Jul  9 14:10:00 2013, (624300000 clock):	26000 evaluated; 0 wrong controls; 24793 violate mass constrain.
Tue Jul  9 14:10:23 2013, (648000000 clock):	27000 evaluated; 0 wrong controls; 25747 violate mass constrain.
Tue Jul  9 14:10:48 2013, (672770000 clock):	28000 evaluated; 0 wrong controls; 26641 violate mass constrain.
Tue Jul  9 14:11:14 2013, (698380000 clock):	29000 evaluated; 0 wrong controls; 27522 violate mass constrain.
Tue Jul  9 14:11:40 2013, (723660000 clock):	30000 evaluated; 0 wrong controls; 28392 violate mass constrain.
Tue Jul  9 14:12:05 2013, (748480000 clock):	31000 evaluated; 0 wrong controls; 29284 violate mass constrain.
Tue Jul  9 14:12:31 2013, (774070000 clock):	32000 evaluated; 0 wrong controls; 30157 violate mass constrain.
Tue Jul  9 14:12:56 2013, (798870000 clock):	33000 evaluated; 0 wrong controls; 31054 violate mass constrain.
Tue Jul  9 14:13:21 2013, (823790000 clock):	34000 evaluated; 0 wrong controls; 31949 violate mass constrain.
Tue Jul  9 14:13:46 2013, (848660000 clock):	35000 evaluated; 0 wrong controls; 32857 violate mass constrain.
Tue Jul  9 14:14:09 2013, (871890000 clock):	36000 evaluated; 0 wrong controls; 33822 violate mass constrain.
Tue Jul  9 14:14:35 2013, (897160000 clock):	37000 evaluated; 0 wrong controls; 34700 violate mass constrain.
