Tue Jul  9 13:59:21 2013, (0 clock):	Start log file
Tue Jul  9 13:59:21 2013, (0 clock):	Parameters loaded.
Tue Jul  9 13:59:21 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 400
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 5
    - 15
    - 4
  type: IDW
Tue Jul  9 14:19:58 2013, (1224810000 clock):	50000 evaluated; 0 wrong controls; 46212 violate mass constrain.
Tue Jul  9 14:20:24 2013, (1251070000 clock):	51000 evaluated; 0 wrong controls; 47029 violate mass constrain.
Tue Jul  9 14:20:51 2013, (1276930000 clock):	52000 evaluated; 0 wrong controls; 47852 violate mass constrain.
Tue Jul  9 14:21:17 2013, (1302910000 clock):	53000 evaluated; 0 wrong controls; 48702 violate mass constrain.
Tue Jul  9 14:21:43 2013, (1329090000 clock):	54000 evaluated; 0 wrong controls; 49551 violate mass constrain.
Tue Jul  9 14:22:10 2013, (1355480000 clock):	55000 evaluated; 0 wrong controls; 50392 violate mass constrain.
Tue Jul  9 14:22:34 2013, (1379350000 clock):	56000 evaluated; 0 wrong controls; 51322 violate mass constrain.
Tue Jul  9 14:22:57 2013, (1402060000 clock):	57000 evaluated; 0 wrong controls; 52288 violate mass constrain.
Tue Jul  9 14:23:22 2013, (1427460000 clock):	58000 evaluated; 0 wrong controls; 53171 violate mass constrain.
Tue Jul  9 14:23:49 2013, (1454190000 clock):	59000 evaluated; 0 wrong controls; 53979 violate mass constrain.
Tue Jul  9 14:24:18 2013, (1483160000 clock):	60000 evaluated; 0 wrong controls; 54712 violate mass constrain.
Tue Jul  9 14:24:46 2013, (1510530000 clock):	61000 evaluated; 0 wrong controls; 55485 violate mass constrain.
Tue Jul  9 14:25:13 2013, (1536790000 clock):	62000 evaluated; 0 wrong controls; 56296 violate mass constrain.
Tue Jul  9 14:25:39 2013, (1563170000 clock):	63000 evaluated; 0 wrong controls; 57131 violate mass constrain.
Tue Jul  9 14:26:05 2013, (1588940000 clock):	64000 evaluated; 0 wrong controls; 57976 violate mass constrain.
Tue Jul  9 14:26:32 2013, (1615570000 clock):	65000 evaluated; 0 wrong controls; 58803 violate mass constrain.
Tue Jul  9 14:26:57 2013, (1640580000 clock):	66000 evaluated; 0 wrong controls; 59717 violate mass constrain.
Tue Jul  9 14:27:21 2013, (1663690000 clock):	67000 evaluated; 0 wrong controls; 60714 violate mass constrain.
Tue Jul  9 14:27:45 2013, (1687490000 clock):	68000 evaluated; 0 wrong controls; 61663 violate mass constrain.
Tue Jul  9 14:28:09 2013, (1711610000 clock):	69000 evaluated; 0 wrong controls; 62587 violate mass constrain.
Tue Jul  9 14:28:34 2013, (1736580000 clock):	70000 evaluated; 0 wrong controls; 63487 violate mass constrain.
Tue Jul  9 14:29:00 2013, (1762580000 clock):	71000 evaluated; 0 wrong controls; 64339 violate mass constrain.
Tue Jul  9 14:29:27 2013, (1789010000 clock):	72000 evaluated; 0 wrong controls; 65182 violate mass constrain.
Tue Jul  9 14:29:53 2013, (1814940000 clock):	73000 evaluated; 0 wrong controls; 66035 violate mass constrain.
Tue Jul  9 14:30:20 2013, (1841560000 clock):	74000 evaluated; 0 wrong controls; 66889 violate mass constrain.
Tue Jul  9 14:30:46 2013, (1867800000 clock):	75000 evaluated; 0 wrong controls; 67715 violate mass constrain.
Tue Jul  9 14:31:12 2013, (1893420000 clock):	76000 evaluated; 0 wrong controls; 68574 violate mass constrain.
Tue Jul  9 14:31:35 2013, (1916030000 clock):	77000 evaluated; 0 wrong controls; 69570 violate mass constrain.
Tue Jul  9 14:32:00 2013, (1940410000 clock):	78000 evaluated; 0 wrong controls; 70484 violate mass constrain.
Tue Jul  9 14:32:26 2013, (1966730000 clock):	79000 evaluated; 0 wrong controls; 71323 violate mass constrain.
Tue Jul  9 14:32:53 2013, (1992990000 clock):	80000 evaluated; 0 wrong controls; 72151 violate mass constrain.
Tue Jul  9 14:33:20 2013, (2019790000 clock):	81000 evaluated; 0 wrong controls; 72968 violate mass constrain.
Tue Jul  9 14:33:47 2013, (2047010000 clock):	82000 evaluated; 0 wrong controls; 73757 violate mass constrain.
Tue Jul  9 14:34:14 2013, (2074100000 clock):	83000 evaluated; 0 wrong controls; 74550 violate mass constrain.
