Tue Jul  9 13:59:29 2013, (0 clock):	Start log file
Tue Jul  9 13:59:29 2013, (0 clock):	Parameters loaded.
Tue Jul  9 13:59:29 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 400
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 5
    - 15
    - 4
  type: IDW
Tue Jul  9 13:59:29 2013, (0 clock):	Base DEM: TEE = 9.78317e+06, SH = 6.60119e-12, 
Tue Jul  9 13:59:53 2013, (23290000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Tue Jul  9 14:00:17 2013, (46700000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Tue Jul  9 14:00:40 2013, (69640000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Tue Jul  9 14:01:04 2013, (92600000 clock):	4000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Tue Jul  9 14:01:28 2013, (116680000 clock):	5000 evaluated; 0 wrong controls; 4955 violate mass constrain.
Tue Jul  9 14:01:52 2013, (139910000 clock):	6000 evaluated; 0 wrong controls; 5948 violate mass constrain.
Tue Jul  9 14:02:16 2013, (164100000 clock):	7000 evaluated; 0 wrong controls; 6890 violate mass constrain.
Tue Jul  9 14:02:41 2013, (188380000 clock):	8000 evaluated; 0 wrong controls; 7833 violate mass constrain.
Tue Jul  9 14:03:06 2013, (213110000 clock):	9000 evaluated; 0 wrong controls; 8766 violate mass constrain.
Tue Jul  9 14:03:31 2013, (238040000 clock):	10000 evaluated; 0 wrong controls; 9692 violate mass constrain.
Tue Jul  9 14:03:56 2013, (262520000 clock):	11000 evaluated; 0 wrong controls; 10639 violate mass constrain.
Tue Jul  9 14:04:20 2013, (286950000 clock):	12000 evaluated; 0 wrong controls; 11577 violate mass constrain.
Tue Jul  9 14:04:45 2013, (311390000 clock):	13000 evaluated; 0 wrong controls; 12520 violate mass constrain.
Tue Jul  9 14:05:09 2013, (335770000 clock):	14000 evaluated; 0 wrong controls; 13458 violate mass constrain.
