Tue Jul  9 13:59:20 2013, (0 clock):	Start log file
Tue Jul  9 13:59:20 2013, (0 clock):	Parameters loaded.
Tue Jul  9 13:59:20 2013, (0 clock):	controls:
  fixedElevationChange: 2
  bounds:
    - 400
    - 0
objective:
  types:
    - TEE
    - SH
  drainedAreaThreshold: 4
state:
  cell:
    area: 1
    length: 1000
    width: 1000
  dimensions:
    - 51
    - 51
  initial:
    filename: demRect.data
    sourceType: PYRAMID
constrain:
  massConstrainEnabled: true
  massVariationTolerance: 0.001
hydrologicalParameters:
  rainfallExcess: 10
  runoffCoeff: 1
interpolator:
  parameters:
    - 5
    - 15
    - 4
  type: IDW
Tue Jul  9 13:59:20 2013, (10000 clock):	Base DEM: TEE = 9.78317e+06, SH = 6.60119e-12, 
Tue Jul  9 13:59:47 2013, (25590000 clock):	1000 evaluated; 0 wrong controls; 1000 violate mass constrain.
Tue Jul  9 14:00:10 2013, (48490000 clock):	2000 evaluated; 0 wrong controls; 2000 violate mass constrain.
Tue Jul  9 14:00:34 2013, (71510000 clock):	3000 evaluated; 0 wrong controls; 3000 violate mass constrain.
Tue Jul  9 14:00:57 2013, (94650000 clock):	4000 evaluated; 0 wrong controls; 4000 violate mass constrain.
Tue Jul  9 14:01:20 2013, (117670000 clock):	5000 evaluated; 0 wrong controls; 5000 violate mass constrain.
Tue Jul  9 14:01:43 2013, (140560000 clock):	6000 evaluated; 0 wrong controls; 6000 violate mass constrain.
Tue Jul  9 14:02:07 2013, (164070000 clock):	7000 evaluated; 0 wrong controls; 6978 violate mass constrain.
Tue Jul  9 14:02:32 2013, (188210000 clock):	8000 evaluated; 0 wrong controls; 7921 violate mass constrain.
Tue Jul  9 14:02:56 2013, (212600000 clock):	9000 evaluated; 0 wrong controls; 8860 violate mass constrain.
Tue Jul  9 14:03:21 2013, (237220000 clock):	10000 evaluated; 0 wrong controls; 9788 violate mass constrain.
Tue Jul  9 14:03:46 2013, (261750000 clock):	11000 evaluated; 0 wrong controls; 10718 violate mass constrain.
Tue Jul  9 14:04:11 2013, (287100000 clock):	12000 evaluated; 0 wrong controls; 11635 violate mass constrain.
Tue Jul  9 14:04:37 2013, (312060000 clock):	13000 evaluated; 0 wrong controls; 12554 violate mass constrain.
Tue Jul  9 14:05:02 2013, (336850000 clock):	14000 evaluated; 0 wrong controls; 13474 violate mass constrain.
Tue Jul  9 14:05:26 2013, (361350000 clock):	15000 evaluated; 0 wrong controls; 14405 violate mass constrain.
Tue Jul  9 14:05:50 2013, (385210000 clock):	16000 evaluated; 0 wrong controls; 15368 violate mass constrain.
Tue Jul  9 14:06:16 2013, (410920000 clock):	17000 evaluated; 0 wrong controls; 16283 violate mass constrain.
Tue Jul  9 14:06:42 2013, (436440000 clock):	18000 evaluated; 0 wrong controls; 17194 violate mass constrain.
Tue Jul  9 14:07:07 2013, (461410000 clock):	19000 evaluated; 0 wrong controls; 18109 violate mass constrain.
Tue Jul  9 14:07:32 2013, (486100000 clock):	20000 evaluated; 0 wrong controls; 19013 violate mass constrain.
Tue Jul  9 14:07:57 2013, (510670000 clock):	21000 evaluated; 0 wrong controls; 19938 violate mass constrain.
Tue Jul  9 14:08:22 2013, (535410000 clock):	22000 evaluated; 0 wrong controls; 20842 violate mass constrain.
Tue Jul  9 14:08:46 2013, (559750000 clock):	23000 evaluated; 0 wrong controls; 21743 violate mass constrain.
Tue Jul  9 14:09:12 2013, (585260000 clock):	24000 evaluated; 0 wrong controls; 22664 violate mass constrain.
Tue Jul  9 14:09:37 2013, (609840000 clock):	25000 evaluated; 0 wrong controls; 23567 violate mass constrain.
Tue Jul  9 14:10:00 2013, (633060000 clock):	26000 evaluated; 0 wrong controls; 24550 violate mass constrain.
Tue Jul  9 14:10:25 2013, (657310000 clock):	27000 evaluated; 0 wrong controls; 25497 violate mass constrain.
Tue Jul  9 14:10:49 2013, (681300000 clock):	28000 evaluated; 0 wrong controls; 26415 violate mass constrain.
Tue Jul  9 14:11:14 2013, (705800000 clock):	29000 evaluated; 0 wrong controls; 27300 violate mass constrain.
Tue Jul  9 14:11:39 2013, (731100000 clock):	30000 evaluated; 0 wrong controls; 28166 violate mass constrain.
Tue Jul  9 14:12:05 2013, (756980000 clock):	31000 evaluated; 0 wrong controls; 29011 violate mass constrain.
Tue Jul  9 14:12:31 2013, (782410000 clock):	32000 evaluated; 0 wrong controls; 29849 violate mass constrain.
Tue Jul  9 14:12:58 2013, (808910000 clock):	33000 evaluated; 0 wrong controls; 30700 violate mass constrain.
Tue Jul  9 14:13:23 2013, (833940000 clock):	34000 evaluated; 0 wrong controls; 31580 violate mass constrain.
Tue Jul  9 14:13:48 2013, (858530000 clock):	35000 evaluated; 0 wrong controls; 32466 violate mass constrain.
Tue Jul  9 14:14:12 2013, (882140000 clock):	36000 evaluated; 0 wrong controls; 33425 violate mass constrain.
Tue Jul  9 14:14:36 2013, (906250000 clock):	37000 evaluated; 0 wrong controls; 34340 violate mass constrain.
Tue Jul  9 14:15:02 2013, (932590000 clock):	38000 evaluated; 0 wrong controls; 35160 violate mass constrain.
Tue Jul  9 14:15:29 2013, (958900000 clock):	39000 evaluated; 0 wrong controls; 36021 violate mass constrain.
Tue Jul  9 14:15:55 2013, (984850000 clock):	40000 evaluated; 0 wrong controls; 36837 violate mass constrain.
Tue Jul  9 14:16:21 2013, (1010780000 clock):	41000 evaluated; 0 wrong controls; 37687 violate mass constrain.
Tue Jul  9 14:16:47 2013, (1036100000 clock):	42000 evaluated; 0 wrong controls; 38526 violate mass constrain.
Tue Jul  9 14:17:12 2013, (1061250000 clock):	43000 evaluated; 0 wrong controls; 39388 violate mass constrain.
Tue Jul  9 14:17:38 2013, (1087040000 clock):	44000 evaluated; 0 wrong controls; 40239 violate mass constrain.
Tue Jul  9 14:18:05 2013, (1113540000 clock):	45000 evaluated; 0 wrong controls; 41063 violate mass constrain.
Tue Jul  9 14:18:28 2013, (1137020000 clock):	46000 evaluated; 0 wrong controls; 42010 violate mass constrain.
Tue Jul  9 14:18:53 2013, (1161210000 clock):	47000 evaluated; 0 wrong controls; 42930 violate mass constrain.
Tue Jul  9 14:19:18 2013, (1186300000 clock):	48000 evaluated; 0 wrong controls; 43808 violate mass constrain.
Tue Jul  9 14:19:43 2013, (1211160000 clock):	49000 evaluated; 0 wrong controls; 44687 violate mass constrain.
Tue Jul  9 14:20:09 2013, (1236680000 clock):	50000 evaluated; 0 wrong controls; 45555 violate mass constrain.
Tue Jul  9 14:20:34 2013, (1261480000 clock):	51000 evaluated; 0 wrong controls; 46434 violate mass constrain.
Tue Jul  9 14:20:59 2013, (1285930000 clock):	52000 evaluated; 0 wrong controls; 47329 violate mass constrain.
Tue Jul  9 14:21:24 2013, (1310600000 clock):	53000 evaluated; 0 wrong controls; 48196 violate mass constrain.
Tue Jul  9 14:21:49 2013, (1335900000 clock):	54000 evaluated; 0 wrong controls; 49072 violate mass constrain.
Tue Jul  9 14:22:15 2013, (1361230000 clock):	55000 evaluated; 0 wrong controls; 49958 violate mass constrain.
Tue Jul  9 14:22:39 2013, (1385050000 clock):	56000 evaluated; 0 wrong controls; 50889 violate mass constrain.
Tue Jul  9 14:23:03 2013, (1409470000 clock):	57000 evaluated; 0 wrong controls; 51789 violate mass constrain.
